f,gain,phase
2.03559468708456e-02,1.46788232958945e+00,1.00545976886234e+02
2.04028252423210e-02,1.48913251749552e+00,1.00568818876155e+02
2.04498115715213e-02,1.51038819370256e+00,1.00591703798129e+02
2.04969061070659e-02,1.53164938026225e+00,1.00614631689661e+02
2.05441090981467e-02,1.55291609913986e+00,1.00637602588342e+02
2.05914207945293e-02,1.57418837240394e+00,1.00660616530987e+02
2.06388414465549e-02,1.59546622235014e+00,1.00683673554331e+02
2.06863713051408e-02,1.61674967112240e+00,1.00706773695001e+02
2.07340106217825e-02,1.63803874123033e+00,1.00729916988968e+02
2.07817596485544e-02,1.65933345507842e+00,1.00753103472031e+02
2.08296186381116e-02,1.68063383502445e+00,1.00776333180005e+02
2.08775878436909e-02,1.70193990368440e+00,1.00799606148331e+02
2.09256675191124e-02,1.72325168375686e+00,1.00822922411637e+02
2.09738579187807e-02,1.74456919794888e+00,1.00846282004917e+02
2.10221592976863e-02,1.76589246909908e+00,1.00869684962391e+02
2.10705719114068e-02,1.78722151993449e+00,1.00893131318274e+02
2.11190960161085e-02,1.80855637368541e+00,1.00916621106357e+02
2.11677318685476e-02,1.82989705293347e+00,1.00940154360108e+02
2.12164797260716e-02,1.85124358107614e+00,1.00963731112742e+02
2.12653398466207e-02,1.87259598116819e+00,1.00987351397034e+02
2.13143124887290e-02,1.89395427670903e+00,1.01011015245606e+02
2.13633979115260e-02,1.91531849064414e+00,1.01034722690578e+02
2.14125963747382e-02,1.93668864656434e+00,1.01058473763889e+02
2.14619081386899e-02,1.95806476817971e+00,1.01082268497204e+02
2.15113334643051e-02,1.97944687858911e+00,1.01106106921598e+02
2.15608726131087e-02,2.00083500138883e+00,1.01129989068527e+02
2.16105258472277e-02,2.02222916081243e+00,1.01153914967924e+02
2.16602934293929e-02,2.04362938020181e+00,1.01177884650181e+02
2.17101756229402e-02,2.06503568347145e+00,1.01201898145550e+02
2.17601726918119e-02,2.08644809476578e+00,1.01225955483143e+02
2.18102849005580e-02,2.10786663789709e+00,1.01250056692576e+02
2.18605125143379e-02,2.12929133696026e+00,1.01274201802529e+02
2.19108557989217e-02,2.15072221629677e+00,1.01298390841400e+02
2.19613150206913e-02,2.17215929979812e+00,1.01322623837668e+02
2.20118904466423e-02,2.19360261193505e+00,1.01346900819033e+02
2.20625823443851e-02,2.21505217731380e+00,1.01371221812900e+02
2.21133909821464e-02,2.23650802022577e+00,1.01395586846442e+02
2.21643166287704e-02,2.25797016508949e+00,1.01419995946348e+02
2.22153595537208e-02,2.27943863679106e+00,1.01444449138723e+02
2.22665200270816e-02,2.30091345967067e+00,1.01468946450168e+02
2.23177983195589e-02,2.32239465884742e+00,1.01493487905750e+02
2.23691947024821e-02,2.34388225913417e+00,1.01518073530930e+02
2.24207094478056e-02,2.36537628530582e+00,1.01542703350634e+02
2.24723428281099e-02,2.38687676248381e+00,1.01567377389064e+02
2.25240951166035e-02,2.40838371567051e+00,1.01592095670648e+02
2.25759665871238e-02,2.42989717025085e+00,1.01616858218925e+02
2.26279575141391e-02,2.45141715113502e+00,1.01641665057362e+02
2.26800681727495e-02,2.47294368380590e+00,1.01666516208574e+02
2.27322988386888e-02,2.49447679366098e+00,1.01691411695250e+02
2.27846497883259e-02,2.51601650633292e+00,1.01716351539615e+02
2.28371212986660e-02,2.53756284700229e+00,1.01741335763187e+02
2.28897136473522e-02,2.55911584163062e+00,1.01766364387660e+02
2.29424271126670e-02,2.58067551584612e+00,1.01791437433386e+02
2.29952619735339e-02,2.60224189529168e+00,1.01816554921259e+02
2.30482185095187e-02,2.62381500614144e+00,1.01841716870987e+02
2.31012970008310e-02,2.64539487418722e+00,1.01866923302602e+02
2.31544977283255e-02,2.66698152522458e+00,1.01892174235061e+02
2.32078209735041e-02,2.68857498556410e+00,1.01917469687498e+02
2.32612670185166e-02,2.71017528155162e+00,1.01942809677777e+02
2.33148361461628e-02,2.73178243910247e+00,1.01968194224241e+02
2.33685286398937e-02,2.75339648492707e+00,1.01993623344207e+02
2.34223447838130e-02,2.77501744513110e+00,1.02019097054602e+02
2.34762848626788e-02,2.79664534626935e+00,1.02044615372535e+02
2.35303491619049e-02,2.81828021501068e+00,1.02070178313826e+02
2.35845379675624e-02,2.83992207816399e+00,1.02095785893937e+02
2.36388515663812e-02,2.86157096200578e+00,1.02121438128858e+02
2.36932902457516e-02,2.88322689369172e+00,1.02147135032725e+02
2.37478542937255e-02,2.90488990011843e+00,1.02172876620229e+02
2.38025439990185e-02,2.92656000824599e+00,1.02198662905143e+02
2.38573596510108e-02,2.94823724484006e+00,1.02224493900977e+02
