time,vin,vh,vl
9.863281250000000000e-02,1.040406979047882263e+00,1.125000000000000000e+00,9.375000000000000000e-01
9.960937500000000000e-02,1.042898928728219321e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.005859375000000000e-01,1.045379850929437193e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.015625000000000000e-01,1.047849652246216623e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.025390625000000000e-01,1.050308239691934542e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.035156250000000000e-01,1.052755520702162828e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.044921875000000000e-01,1.055191403138154627e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.054687500000000000e-01,1.057615795290313354e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.064453125000000000e-01,1.060028605881644603e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.074218750000000000e-01,1.062429744071193172e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.083984375000000000e-01,1.064819119457463437e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.093750000000000000e-01,1.067196642081822855e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.103515625000000000e-01,1.069562222431887921e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.113281250000000000e-01,1.071915771444895693e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.123046875000000000e-01,1.074257200511056221e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.132812500000000000e-01,1.076586421476888322e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.142578125000000000e-01,1.078903346648539374e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.152343750000000000e-01,1.081207888795086003e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.162109375000000000e-01,1.083499961151818791e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.171875000000000000e-01,1.085779477423509221e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.181640625000000000e-01,1.088046351787657962e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.191406250000000000e-01,1.090300498897726511e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.201171875000000000e-01,1.092541833886350178e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.210937500000000000e-01,1.094770272368533526e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.220703125000000000e-01,1.096985730444826945e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.230468750000000000e-01,1.099188124704486347e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.240234375000000000e-01,1.101377372228612650e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.250000000000000000e-01,1.103553390593273731e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.259765625000000000e-01,1.105716097872608161e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.269531250000000000e-01,1.107865412641909408e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.279296875000000000e-01,1.110001253980690716e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.289062500000000000e-01,1.112123541475733557e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.298828125000000000e-01,1.114232195224112543e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.308593750000000000e-01,1.116327135836206352e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.318359375000000000e-01,1.118408284438684897e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.328125000000000000e-01,1.120475562677479608e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.337890625000000000e-01,1.122528892720732863e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.347656250000000000e-01,1.124568197261729630e+00,1.125000000000000000e+00,9.375000000000000000e-01
1.357421875000000000e-01,1.126593399521806260e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.367187500000000000e-01,1.128604423253242395e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.376953125000000000e-01,1.130601192742130889e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.386718750000000000e-01,1.132583632811229535e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.396484375000000000e-01,1.134551668822789683e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.406250000000000000e-01,1.136505226681368441e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.416015625000000000e-01,1.138444232836616221e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.425781250000000000e-01,1.140368614286047189e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.435546875000000000e-01,1.142278298577787510e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.445312500000000000e-01,1.144173213813303169e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.455078125000000000e-01,1.146053288650106250e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.464843750000000000e-01,1.147918452304441672e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.474609375000000000e-01,1.149768634553952396e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.484375000000000000e-01,1.151603765740322416e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.494140625000000000e-01,1.153423776771899556e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.503906250000000000e-01,1.155228599126297384e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.513671875000000000e-01,1.157018164852974262e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.523437500000000000e-01,1.158792406575791745e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.533203125000000000e-01,1.160551257495552324e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.542968750000000000e-01,1.162294651392512534e+00,1.218750000000000000e+00,1.031250000000000000e+00
1.552734375000000000e-01,1.164022522628877843e+00,1.218750000000000000e+00,1.031250000000000000e+00
