time,vecg,vdac_upper,vdac_lower
1.588733600000000147e-03,5.968970599999999793e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.625003000000000081e-03,5.969221049999999806e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.625012400000000034e-03,5.969221120000000047e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.625060400000000139e-03,5.969221449999999596e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.625828400000000088e-03,5.969226749999999582e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.638116399999999927e-03,5.969311600000000162e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.687511000000000046e-03,5.969652690000000206e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.687520799999999918e-03,5.969652749999999619e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.687544800000000079e-03,5.969652920000000362e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.687928800000000054e-03,5.969655569999999800e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.694072800000000082e-03,5.969697999999999949e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750000000000000036e-03,5.970084190000000124e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750009999999999977e-03,5.970084260000000365e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750021999999999949e-03,5.970084340000000322e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.750213999999999936e-03,5.970085670000000455e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.753285999999999950e-03,5.970106880000000116e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.802438000000000174e-03,5.970446280000000217e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.812517000000000034e-03,5.970515880000000219e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.812525599999999931e-03,5.970515939999999633e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.812621599999999925e-03,5.970516609999999558e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.814157600000000040e-03,5.970527209999999529e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.838733599999999935e-03,5.970696920000000407e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.875002999999999869e-03,5.970947359999999593e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.875012399999999822e-03,5.970947429999999834e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.875060399999999928e-03,5.970947760000000493e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.875828400000000094e-03,5.970953060000000479e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.888116399999999933e-03,5.971037919999999666e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.937511000000000268e-03,5.971378999999999992e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.937520800000000140e-03,5.971379070000000233e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.937544799999999868e-03,5.971379230000000149e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.937928800000000059e-03,5.971381879999999587e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.944072800000000087e-03,5.971424309999999736e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-03,5.971810499999999911e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000009999999999982e-03,5.971810570000000151e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000022000000000171e-03,5.971810650000000109e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.000213999999999725e-03,5.971811980000000242e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.003285999999999956e-03,5.971833189999999902e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.052437999999999745e-03,5.972172599999999720e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.062516999999999823e-03,5.972242199999999723e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.062525599999999720e-03,5.972242250000000530e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.062621599999999930e-03,5.972242920000000455e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.064157599999999829e-03,5.972253520000000426e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.088733599999999940e-03,5.972423230000000194e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.125002999999999875e-03,5.972673680000000207e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.125012400000000044e-03,5.972673739999999620e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.125060399999999933e-03,5.972674070000000279e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.125828400000000316e-03,5.972679379999999982e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.138116399999999938e-03,5.972764229999999452e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.187511000000000056e-03,5.973105309999999779e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.187520799999999929e-03,5.973105380000000020e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.187544800000000306e-03,5.973105539999999936e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.187928800000000281e-03,5.973108200000000201e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.194072799999999875e-03,5.973150619999999522e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000264e-03,5.973536809999999697e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.250009999999999771e-03,5.973536879999999938e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.250021999999999960e-03,5.973536959999999896e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.250213999999999947e-03,5.973538290000000028e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.253286000000000178e-03,5.973559499999999689e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.302437999999999967e-03,5.973898909999999507e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.312517000000000045e-03,5.973968509999999510e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.312525599999999942e-03,5.973968570000000033e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.312621600000000152e-03,5.973969230000000241e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.314157600000000051e-03,5.973979839999999930e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.338733600000000162e-03,5.974149539999999980e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.375003000000000097e-03,5.974399989999999994e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.375012399999999833e-03,5.974400050000000517e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.375060399999999721e-03,5.974400389999999783e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.375828399999999670e-03,5.974405689999999769e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.388116399999999726e-03,5.974490540000000349e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.437510999999999844e-03,5.974831619999999566e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.437520800000000151e-03,5.974831689999999806e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.437544799999999661e-03,5.974831860000000550e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.437928799999999636e-03,5.974834509999999987e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.444072800000000097e-03,5.974876930000000419e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-03,5.975263119999999484e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500009999999999993e-03,5.975263189999999724e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500022000000000182e-03,5.975263280000000510e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500214000000000169e-03,5.975264599999999815e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.503285999999999966e-03,5.975285820000000303e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.552438000000000189e-03,5.975625220000000404e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.562516999999999833e-03,5.975694820000000407e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.562525600000000164e-03,5.975694879999999820e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.562621599999999941e-03,5.975695540000000028e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.564157599999999839e-03,5.975706149999999717e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.588733599999999951e-03,5.975875849999999767e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.625003000000000319e-03,5.976126299999999780e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.625012400000000055e-03,5.976126370000000021e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.625060399999999943e-03,5.976126699999999570e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.625828399999999892e-03,5.976131999999999556e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.638116399999999948e-03,5.976216850000000136e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.687511000000000067e-03,5.976557940000000180e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.687520800000000373e-03,5.976557999999999593e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.687544799999999883e-03,5.976558170000000336e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.687928799999999858e-03,5.976560819999999774e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.694072800000000319e-03,5.976603249999999923e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.749999999999999840e-03,5.976989440000000098e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.750010000000000215e-03,5.976989510000000339e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.750021999999999970e-03,5.976989590000000296e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.750213999999999957e-03,5.976990920000000429e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.753286000000000188e-03,5.977012130000000090e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.802437999999999978e-03,5.977351530000000190e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.812517000000000055e-03,5.977421130000000193e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.812525599999999952e-03,5.977421189999999607e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.812621600000000163e-03,5.977421859999999532e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.814157600000000061e-03,5.977432459999999503e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.838733599999999739e-03,5.977602170000000381e-01,0.000000000000000000e+00,0.000000000000000000e+00
