wout,mag_flicker_0,mag_flicker_1,phase_flicker_0,phase_flicker_1
1.419057521689092716e-01,3.680717381116411957e+01,3.267522866668969073e+01,-3.138781467048082732e+02,-2.964147275808131212e+02
1.445439770745927111e-01,3.689123411568809274e+01,3.280569069273385452e+01,-3.143941712488210669e+02,-2.968018523364196426e+02
1.472312502432718551e-01,3.697382404927822108e+01,3.293525921582252636e+01,-3.149108021875510417e+02,-2.971941233047435844e+02
1.499684835502373137e-01,3.705494182264317971e+01,3.306391343044835907e+01,-3.154278573092504416e+02,-2.975915008639495909e+02
1.527566058238072344e-01,3.713458664476202387e+01,3.319163245136892471e+01,-3.159451540838609844e+02,-2.979939411552722390e+02
1.555965631605074340e-01,3.721275872493996673e+01,3.331839533853784019e+01,-3.164625099649720141e+02,-2.984013959803863258e+02
1.584893192461113431e-01,3.728945927215478662e+01,3.344418112330928494e+01,-3.169797426921390979e+02,-2.988138127049562627e+02
1.614358556826486213e-01,3.736469049169767231e+01,3.356896883589018188e+01,-3.174966705923072254e+02,-2.992311341690231643e+02
1.644371723214931580e-01,3.743845557912741384e+01,3.369273753400668170e+01,-3.180131128790915795e+02,-2.996532986048933367e+02
1.674942876026437322e-01,3.751075871157256358e+01,3.381546633274322033e+01,-3.185288899486839682e+02,-3.000802395631929471e+02
1.706082389003123478e-01,3.758160503643114225e+01,3.393713443550424813e+01,-3.190438236711798368e+02,-3.005118858477555932e+02
1.737800828749375415e-01,3.765100065753183856e+01,3.405772116604005362e+01,-3.195577376761551136e+02,-3.009481614599988575e+02
1.770108958317421211e-01,3.771895261883491912e+01,3.417720600146915899e+01,-3.200704576313669349e+02,-3.013889855534355888e+02
1.803017740859569062e-01,3.778546888576398999e+01,3.429556860622111003e+01,-3.205818115135019752e+02,-3.018342723989508158e+02
1.836538343348346480e-01,3.785055832427208600e+01,3.441278886681439531e+01,-3.210916298699577283e+02,-3.022839313614491061e+02
1.870682140365800550e-01,3.791423067775701128e+01,3.452884692737545436e+01,-3.215997460707052369e+02,-3.027378668884533113e+02
1.905460717963247397e-01,3.797649654195106450e+01,3.464372322579603747e+01,-3.221059965493562345e+02,-3.031959785111981205e+02
1.940885877592778419e-01,3.803736733791927804e+01,3.475739853041747551e+01,-3.226102210326334330e+02,-3.036581608587262053e+02
1.976969640111860826e-01,3.809685528330848570e+01,3.486985397712268764e+01,-3.231122627575234105e+02,-3.041243036854453408e+02
2.013724249862388627e-01,3.815497336199591416e+01,3.498107110670837017e+01,-3.236119686754784084e+02,-3.045942919125581057e+02
2.051162178825565729e-01,3.821173529229159271e+01,3.509103190240316650e+01,-3.241091896431184978e+02,-3.050680056837142615e+02
