wout,mag_flicker_0,mag_flicker_1,mag_flicker_2,phase_flicker_0,phase_flicker_1,phase_flicker_2
9.817479430199843593e-02,2.990885514550951996e+01,2.398553159734268192e+01,1.097209037220767769e+01,-2.897814958301152046e+02,-2.914854783757322139e+02,-3.036358442321176767e+02
1.000000000000000056e-01,3.005310719185080970e+01,2.412936135375972668e+01,1.110511857152363646e+01,-2.900628348854953629e+02,-2.917358445653500212e+02,-3.036777911301785480e+02
1.018591388054116975e-01,3.019683796141293186e+01,2.427268504247317082e+01,1.123800323800271350e+01,-2.903494106657591942e+02,-2.919920059202344760e+02,-3.037286591949178955e+02
1.037528415818012584e-01,3.034003154916281630e+01,2.441548621296387722e+01,1.137071667567600208e+01,-2.906412422845717742e+02,-2.922539717293311696e+02,-3.037884338233649828e+02
1.056817509213658496e-01,3.048267172724425578e+01,2.455774811129235502e+01,1.150323117226959724e+01,-2.909383471231013232e+02,-2.925217497087869560e+02,-3.038570977599413823e+02
1.076465213629834994e-01,3.062474194735622035e+01,2.469945368179838852e+01,1.163551899776886600e+01,-2.912407407108701136e+02,-2.927953458809270728e+02,-3.039346310556700814e+02
1.096478196143185202e-01,3.076622534392667419e+01,2.484058556961902298e+01,1.176755240351559983e+01,-2.915484366042140891e+02,-2.930747644508202256e+02,-3.040210110218225736e+02
1.116863247780561230e-01,3.090710473812483983e+01,2.498112612406737298e+01,1.189930362190883706e+01,-2.918614462625342867e+02,-2.933600076806185939e+02,-3.041162121782290342e+02
1.137627285823430978e-01,3.104736264275511815e+01,2.512105740291438138e+01,1.203074486677848043e+01,-2.921797789225453243e+02,-2.936510757618801222e+02,-3.042202061965070357e+02
1.158777356155126226e-01,3.118698126807538884e+01,2.526036117761597666e+01,1.216184833449941749e+01,-2.925034414707508859e+02,-2.939479666861068949e+02,-3.043329618384949526e+02
1.180320635651729844e-01,3.132594252858210382e+01,2.539901893952710310e+01,1.229258620591178897e+01,-2.928324383144031344e+02,-2.942506761137573221e+02,-3.044544448902053091e+02
1.202264434617413141e-01,3.146422805080352347e+01,2.553701190714340896e+01,1.242293064911090816e+01,-2.931667712512268054e+02,-2.945591972420186266e+02,-3.045846180916454387e+02
1.224616199265049082e-01,3.160181918214154706e+01,2.567432103441047531e+01,1.255285382316787590e+01,-2.935064393382187404e+02,-2.948735206716484640e+02,-3.047234410628833530e+02
1.247383514242943192e-01,3.173869700080089018e+01,2.581092702013864937e+01,1.268232788283923185e+01,-2.938514387598584676e+02,-2.951936342732273033e+02,-3.048708702267654189e+02
1.270574105208542026e-01,3.187484232684280272e+01,2.594681031856012510e+01,1.281132498432081768e+01,-2.942017626960947609e+02,-2.955195230531859920e+02,-3.050268587287261539e+02
1.294195841449986284e-01,3.201023573439795911e+01,2.608195115106229878e+01,1.293981729209763465e+01,-2.945574011905024463e+02,-2.958511690200056705e+02,-3.051913563541576195e+02
1.318256738556407293e-01,3.214485756507088610e+01,2.621632951912924980e+01,1.306777698693777801e+01,-2.949183410190281620e+02,-2.961885510510105632e+02,-3.053643094438369303e+02
1.342764961137864199e-01,3.227868794256507101e+01,2.634992521851986425e+01,1.319517627507424784e+01,-2.952845655597769223e+02,-2.965316447602063477e+02,-3.055456608079402940e+02
1.367728825595849462e-01,3.241170678855436194e+01,2.648271785470785744e+01,1.332198739861400760e+01,-2.956560546643148086e+02,-2.968804223676418133e+02,-3.057353496391978069e+02
1.393156802945303419e-01,3.254389383982274353e+01,2.661468685960495151e+01,1.344818264720870893e+01,-2.960327845309914210e+02,-2.972348525707985800e+02,-3.059333114257744910e+02
1.419057521689092716e-01,3.267522866668969073e+01,2.674581150958429276e+01,1.357373437101611735e+01,-2.964147275808131212e+02,-2.975949004185402487e+02,-3.061394778644836379e+02
1.445439770745927111e-01,3.280569069273385452e+01,2.687607094481612080e+01,1.369861499497555712e+01,-2.968018523364196426e+02,-2.979605271881765134e+02,-3.063537767749692193e+02
