f,PSD_R2_in_0,PSD_R2_in_1,PSD_R2_in_2
3.162277660168379225e+04,1.204278502708419384e-23,4.817114010833677536e-23,1.204278502708419249e-21
3.981071705534969078e+04,7.598483660834889201e-24,3.039393464333955680e-23,7.598483660834888085e-22
5.011872336272735265e+04,4.794319072716486019e-24,1.917727629086594408e-23,4.794319072716486166e-22
6.309573444801942969e+04,3.025010830711941516e-24,1.210004332284776607e-23,3.025010830711941075e-22
7.943282347242820833e+04,1.908652800769833596e-24,7.634611203079334383e-24,1.908652800769833552e-22
1.000000000000000000e+05,1.204278502708419384e-24,4.817114010833677536e-24,1.204278502708419531e-22
1.258925411794166139e+05,7.598483660834886262e-25,3.039393464333954505e-24,7.598483660834887144e-23
1.584893192461117287e+05,4.794319072716487672e-25,1.917727629086595069e-24,4.794319072716487929e-23
1.995262314968883002e+05,3.025010830711941975e-25,1.210004332284776790e-24,3.025010830711942251e-23
2.511886431509582035e+05,1.908652800769833274e-25,7.634611203079333097e-25,1.908652800769833081e-23
3.162277660168379080e+05,1.204278502708419430e-25,4.817114010833677720e-25,1.204278502708419384e-23
3.981071705534985522e+05,7.598483660834824733e-26,3.039393464333929893e-25,7.598483660834824549e-24
5.011872336272735265e+05,4.794319072716486295e-26,1.917727629086594518e-25,4.794319072716486019e-24
6.309573444801942678e+05,3.025010830711942205e-26,1.210004332284776882e-25,3.025010830711942251e-24
7.943282347242821706e+05,1.908652800769833102e-26,7.634611203079332408e-26,1.908652800769832861e-24
1.000000000000000000e+06,1.204278502708419258e-26,4.817114010833677031e-26,1.204278502708419200e-24
