Vinp,Vout,dVout
7.507040000000000646e+02,5.594310039999999748e-04,1.491436470000000014e+01
7.507080000000000837e+02,6.223763150000000480e-04,1.659178509999999918e+01
7.507119999999999891e+02,6.924007540000000479e-04,1.845767710000000150e+01
7.507160000000000082e+02,7.702996970000000393e-04,2.053321970000000007e+01
7.507200000000000273e+02,8.569577000000000097e-04,2.284185379999999910e+01
7.507239999999999327e+02,9.533584519999999986e-04,2.540974549999999965e+01
7.507279999999999518e+02,1.060595840000000010e-03,2.826591189999999898e+01
7.507319999999999709e+02,1.179886200000000067e-03,3.144261810000000068e+01
7.507359999999999900e+02,1.312581989999999895e-03,3.497569130000000115e+01
7.507400000000000091e+02,1.460186870000000029e-03,3.890501509999999996e+01
7.507439999999999145e+02,1.624372509999999926e-03,4.327481819999999857e+01
7.507479999999999336e+02,1.806997180000000005e-03,4.813425110000000018e+01
7.507519999999999527e+02,2.010126420000000157e-03,5.353789460000000133e+01
7.507559999999999718e+02,2.236055890000000160e-03,5.954630300000000176e+01
7.507599999999999909e+02,2.487336719999999873e-03,6.622687129999999911e+01
7.507640000000000100e+02,2.766803549999999941e-03,7.365405520000000195e+01
7.507680000000000291e+02,3.077605629999999835e-03,8.191080639999999846e+01
7.507720000000000482e+02,3.423241129999999958e-03,9.108890730000000246e+01
7.507759999999999536e+02,3.807595109999999984e-03,1.012900879999999972e+02
7.507799999999999727e+02,4.234981470000000366e-03,1.126273860000000013e+02
7.507839999999999918e+02,4.710189220000000031e-03,1.252254439999999960e+02
7.507880000000000109e+02,5.238533459999999975e-03,1.392228509999999915e+02
7.507920000000000300e+02,5.825911569999999914e-03,1.547725900000000081e+02
7.507960000000000491e+02,6.478865030000000198e-03,1.720439159999999958e+02
7.508000000000000682e+02,7.204647239999999696e-03,1.912237120000000061e+02
7.508039999999999736e+02,8.011297940000000270e-03,2.125187329999999974e+02
7.508079999999999927e+02,8.907724759999999242e-03,2.361566390000000126e+02
7.508120000000000118e+02,9.903792159999999165e-03,2.623884580000000142e+02
7.508160000000000309e+02,1.101041850000000072e-02,2.914905210000000011e+02
7.508200000000000500e+02,1.223968169999999946e-02,3.237663999999999760e+02
7.508240000000000691e+02,1.360493339999999975e-02,3.595500900000000115e+02
7.508280000000000882e+02,1.512092280000000045e-02,3.992070039999999835e+02
7.508320000000001073e+02,1.680392940000000057e-02,4.431368969999999763e+02
7.508359999999998990e+02,1.867190590000000067e-02,4.917772679999999923e+02
7.508399999999999181e+02,2.074463010000000135e-02,5.456038539999999557e+02
7.508439999999999372e+02,2.304386560000000125e-02,6.051339880000000448e+02
7.508479999999999563e+02,2.559353099999999923e-02,6.709282610000000204e+02
7.508519999999999754e+02,2.841987680000000044e-02,7.435921329999999898e+02
7.508559999999999945e+02,3.155166670000000145e-02,8.237770480000000362e+02
7.508600000000000136e+02,3.502036330000000280e-02,9.121802509999999984e+02
7.508640000000000327e+02,3.886031289999999916e-02,1.009547569999999951e+03
7.508679999999999382e+02,4.310892709999999961e-02,1.116664659999999913e+03
7.508719999999999573e+02,4.780685560000000334e-02,1.234363450000000057e+03
7.508759999999999764e+02,5.299814249999999782e-02,1.363509729999999990e+03
7.508799999999999955e+02,5.873036050000000202e-02,1.504998679999999922e+03
7.508840000000000146e+02,6.505471170000000358e-02,1.659749749999999949e+03
