time,vin,vout_buf,vout_st
4.419335809999999642e-02,-1.184312879999999957e-01,7.627943070000000468e-10,-2.837737370000000242e-10
4.496679049999999928e-02,1.818535049999999986e-01,7.630771579999999910e-10,-2.759925909999999980e-10
4.506641899999999645e-02,1.769425609999999982e-01,8.767356490000000295e-10,1.714066440000000071e-10
4.544814789999999938e-02,7.461488450000000605e-02,8.759540300000000227e-10,1.735675120000000127e-10
4.599999999999999922e-02,-7.331662960000000229e-02,8.765886760000000054e-10,1.841886239999999934e-10
4.629866920000000330e-02,-3.256999000000000005e-02,1.022539340000000024e-09,7.523304999999999799e-10
4.700000000000000011e-02,6.311068710000000692e-02,1.022613010000000016e-09,7.536547419999999875e-10
4.723750329999999720e-02,1.574708760000000096e-01,1.038778020000000077e-09,8.175122010000000261e-10
4.800000000000000100e-02,4.604112539999999920e-01,5.698979660000000451e-10,7.268294870000000325e-10
4.819000259999999675e-02,3.161554790000000170e-01,7.207315469999999968e-10,2.519013030000000025e-09
4.895001309999999495e-02,-2.608676460000000086e-01,7.070889499999999605e-10,2.542389089999999820e-09
4.905704109999999701e-02,-2.796992480000000114e-01,1.528672510000000072e-09,2.750039600000000025e-09
4.938798049999999773e-02,-1.687698089999999929e-01,1.527959249999999931e-09,2.746123089999999935e-09
5.000000000000000278e-02,3.637650609999999729e-02,1.527570469999999953e-09,2.740175380000000039e-09
5.026022840000000241e-02,5.143218070000000336e-02,1.187098430000000001e-09,1.403932730000000095e-09
5.099999999999999672e-02,9.423210919999999713e-02,1.187040780000000029e-09,1.403071490000000015e-09
5.120818280000000167e-02,-1.811352589999999999e-02,1.319655940000000082e-09,1.932220510000000176e-09
5.199999999999999761e-02,-4.454169940000000105e-01,1.319174580000000039e-09,1.929599039999999896e-09
5.216654619999999687e-02,-3.080076370000000008e-01,6.004023129999999999e-10,-9.257358130000000325e-10
5.283273100000000083e-02,2.416298209999999946e-01,6.011161379999999687e-10,-9.126519439999999817e-10
5.308882460000000081e-02,3.348850680000000080e-01,8.239792889999999782e-10,-3.180116780000000209e-10
5.359788880000000005e-02,7.841512740000000647e-02,7.957207959999999875e-10,-3.294439670000000235e-10
5.406628299999999970e-02,-1.189856279999999961e-01,1.309748569999999990e-09,1.897207649999999982e-09
5.446398090000000025e-02,-8.787235710000000644e-02,1.309243280000000052e-09,1.891825130000000092e-09
5.500000000000000028e-02,-4.593773839999999720e-02,1.304595320000000062e-09,1.819702880000000042e-09
5.503453180000000139e-02,-2.758978529999999915e-02,2.300690970000000023e-10,-2.323911860000000109e-09
5.517265899999999890e-02,4.580203719999999951e-02,2.340714499999999962e-10,-2.261597689999999974e-09
5.572516780000000280e-02,3.393693269999999984e-01,2.179472290000000039e-10,-2.255214340000000009e-09
5.607366779999999745e-02,4.806579229999999869e-01,1.280041649999999964e-09,7.676396540000000182e-10
5.651567489999999999e-02,4.522217339999999863e-01,1.078270589999999981e-09,6.741833449999999521e-10
5.705893429999999572e-02,4.196175529999999765e-01,1.154499300000000081e-09,1.154486890000000013e-09
5.741253989999999668e-02,4.109445970000000226e-01,1.149251130000000005e-09,1.174437169999999935e-09
5.800000000000000294e-02,3.965358449999999979e-01,1.143342339999999984e-09,1.176804239999999976e-09
5.828288449999999982e-02,3.216903600000000085e-01,1.153026169999999997e-09,1.347139550000000025e-09
5.899999999999999689e-02,1.319561969999999973e-01,1.143785360000000048e-09,1.350620309999999970e-09
5.922630759999999994e-02,6.797812070000000539e-02,1.119633009999999956e-09,1.137104319999999942e-09
6.000000000000000472e-02,-1.507478419999999930e-01,1.119563139999999935e-09,1.137067480000000027e-09
6.018104610000000326e-02,-4.275464600000000032e-02,7.918494720000000162e-10,-1.645603739999999945e-10
6.090523050000000438e-02,3.892181590000000080e-01,7.364623139999999874e-10,-1.878017679999999999e-10
6.109655790000000086e-02,4.191270999999999747e-01,1.269185910000000018e-09,4.928240899999999804e-10
6.160897850000000148e-02,2.778545190000000220e-01,1.047316159999999911e-09,3.712668399999999864e-10
6.206386090000000355e-02,1.880721609999999877e-01,1.321018000000000039e-09,1.937610149999999936e-09
6.244702670000000511e-02,2.961976159999999969e-01,1.314663129999999971e-09,1.928414040000000174e-09
6.300000000000000044e-02,4.522410379999999841e-01,3.873132780000000228e-10,2.153722879999999887e-09
6.325251400000000968e-02,5.122169279999999603e-01,-1.863234519999999855e-09,1.158055320000000070e-09
6.400000000000000133e-02,6.897560999999999831e-01,-5.940001589999999930e-08,1.158440649999999983e-09
6.420201120000000594e-02,7.255521409999999838e-01,-5.913692359999999756e-08,1.161929560000000044e-09
6.499999999999998834e-02,8.669543680000000307e-01,-1.179357829999999984e-07,1.154840220000000065e-09
6.516160899999999534e-02,7.773063650000000546e-01,2.284355420000000011e-07,2.084478159999999891e-09
6.580804490000000118e-02,4.187143380000000192e-01,-6.317868810000000097e-08,2.054667479999999837e-09
6.608619150000000220e-02,3.428783670000000172e-01,1.381102179999999906e-09,2.092248520000000115e-09
6.660334019999999966e-02,5.267523090000000296e-01,-2.348598250000000203e-09,2.160260569999999999e-09
6.706895320000000327e-02,6.302424100000000307e-01,9.463884090000000184e-08,9.875147909999999907e-11
6.748267219999999622e-02,4.049808850000000127e-01,1.490966959999999973e-08,1.854011299999999940e-10
