time,vin,vout_buf,vout_st
4.613999999999999768e-01,1.522620000000000084e+00,5.279119330000000068e-04,1.114064079999999954e-09
4.714000000000000412e-01,1.555620000000000003e+00,8.414042329999999598e-03,1.114082520000000000e-09
4.813999999999999946e-01,1.588619999999999921e+00,1.561252619999999869e-01,1.114101319999999996e-09
4.903337520000000671e-01,1.618101379999999923e+00,3.208860940000000106e+00,1.114123219999999946e-09
4.990348640000000224e-01,1.646815050000000058e+00,3.294339599999999812e+00,1.114146220000000040e-09
5.090348639999999758e-01,1.679815049999999976e+00,3.299903130000000129e+00,1.114166270000000021e-09
5.190348640000000957e-01,1.712815049999999895e+00,3.300006989999999973e+00,1.114187039999999900e-09
5.290348639999999936e-01,1.745815050000000035e+00,3.300012929999999844e+00,1.114208280000000012e-09
5.390348640000000024e-01,1.778815049999999953e+00,3.300013620000000092e+00,1.114230110000000064e-09
5.490348640000000113e-01,1.811815050000000094e+00,3.300013690000000111e+00,1.114252559999999982e-09
5.590348640000000202e-01,1.844815050000000012e+00,3.300013639999999970e+00,1.114275989999999924e-09
5.690348639999999181e-01,1.877815049999999930e+00,3.300013579999999891e+00,1.114300110000000044e-09
5.790348640000000380e-01,1.910815050000000070e+00,3.300013519999999811e+00,1.114325040000000050e-09
5.890348640000000469e-01,1.943815049999999989e+00,3.300013460000000176e+00,1.114351189999999907e-09
5.990348640000000557e-01,1.976815049999999907e+00,3.300013410000000036e+00,1.114378110000000093e-09
6.090348639999999536e-01,2.009815049999999825e+00,3.300013359999999896e+00,1.114406280000000056e-09
6.190348639999999625e-01,2.042815050000000188e+00,3.300013320000000139e+00,1.114435739999999976e-09
6.290348639999999714e-01,2.075815050000000106e+00,3.300013279999999938e+00,1.114467040000000027e-09
6.390348640000000913e-01,2.108815050000000024e+00,3.300013250000000120e+00,1.114499490000000032e-09
6.490348639999999891e-01,2.141815049999999943e+00,3.300013219999999858e+00,1.114534070000000012e-09
6.590348639999999980e-01,2.174815049999999861e+00,3.300013190000000041e+00,1.114570079999999952e-09
6.690348640000000069e-01,2.207815049999999779e+00,3.300013170000000162e+00,1.114606249999999984e-09
6.790348640000000158e-01,2.240815050000000141e+00,3.300013149999999840e+00,1.114635000000000050e-09
6.890348639999999136e-01,2.273815050000000060e+00,3.300013129999999961e+00,1.114622399999999962e-09
6.990348640000000335e-01,2.306815049999999978e+00,3.300013110000000083e+00,1.114418160000000038e-09
7.090348640000000424e-01,2.339815049999999896e+00,3.300013090000000204e+00,1.113357669999999929e-09
7.190348640000000513e-01,2.372815049999999815e+00,3.300013079999999821e+00,1.108477079999999898e-09
7.290348639999999492e-01,2.405815050000000177e+00,3.300013059999999943e+00,1.086407140000000055e-09
7.390348639999999580e-01,2.438815050000000095e+00,3.300013050000000003e+00,9.856569190000000747e-10
7.490348639999999669e-01,2.471815050000000014e+00,3.300013040000000064e+00,5.086587190000000210e-10
7.590348639999999758e-01,2.504815049999999932e+00,3.300013040000000064e+00,-2.163184669999999885e-09
7.646598639999999669e-01,2.523377550000000191e+00,3.299999999999999822e+00,-1.676382030000000105e-08
7.659489259999999744e-01,2.527631459999999830e+00,3.299999999999999822e+00,-5.041400779999999784e-07
7.659525889999999615e-01,2.527643540000000133e+00,3.299999999999999822e+00,-6.502904560000000477e-07
7.659672370000000230e-01,2.527691879999999891e+00,3.299999999999999822e+00,-4.511818629999999759e-06
7.659702889999999709e-01,2.527701949999999975e+00,3.299999999999999822e+00,-1.482955140000000017e-05
7.659726539999999195e-01,2.527709760000000028e+00,3.299999999999999822e+00,3.167082039999999932e+00
7.659742660000000702e-01,2.527715080000000114e+00,3.299999999999999822e+00,3.231311170000000121e+00
7.659754250000000431e-01,2.527718899999999991e+00,3.299999999999999822e+00,3.256489160000000105e+00
7.659767509999999557e-01,2.527723280000000017e+00,3.299999999999999822e+00,3.266579000000000121e+00
7.659788750000000590e-01,2.527730290000000046e+00,3.299999999999999822e+00,3.271143200000000029e+00
7.659831110000000498e-01,2.527744269999999904e+00,3.299999999999999822e+00,3.273205019999999799e+00
7.659965619999999920e-01,2.527788660000000132e+00,3.299999999999999822e+00,3.273861570000000221e+00
7.660503659999999826e-01,2.527966210000000213e+00,3.299999999999999822e+00,3.274022850000000151e+00
7.662655800000000017e-01,2.528676410000000097e+00,3.299999999999999822e+00,3.274062990000000006e+00
7.671264370000000499e-01,2.531517239999999891e+00,3.299999999999999822e+00,3.274073000000000011e+00
7.705698640000000488e-01,2.542880550000000017e+00,3.299999999999999822e+00,3.274075450000000220e+00
7.801610999999999407e-01,2.574531630000000071e+00,3.299999999999999822e+00,3.274076099999999823e+00
7.901610999999999496e-01,2.607531629999999989e+00,3.299999999999999822e+00,3.274076720000000051e+00
8.001610999999999585e-01,2.640531629999999907e+00,3.299999999999999822e+00,3.274077339999999836e+00
8.101611000000000784e-01,2.673531629999999826e+00,3.299999999999999822e+00,3.274077970000000004e+00
8.201610999999999763e-01,2.706531630000000188e+00,3.299999999999999822e+00,3.274078600000000172e+00
8.301610999999999851e-01,2.739531630000000106e+00,3.299999999999999822e+00,3.274079239999999835e+00
8.401610999999999940e-01,2.772531630000000025e+00,3.299999999999999822e+00,3.274079889999999882e+00
8.501611000000000029e-01,2.805531629999999943e+00,3.299999999999999822e+00,3.274080479999999849e+00
8.601610999999999008e-01,2.838531629999999861e+00,3.299999999999999822e+00,3.274081069999999816e+00
8.701611000000000207e-01,2.871531629999999780e+00,3.299999999999999822e+00,3.274081649999999843e+00
8.801611000000000296e-01,2.904531630000000142e+00,3.299999999999999822e+00,3.274082309999999829e+00
8.901611000000000384e-01,2.937531630000000060e+00,3.299999999999999822e+00,3.274082959999999876e+00
9.001611000000000473e-01,2.970531629999999979e+00,3.299999999999999822e+00,3.274083689999999880e+00
9.101610999999999452e-01,3.003531629999999897e+00,3.299999999999999822e+00,3.274084370000000188e+00
9.201610999999999541e-01,3.036531629999999815e+00,3.299999999999999822e+00,3.274085050000000052e+00
9.301611000000000740e-01,3.069531630000000177e+00,3.299999999999999822e+00,3.274085729999999916e+00
9.401611000000000828e-01,3.102531630000000096e+00,3.299999999999999822e+00,3.274086420000000164e+00
9.501610999999999807e-01,3.135531630000000014e+00,3.299999999999999822e+00,3.274087109999999967e+00
9.601610999999999896e-01,3.168531629999999932e+00,3.299999999999999822e+00,3.274087810000000154e+00
9.701610999999999985e-01,3.201531629999999851e+00,3.299999999999999822e+00,3.274088509999999896e+00
9.801611000000000073e-01,3.234531630000000213e+00,3.299999999999999822e+00,3.274089210000000083e+00
9.901611000000000162e-01,3.267531630000000131e+00,3.299999999999999822e+00,3.274089909999999826e+00
1.000000000000000000e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.274090629999999891e+00
1.001500000000000057e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.006667250000000013e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.016667250000000022e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.026667250000000031e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.036667250000000040e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.046667249999999827e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.056667249999999836e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.066667250000000067e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.076667250000000076e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.086667250000000084e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.096667250000000093e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.106667250000000102e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.116667250000000111e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.126667249999999898e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.136667249999999907e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.146667249999999916e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.156667249999999925e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.166667249999999934e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.176667249999999942e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.186667249999999951e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.196667250000000182e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.206667249999999969e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.216667249999999978e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.226667249999999987e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.236667249999999996e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.246667250000000005e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.256667250000000013e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.266667250000000022e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.276667250000000031e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.286667250000000040e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.296667249999999827e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.306667249999999836e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.316667250000000067e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.326667250000000076e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.336667250000000084e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.346667250000000093e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.356667250000000102e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.366667250000000111e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.376667249999999898e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.386667249999999907e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.396667249999999916e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.406667249999999925e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.416667249999999934e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.426667249999999942e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.436667250000000173e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.446667250000000182e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.456667249999999969e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.466667249999999978e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.476667249999999987e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.486667249999999996e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
1.496667250000000005e+00,3.299999999999999822e+00,3.299999999999999822e+00,3.300000960000000205e+00
