tpd_arr,energy_conv_arr
3.342120000000000601e+01,1.291039999999999964e+03
3.395360000000000156e+01,1.280349999999999909e+03
2.611580000000000013e+01,1.161069999999999936e+03
1.512340000000000018e+01,1.035779999999999973e+03
4.928540000000000276e+01,1.553490000000000009e+03
1.948770000000000024e+01,1.091059999999999945e+03
4.436880000000000024e+01,1.506430000000000064e+03
5.776579999999999870e+01,1.627500000000000000e+03
1.878190000000000026e+01,1.127829999999999927e+03
3.047789999999999822e+01,1.224940000000000055e+03
2.288419999999999987e+01,1.151089999999999918e+03
2.306200000000000117e+01,1.108460000000000036e+03
2.903430000000000177e+01,1.227119999999999891e+03
3.049510000000000076e+01,1.287910000000000082e+03
2.591920000000000002e+01,1.194799999999999955e+03
2.663500000000000156e+01,1.185799999999999955e+03
2.406610000000000227e+01,1.139339999999999918e+03
1.666499999999999915e+01,9.892549999999999955e+02
2.260670000000000002e+01,1.125869999999999891e+03
3.464039999999999964e+01,1.331529999999999973e+03
4.376490000000000435e+01,1.465839999999999918e+03
5.375309999999999633e+01,1.567400000000000091e+03
4.040359999999999729e+01,1.348930000000000064e+03
2.270090000000000074e+01,1.109750000000000000e+03
2.455429999999999779e+01,1.167039999999999964e+03
6.495709999999999695e+01,1.836400000000000091e+03
5.684009999999999962e+01,1.574980000000000018e+03
1.843920000000000314e+01,1.038869999999999891e+03
3.150130000000000052e+01,1.301150000000000091e+03
2.464550000000000196e+01,1.151509999999999991e+03
2.124320000000000164e+01,1.110829999999999927e+03
3.748100000000000165e+01,1.417369999999999891e+03
2.692050000000000054e+01,1.212559999999999945e+03
1.609389999999999787e+01,1.057490000000000009e+03
2.665320000000000178e+01,1.202410000000000082e+03
1.448060000000000080e+01,9.962409999999999854e+02
2.623740000000000094e+01,1.185269999999999982e+03
1.808689999999999998e+01,1.026549999999999955e+03
4.278659999999999997e+01,1.420000000000000000e+03
2.747850000000000037e+01,1.212109999999999900e+03
1.375619999999999976e+01,9.519869999999999663e+02
3.403889999999999816e+01,1.388750000000000000e+03
2.909539999999999793e+01,1.224519999999999982e+03
2.237740000000000151e+01,1.128420000000000073e+03
3.830259999999999820e+01,1.357529999999999973e+03
2.011299999999999955e+01,1.120039999999999964e+03
2.388489999999999824e+01,1.137440000000000055e+03
