frequency,Aol_dB_20dB,Aol_dB_34dB,Aol_dB_40dB,Aol_arg_20dB,Aol_arg_34dB,Aol_arg_40dB
4.401131620000000022e-01,1.826311049999999980e+01,3.220818299999999823e+01,3.818599379999999854e+01,3.487785639999999887e+01,3.471860029999999853e+01,3.452107010000000287e+01
4.606449739999999848e-01,1.838868400000000136e+01,3.233275540000000348e+01,3.830932760000000314e+01,3.366226439999999798e+01,3.350552330000000012e+01,3.331116289999999935e+01
4.821346189999999865e-01,1.850657179999999968e+01,3.244967700000000121e+01,3.842505419999999816e+01,3.246784029999999888e+01,3.231383379999999761e+01,3.212291220000000180e+01
5.046267829999999677e-01,1.861705209999999866e+01,3.255922780000000216e+01,3.853345620000000338e+01,3.129625310000000127e+01,3.114517710000000150e+01,3.095793340000000171e+01
5.281682340000000142e-01,1.872041749999999993e+01,3.266170199999999824e+01,3.863482940000000099e+01,3.014898579999999839e+01,3.000101180000000056e+01,2.981765499999999847e+01
5.528079209999999799e-01,1.881697099999999878e+01,3.275740389999999991e+01,3.872947969999999884e+01,2.902733339999999984e+01,2.888260849999999991e+01,2.870331720000000075e+01
5.785970799999999858e-01,1.890702339999999992e+01,3.284664500000000231e+01,3.881771930000000026e+01,2.793240339999999833e+01,2.779105050000000077e+01,2.761597349999999906e+01
6.055893340000000347e-01,1.899088989999999910e+01,3.292974070000000353e+01,3.889986400000000089e+01,2.686511880000000119e+01,2.672723750000000109e+01,2.655649439999999828e+01
6.338408100000000323e-01,1.906888710000000131e+01,3.300700770000000261e+01,3.897623039999999861e+01,2.582622429999999980e+01,2.569189130000000176e+01,2.552557369999999892e+01
6.634102509999999508e-01,1.914133029999999991e+01,3.307876100000000008e+01,3.904713300000000231e+01,2.481629350000000045e+01,2.468556399999999940e+01,2.452373689999999939e+01
6.943591430000000120e-01,1.920853139999999826e+01,3.314531180000000177e+01,3.911288239999999661e+01,2.383573810000000037e+01,2.370864680000000035e+01,2.355135020000000168e+01
7.267518379999999834e-01,1.927079679999999939e+01,3.320696569999999781e+01,3.917378289999999907e+01,2.288481810000000038e+01,2.276138100000000009e+01,2.260863129999999899e+01
7.606556909999999672e-01,1.932842529999999925e+01,3.326402060000000205e+01,3.923013110000000125e+01,2.196365330000000071e+01,2.184386870000000158e+01,2.169566100000000120e+01
7.961411999999999933e-01,1.938170729999999864e+01,3.331676530000000014e+01,3.928221429999999970e+01,2.107223450000000042e+01,2.095608470000000167e+01,2.081239460000000108e+01
8.332821510000000265e-01,1.943092269999999999e+01,3.336547869999999705e+01,3.933030970000000082e+01,2.021043590000000023e+01,2.009788879999999978e+01,1.995867390000000086e+01
8.721557720000000513e-01,1.947634079999999912e+01,3.341042850000000186e+01,3.937468309999999860e+01,1.937802669999999949e+01,1.926903709999999847e+01,1.913423930000000084e+01
9.128428950000000430e-01,1.951821920000000077e+01,3.345187080000000179e+01,3.941558880000000187e+01,1.857468300000000028e+01,1.846919420000000045e+01,1.833874139999999997e+01
9.554281209999999636e-01,1.955680350000000089e+01,3.349004949999999781e+01,3.945326860000000124e+01,1.779999899999999968e+01,1.769794429999999963e+01,1.757175189999999887e+01
1.000000000000000000e+00,1.959232659999999981e+01,3.352519610000000228e+01,3.948795210000000111e+01,1.705349819999999994e+01,1.695480209999999843e+01,1.683277490000000043e+01
1.046651210000000054e+00,1.962500929999999855e+01,3.355752970000000346e+01,3.951985640000000188e+01,1.633464319999999859e+01,1.623922250000000034e+01,1.612125620000000126e+01
1.095478759999999996e+00,1.965505969999999891e+01,3.358725679999999869e+01,3.954918599999999884e+01,1.564284559999999935e+01,1.555061090000000057e+01,1.543659339999999958e+01
1.146584169999999903e+00,1.968267379999999989e+01,3.361457180000000022e+01,3.957613340000000335e+01,1.497747470000000014e+01,1.488833119999999965e+01,1.477814399999999928e+01
1.200073710000000071e+00,1.970803529999999881e+01,3.363965699999999970e+01,3.960087889999999788e+01,1.433786560000000065e+01,1.425171420000000033e+01,1.414523359999999919e+01
1.256058600000000025e+00,1.973131640000000075e+01,3.366268310000000241e+01,3.962359150000000341e+01,1.372332689999999999e+01,1.364006499999999988e+01,1.353716310000000078e+01
1.314655249999999942e+00,1.975267789999999835e+01,3.368380930000000006e+01,3.964442869999999886e+01,1.313314710000000041e+01,1.305266929999999981e+01,1.295321500000000015e+01
1.375985510000000023e+00,1.977226969999999895e+01,3.370318439999999782e+01,3.966353749999999678e+01,1.256660040000000045e+01,1.248879950000000072e+01,1.239265930000000004e+01
1.440176899999999982e+00,1.979023150000000086e+01,3.372094659999999777e+01,3.968105450000000189e+01,1.202295259999999999e+01,1.194771989999999917e+01,1.185475869999999965e+01
1.507362899999999950e+00,1.980669290000000160e+01,3.373722440000000233e+01,3.969710669999999908e+01,1.150146540000000073e+01,1.142869109999999999e+01,1.133877290000000038e+01
1.577683200000000063e+00,1.982177420000000012e+01,3.375213690000000355e+01,3.971181179999999955e+01,1.100140020000000085e+01,1.093097460000000076e+01,1.084396279999999990e+01
1.651284039999999953e+00,1.983558700000000030e+01,3.376579449999999838e+01,3.972527889999999928e+01,1.052202259999999967e+01,1.045383550000000028e+01,1.036959369999999936e+01
1.728318440000000011e+00,1.984823430000000144e+01,3.377829940000000164e+01,3.973760879999999673e+01,1.006260439999999967e+01,9.996546199999999160e+00,9.914938380000000606e+00
