frequency,Tian_dB_20dB,Tian_dB_34dB,Tian_dB_40dB,Tian_arg_20dB,Tian_arg_34dB,Tian_arg_40dB
1.577683199999999886e+02,4.642715789999999743e+01,3.410460100000000239e+01,2.831540079999999904e+01,-6.578597800000000007e+01,-6.662778649999999914e+01,-6.675862879999999677e+01
1.651284039999999891e+02,4.609073889999999807e+01,3.376819290000000251e+01,2.797900909999999897e+01,-6.676973700000000633e+01,-6.757385800000000131e+01,-6.769884290000000249e+01
1.728318439999999896e+02,4.574984409999999713e+01,3.342731179999999824e+01,2.763814350000000175e+01,-6.772186759999999595e+01,-6.849003419999999664e+01,-6.860943109999999479e+01
1.808946579999999926e+02,4.540475880000000330e+01,3.308224229999999721e+01,2.729308869999999843e+01,-6.864255060000000697e+01,-6.937641499999999439e+01,-6.949048120000000495e+01
1.893336130000000139e+02,4.505575790000000325e+01,3.273325859999999921e+01,2.694411870000000064e+01,-6.953207340000000158e+01,-7.023321149999999591e+01,-7.034219149999999843e+01
1.981662550000000067e+02,4.470310460000000319e+01,3.238062339999999750e+01,2.659149659999999926e+01,-7.039081710000000669e+01,-7.106073189999999329e+01,-7.116485930000000337e+01
2.074109510000000114e+02,4.434705040000000054e+01,3.202458779999999905e+01,2.623547320000000127e+01,-7.121924610000000655e+01,-7.185937169999999696e+01,-7.195886969999999394e+01
2.170869230000000130e+02,4.398783410000000060e+01,3.166539039999999972e+01,2.587628700000000137e+01,-7.201789800000000241e+01,-7.262960180000000321e+01,-7.272468200000000138e+01
2.272142910000000029e+02,4.362568230000000113e+01,3.130325720000000089e+01,2.551416449999999969e+01,-7.278737080000000503e+01,-7.337195749999999350e+01,-7.346282300000000021e+01
2.378141129999999919e+02,4.326080869999999834e+01,3.093840199999999996e+01,2.514931909999999959e+01,-7.352831580000000145e+01,-7.408702999999999861e+01,-7.417387399999999786e+01
2.489084290000000124e+02,4.289341490000000334e+01,3.057102610000000098e+01,2.478195230000000038e+01,-7.424142679999999928e+01,-7.477545619999999360e+01,-7.485846370000000150e+01
2.605203089999999975e+02,4.252369010000000316e+01,3.020131849999999929e+01,2.441225319999999854e+01,-7.492743310000000179e+01,-7.543791149999999845e+01,-7.551725790000000416e+01
2.726738970000000108e+02,4.215181160000000204e+01,2.982945649999999915e+01,2.404039909999999836e+01,-7.558709120000000325e+01,-7.607510000000000616e+01,-7.615095390000000464e+01
