time,Vind,Vinp,Vinn,Voutp,Voutn,Vout
2.005035400000000134e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,-6.566082550000000399e-03,1.394350720000000043e+00,-1.400916810000000012e+00
2.005160399999999843e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,-4.423287239999999614e-03,1.376174409999999959e+00,-1.380597700000000039e+00
2.005285399999999996e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,-1.091565669999999995e-03,1.357620070000000068e+00,-1.358711640000000109e+00
2.005410400000000148e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,3.635362770000000014e-03,1.338905900000000093e+00,-1.335270540000000006e+00
2.005535399999999857e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,9.929507029999999623e-03,1.320132840000000085e+00,-1.310203329999999999e+00
2.005660400000000010e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.793588949999999974e-02,1.301311440000000097e+00,-1.283375549999999921e+00
2.005785400000000163e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,2.777109419999999884e-02,1.282388220000000079e+00,-1.254617120000000030e+00
2.005910400000000315e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,3.949304430000000199e-02,1.263262920000000067e+00,-1.223769869999999926e+00
2.006035400000000024e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,5.304779610000000256e-02,1.243795750000000089e+00,-1.190747949999999999e+00
2.006160400000000177e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,6.826421579999999989e-02,1.223810480000000034e+00,-1.155546259999999936e+00
2.006285400000000330e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,8.492203769999999430e-02,1.203107839999999928e+00,-1.118185800000000008e+00
2.006410400000000038e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.028127020000000058e-01,1.181520429999999955e+00,-1.078707730000000087e+00
2.006535399999999747e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.217600830000000051e-01,1.159008639999999923e+00,-1.037248560000000097e+00
2.006660399999999900e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.416187560000000123e-01,1.135652799999999907e+00,-9.940340420000000066e-01
2.006785400000000053e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.622647289999999964e-01,1.111560499999999951e+00,-9.492957690000000115e-01
2.006910399999999761e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,1.835904550000000135e-01,1.086835079999999953e+00,-9.032446250000000232e-01
2.007035399999999914e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,2.055035239999999930e-01,1.061571569999999909e+00,-8.560680470000000541e-01
2.007160400000000067e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,2.279181279999999976e-01,1.035869060000000008e+00,-8.079509280000000127e-01
2.007285399999999775e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,2.507582700000000053e-01,1.009815909999999928e+00,-7.590576390000000062e-01
2.007410399999999928e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,2.739559710000000203e-01,9.834912430000000150e-01,-7.095352719999999946e-01
2.007535400000000081e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,2.974478440000000168e-01,9.569686330000000130e-01,-6.595207899999999679e-01
2.007660399999999790e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,3.211787420000000171e-01,9.303054720000000222e-01,-6.091267289999999779e-01
2.007785399999999942e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,3.450964799999999832e-01,9.035527709999999768e-01,-5.584562910000000491e-01
2.007910400000000095e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,3.691519309999999887e-01,8.767531880000000166e-01,-5.076012570000000279e-01
2.008035400000000248e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,3.932992550000000143e-01,8.499411230000000206e-01,-4.566418680000000063e-01
2.008160399999999957e+00,1.500000000000000000e+00,1.500000000000000000e+00,-0.000000000000000000e+00,4.174961389999999883e-01,8.231435049999999976e-01,-4.056473660000000092e-01
