time,Voutp,Voutn,Vout
1.075549420000000006e-01,7.524139239999999562e-01,7.213336470000000222e-01,3.108027730000000044e-02
1.085518989999999934e-01,7.574680630000000248e-01,7.162796809999999459e-01,4.118838240000000095e-02
1.095469770000000037e-01,7.642289030000000150e-01,7.095736780000000410e-01,5.465522529999999879e-02
1.105439329999999970e-01,7.670216210000000423e-01,7.067820310000000328e-01,6.023958959999999724e-02
1.115390109999999935e-01,7.659057390000000298e-01,7.078989220000000415e-01,5.800681640000000111e-02
1.125359670000000006e-01,7.603749720000000378e-01,7.133896669999999496e-01,4.698530509999999938e-02
1.135310449999999971e-01,7.560465389999999619e-01,7.176966839999999737e-01,3.834985450000000240e-02
1.145280010000000043e-01,7.535207849999999707e-01,7.202330319999999952e-01,3.328775380000000006e-02
1.155230790000000007e-01,7.537103969999999764e-01,7.200234030000000063e-01,3.368699349999999815e-02
1.165200359999999935e-01,7.551218800000000231e-01,7.186151119999999448e-01,3.650676819999999767e-02
1.175151130000000044e-01,7.572066840000000187e-01,7.165423239999999527e-01,4.066436009999999796e-02
1.185120699999999971e-01,7.574068670000000392e-01,7.163568409999999664e-01,4.105002659999999748e-02
1.195071479999999936e-01,7.546696019999999949e-01,7.190904679999999827e-01,3.557913470000000078e-02
1.205041040000000008e-01,7.523438599999999754e-01,7.213823289999999888e-01,3.096153160000000154e-02
1.214991819999999972e-01,7.513674559999999891e-01,7.223546669999999503e-01,2.901278889999999930e-02
1.224961380000000044e-01,7.516073920000000408e-01,7.221160340000000177e-01,2.949135770000000170e-02
1.234912160000000009e-01,7.519199819999999868e-01,7.218274909999999878e-01,3.009249069999999845e-02
1.244881729999999936e-01,7.523880499999999749e-01,7.213614250000000006e-01,3.102662499999999865e-02
1.254832499999999906e-01,7.502055570000000229e-01,7.235361729999999492e-01,2.666938409999999871e-02
1.264802070000000112e-01,7.450251820000000080e-01,7.287038040000000105e-01,1.632137789999999963e-02
1.274752839999999943e-01,7.417985769999999590e-01,7.319235880000000138e-01,9.874988240000000250e-03
1.284722409999999870e-01,7.457380219999999449e-01,7.279901899999999815e-01,1.774783220000000078e-02
1.294673189999999974e-01,7.529105860000000483e-01,7.208381109999999481e-01,3.207247480000000039e-02
1.304642749999999907e-01,7.567864509999999711e-01,7.169723860000000171e-01,3.981406550000000238e-02
1.314593530000000010e-01,7.558397569999999455e-01,7.179237339999999801e-01,3.791602250000000035e-02
1.324563089999999943e-01,7.515451039999999638e-01,7.221815259999999626e-01,2.936357729999999888e-02
1.334513870000000046e-01,7.465545390000000170e-01,7.271773660000000472e-01,1.937717289999999967e-02
1.344483439999999974e-01,7.429223590000000321e-01,7.308025540000000486e-01,1.211980529999999966e-02
1.354434210000000083e-01,7.411503969999999608e-01,7.325739970000000323e-01,8.576399369999999564e-03
1.364403780000000010e-01,7.408076700000000292e-01,7.329145329999999792e-01,7.893136929999999135e-03
1.374354560000000114e-01,7.403901419999999733e-01,7.333346590000000553e-01,7.055483050000000214e-03
1.384324120000000047e-01,7.379722440000000550e-01,7.357397100000000467e-01,2.232534029999999874e-03
1.394274899999999873e-01,7.353371039999999637e-01,7.383652250000000139e-01,-3.028121249999999806e-03
1.404244460000000083e-01,7.347816710000000251e-01,7.389177540000000377e-01,-4.136082180000000275e-03
1.414195239999999909e-01,7.370882330000000371e-01,7.366077189999999941e-01,4.805135919999999777e-04
1.424164800000000120e-01,7.403325750000000482e-01,7.333683909999999528e-01,6.964184239999999908e-03
1.434115579999999945e-01,7.419860969999999556e-01,7.317135949999999944e-01,1.027250139999999999e-02
1.444085149999999873e-01,7.408098379999999983e-01,7.328928340000000485e-01,7.917004630000000140e-03
1.454035919999999982e-01,7.378141010000000000e-01,7.358891319999999459e-01,1.924969080000000013e-03
1.464005489999999909e-01,7.350781379999999920e-01,7.386222340000000441e-01,-3.544095849999999784e-03
1.473956270000000013e-01,7.362411509999999826e-01,7.374591969999999552e-01,-1.218045980000000052e-03
1.483925829999999946e-01,7.405312899999999532e-01,7.331696840000000437e-01,7.361606310000000201e-03
1.493876610000000049e-01,7.436605480000000323e-01,7.300671690000000158e-01,1.359337969999999986e-02
1.503846169999999982e-01,7.441156660000000089e-01,7.296087970000000311e-01,1.450686869999999982e-02
1.513796950000000086e-01,7.418536820000000143e-01,7.318708339999999701e-01,9.982848569999999352e-03
1.523766520000000013e-01,7.399282390000000431e-01,7.337958140000000462e-01,6.132425050000000176e-03
1.533717290000000122e-01,7.403359259999999775e-01,7.333635419999999794e-01,6.972384039999999714e-03
1.543686860000000050e-01,7.420963489999999885e-01,7.316070529999999517e-01,1.048929529999999971e-02
1.553637629999999881e-01,7.451552830000000016e-01,7.285520269999999909e-01,1.660325569999999973e-02
1.563607200000000086e-01,7.479549079999999739e-01,7.257581979999999655e-01,2.219670990000000010e-02
1.573557979999999912e-01,7.479274339999999466e-01,7.257890519999999901e-01,2.213838209999999945e-02
1.583527540000000122e-01,7.486515540000000524e-01,7.250641209999999504e-01,2.358743259999999953e-02
1.593447879999999872e-01,7.497346019999999722e-01,7.239896500000000401e-01,2.574495289999999964e-02
1.603398659999999976e-01,7.507345909999999511e-01,7.229892369999999513e-01,2.774535380000000065e-02
1.613368229999999903e-01,7.533767169999999735e-01,7.203557790000000294e-01,3.302093799999999968e-02
1.623319000000000012e-01,7.545529789999999570e-01,7.191857069999999519e-01,3.536727259999999928e-02
1.633288569999999940e-01,7.533965969999999457e-01,7.203588469999999688e-01,3.303775040000000301e-02
1.643239350000000043e-01,7.494430439999999471e-01,7.242998670000000416e-01,2.514317710000000053e-02
1.653208909999999976e-01,7.452184229999999632e-01,7.285124060000000012e-01,1.670601700000000009e-02
1.663159690000000079e-01,7.420400689999999688e-01,7.316862750000000526e-01,1.035379359999999936e-02
1.673129250000000012e-01,7.424554129999999530e-01,7.312651430000000063e-01,1.119027000000000042e-02
1.683080030000000116e-01,7.453605920000000440e-01,7.283694360000000367e-01,1.699115619999999952e-02
1.693049590000000049e-01,7.490643909999999961e-01,7.246736710000000192e-01,2.439071979999999848e-02
1.703000369999999875e-01,7.500400609999999801e-01,7.236875750000000274e-01,2.635248609999999922e-02
1.712969940000000080e-01,7.484878480000000112e-01,7.252277360000000117e-01,2.326011240000000133e-02
1.722920709999999911e-01,7.467297769999999835e-01,7.269834859999999566e-01,1.974629140000000102e-02
1.732890280000000116e-01,7.431226440000000544e-01,7.305838529999999498e-01,1.253879110000000012e-02
1.742841059999999942e-01,7.399213879999999577e-01,7.337784299999999815e-01,6.142958530000000063e-03
1.752810619999999875e-01,7.387487999999999833e-01,7.349504529999999480e-01,3.798346980000000175e-03
1.762761399999999978e-01,7.393101989999999457e-01,7.343922400000000295e-01,4.917959050000000193e-03
1.772730959999999911e-01,7.406686569999999525e-01,7.330340669999999559e-01,7.634589849999999858e-03
1.782681740000000015e-01,7.421487740000000111e-01,7.315790210000000515e-01,1.056975310000000078e-02
1.792651299999999948e-01,7.440534699999999946e-01,7.296737660000000014e-01,1.437970390000000050e-02
1.802602080000000051e-01,7.475568639999999876e-01,7.261623969999999595e-01,2.139446730000000088e-02
1.812571649999999979e-01,7.516835649999999980e-01,7.220425790000000177e-01,2.964098630000000165e-02
1.822522420000000087e-01,7.528514330000000143e-01,7.208804210000000490e-01,3.197101210000000138e-02
1.832491990000000015e-01,7.511763689999999549e-01,7.225498809999999494e-01,2.862648779999999935e-02
1.842442770000000118e-01,7.479878410000000422e-01,7.257274479999999972e-01,2.226039299999999985e-02
1.852412330000000051e-01,7.438312409999999764e-01,7.298745949999999594e-01,1.395664599999999964e-02
1.862363109999999877e-01,7.426759320000000386e-01,7.310270290000000504e-01,1.164890250000000065e-02
1.872332670000000088e-01,7.466975289999999710e-01,7.270162449999999499e-01,1.968128469999999922e-02
1.882283449999999914e-01,7.517577009999999449e-01,7.219674080000000327e-01,2.979029390000000055e-02
1.892253020000000119e-01,7.538503380000000087e-01,7.198900459999999502e-01,3.396029190000000170e-02
1.902203789999999950e-01,7.534214559999999894e-01,7.203107730000000153e-01,3.311068260000000346e-02
1.912173359999999878e-01,7.523645420000000250e-01,7.213686409999999771e-01,3.099590110000000065e-02
1.922124129999999986e-01,7.498008550000000438e-01,7.239244529999999678e-01,2.587640169999999920e-02
1.932093699999999914e-01,7.468936590000000431e-01,7.268377820000000433e-01,2.005587669999999920e-02
1.942044480000000017e-01,7.461540740000000005e-01,7.275803410000000193e-01,1.857373279999999932e-02
1.952014039999999950e-01,7.486106059999999562e-01,7.251299900000000020e-01,2.348061530000000036e-02
1.961964820000000054e-01,7.512018070000000547e-01,7.225451760000000112e-01,2.865663099999999838e-02
1.971934379999999987e-01,7.512287770000000142e-01,7.225137080000000322e-01,2.871506840000000171e-02
1.981885160000000090e-01,7.500565289999999719e-01,7.236652080000000042e-01,2.639132099999999884e-02
1.991854730000000018e-01,7.484657040000000094e-01,7.252514610000000417e-01,2.321424320000000166e-02
2.001805500000000126e-01,7.462390519999999583e-01,7.274919010000000519e-01,1.874715089999999876e-02
2.011775070000000054e-01,7.444316439999999480e-01,7.293013099999999804e-01,1.513033400000000049e-02
2.021725849999999880e-01,7.420467309999999594e-01,7.316775089999999482e-01,1.036922130000000018e-02
2.031695410000000090e-01,7.392257909999999654e-01,7.344761459999999964e-01,4.749644909999999748e-03
2.041646189999999916e-01,7.374775070000000321e-01,7.362221359999999715e-01,1.255370979999999997e-03
2.051615750000000127e-01,7.380687719999999841e-01,7.356503989999999549e-01,2.418372739999999875e-03
2.061566529999999953e-01,7.417948650000000255e-01,7.319161250000000285e-01,9.878739620000000221e-03
2.071536089999999886e-01,7.459264100000000397e-01,7.277879569999999854e-01,1.813845320000000150e-02
2.081486869999999989e-01,7.468389659999999930e-01,7.268751850000000347e-01,1.996378030000000095e-02
2.091456439999999917e-01,7.437474410000000091e-01,7.299626340000000546e-01,1.378480709999999922e-02
2.101407210000000025e-01,7.408478899999999534e-01,7.328582759999999752e-01,7.989613689999999421e-03
2.111376779999999953e-01,7.399692909999999735e-01,7.337335940000000445e-01,6.235697200000000183e-03
2.121297119999999981e-01,7.402796040000000355e-01,7.334222219999999570e-01,6.857382169999999728e-03
2.131247900000000084e-01,7.420881940000000343e-01,7.316158149999999472e-01,1.047237879999999947e-02
2.141217460000000017e-01,7.430157200000000461e-01,7.306932480000000174e-01,1.232247170000000044e-02
2.151168240000000120e-01,7.442565850000000260e-01,7.294541599999999626e-01,1.480242499999999926e-02
2.161137810000000048e-01,7.452658880000000430e-01,7.284447979999999490e-01,1.682109010000000168e-02
2.171088579999999879e-01,7.435393759999999741e-01,7.301692090000000412e-01,1.337016689999999917e-02
2.181058150000000084e-01,7.416401310000000358e-01,7.320693750000000222e-01,9.570755979999999788e-03
2.191008919999999915e-01,7.423120399999999508e-01,7.313941880000000006e-01,1.091785250000000020e-02
2.200978490000000121e-01,7.460994279999999534e-01,7.276157519999999490e-01,1.848367579999999830e-02
2.210929269999999947e-01,7.483388109999999926e-01,7.253779470000000229e-01,2.296086459999999857e-02
2.220898829999999879e-01,7.463357000000000463e-01,7.273802510000000332e-01,1.895544869999999868e-02
2.230849609999999983e-01,7.415105800000000302e-01,7.321955709999999895e-01,9.315008979999999175e-03
