time,vphi1,vphi2,Vcm
6.560048099999999938e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.346617949999999508e-01
6.560764749999999923e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.346620149999999461e-01
6.571115779999999740e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.346651960000000203e-01
6.591115779999999758e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.346713419999999495e-01
6.611115779999999775e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.346774879999999897e-01
6.631115780000000903e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.346836340000000298e-01
6.651115779999999811e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.346897799999999590e-01
6.671115780000000939e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.346959259999999992e-01
6.691115779999999846e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.347020720000000393e-01
6.711115779999999864e-01,0.000000000000000000e+00,1.500000000000000000e+00,7.347082179999999685e-01
6.718750129999999654e-01,0.000000000000000000e+00,1.050000000000000044e+00,7.347093820000000219e-01
6.718750219999999329e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.347108460000000285e-01
6.718750700000000187e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.347104540000000128e-01
6.718753840000000199e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.347107440000000267e-01
6.718802440000000153e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.347132629999999498e-01
6.719579959999999463e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.347310799999999809e-01
6.720000070000000658e-01,1.050000000000000044e+00,0.000000000000000000e+00,7.348712050000000273e-01
6.720000160000000333e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.348753019999999525e-01
6.720000769999999735e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.348865909999999779e-01
6.720007000000000064e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.355554899999999785e-01
6.720106609999999536e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.375863569999999703e-01
6.721700350000000546e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.375757320000000394e-01
6.736800330000000114e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.375767450000000336e-01
6.756800330000000132e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.375783280000000053e-01
6.776800330000000150e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.375799229999999707e-01
6.796800330000000168e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.375815279999999863e-01
6.816800330000000185e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.375831430000000521e-01
6.836800329999999093e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.375847679999999462e-01
6.856800330000000221e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.375864009999999471e-01
6.876800329999999128e-01,1.500000000000000000e+00,0.000000000000000000e+00,7.375880430000000265e-01
6.878750170000000885e-01,4.500000029999999818e-01,0.000000000000000000e+00,7.374123270000000341e-01
6.878750260000000560e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.374026670000000117e-01
6.878751119999999553e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.375175590000000447e-01
6.878757770000000216e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.375189800000000462e-01
6.878864209999999701e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.375190379999999601e-01
6.880000000000000560e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.375190579999999496e-01
