t,ecg_signal_offset
2.160312805474095821e-01,6.481168831168832023e-01
2.170087976539589458e-01,6.447402597402598357e-01
2.179863147605083096e-01,6.405194805194804886e-01
2.189638318670576733e-01,6.411038961038962869e-01
2.199413489736070371e-01,6.488961038961040817e-01
2.209188660801564008e-01,6.546103896103896425e-01
2.218963831867057646e-01,6.516233766233767710e-01
2.228739002932551283e-01,6.425324675324677326e-01
2.238514173998044920e-01,6.304545454545456007e-01
2.248289345063538558e-01,6.209090909090909660e-01
2.258064516129032195e-01,6.251948051948054141e-01
2.267839687194525833e-01,6.382467532467535065e-01
2.277614858260019470e-01,6.475974025974028381e-01
2.287390029325513108e-01,6.542207792207793693e-01
2.297165200391006745e-01,6.540909090909092782e-01
2.306940371456500383e-01,6.516883116883118721e-01
2.316715542521994020e-01,6.463636363636364734e-01
2.326490713587487658e-01,6.408441558441559938e-01
2.336265884652981295e-01,6.382467532467535065e-01
2.346041055718475210e-01,6.392857142857143460e-01
2.355816226783968848e-01,6.412337662337663780e-01
2.365591397849462485e-01,6.388311688311689718e-01
2.375366568914956122e-01,6.388961038961039618e-01
2.385141739980449760e-01,6.426623376623378237e-01
2.394916911045943397e-01,6.491558441558444859e-01
2.404692082111437035e-01,6.534415584415584899e-01
2.414467253176930672e-01,6.551298701298701177e-01
2.424242424242424310e-01,6.524025974025975394e-01
2.434017595307917947e-01,6.488961038961040817e-01
2.443792766373411585e-01,6.446103896103896336e-01
2.453567937438905222e-01,6.506493506493506995e-01
2.463343108504398860e-01,6.609740259740261026e-01
2.473118279569892497e-01,6.612337662337662847e-01
2.482893450635386134e-01,6.538311688311687631e-01
2.492668621700879772e-01,6.444805194805194315e-01
2.502443792766373409e-01,6.401948051948053164e-01
2.512218963831867047e-01,6.359090909090910904e-01
2.521994134897360684e-01,6.387662337662338707e-01
2.531769305962854322e-01,6.442207792207792494e-01
2.541544477028347959e-01,6.511688311688311748e-01
2.551319648093841597e-01,6.561688311688312902e-01
2.561094819159335234e-01,6.541558441558443793e-01
2.570869990224828872e-01,6.491558441558442638e-01
