f,ps_dB
4.000000000000000000e+02,-8.498911258780091771e+01
4.010000000000000000e+02,-8.586104103354350059e+01
4.020000000000000000e+02,-8.650282757771094566e+01
4.030000000000000000e+02,-8.626764174214304148e+01
4.040000000000000000e+02,-8.558788305627784609e+01
4.050000000000000000e+02,-8.513795900088615554e+01
4.060000000000000000e+02,-8.507364970501947710e+01
4.070000000000000000e+02,-8.509027226244543840e+01
4.080000000000000000e+02,-8.486921257849246558e+01
4.090000000000000000e+02,-8.468263427541413080e+01
4.100000000000000000e+02,-8.516677619276224220e+01
4.110000000000000000e+02,-8.646786141797895198e+01
4.120000000000000000e+02,-8.794519866265349606e+01
4.130000000000000000e+02,-8.901004653582023707e+01
4.140000000000000000e+02,-8.981957289036158443e+01
4.150000000000000000e+02,-9.069145098036628383e+01
4.160000000000000000e+02,-9.182175563711793131e+01
4.170000000000000000e+02,-9.321058150741920656e+01
4.180000000000000000e+02,-9.528908282732429313e+01
4.190000000000000000e+02,-9.964417802188543760e+01
4.200000000000000000e+02,-1.052081328779545686e+02
4.210000000000000000e+02,-9.806966466514367653e+01
4.220000000000000000e+02,-9.432674514485367467e+01
4.230000000000000000e+02,-9.367945872788872919e+01
4.240000000000000000e+02,-9.547675042719602345e+01
4.250000000000000000e+02,-9.661644278872608993e+01
4.260000000000000000e+02,-9.219870941060651148e+01
4.270000000000000000e+02,-8.801629835061982021e+01
4.280000000000000000e+02,-8.532006115634617061e+01
4.290000000000000000e+02,-8.375620688258172208e+01
4.300000000000000000e+02,-8.302419657284666243e+01
4.310000000000000000e+02,-8.277944999020732553e+01
4.320000000000000000e+02,-8.263332075004619526e+01
4.330000000000000000e+02,-8.255448280233477476e+01
4.340000000000000000e+02,-8.292959887083441117e+01
4.350000000000000000e+02,-8.404087136833294380e+01
4.360000000000000000e+02,-8.574849247303974664e+01
4.370000000000000000e+02,-8.745409366073491242e+01
4.380000000000000000e+02,-8.842304916945083448e+01
4.390000000000000000e+02,-8.836175121436939150e+01
4.400000000000000000e+02,-8.754369989595096513e+01
4.410000000000000000e+02,-8.647639034279045234e+01
4.420000000000000000e+02,-8.560483093116002351e+01
4.430000000000000000e+02,-8.528666930458854267e+01
4.440000000000000000e+02,-8.583692299903498224e+01
4.450000000000000000e+02,-8.749559547879943011e+01
4.460000000000000000e+02,-9.032637631938388267e+01
4.470000000000000000e+02,-9.404312944797163709e+01
4.480000000000000000e+02,-9.714433277421882451e+01
4.490000000000000000e+02,-9.595689613236285709e+01
4.500000000000000000e+02,-9.227291298833210931e+01
4.510000000000000000e+02,-8.878679211996113452e+01
4.520000000000000000e+02,-8.592962006190828106e+01
4.530000000000000000e+02,-8.392842997891072798e+01
4.540000000000000000e+02,-8.287842168831051026e+01
4.550000000000000000e+02,-8.265304610539571684e+01
4.560000000000000000e+02,-8.302594392857606920e+01
4.570000000000000000e+02,-8.368448372121557099e+01
4.580000000000000000e+02,-8.374674871076807392e+01
4.590000000000000000e+02,-8.211707795158127965e+01
4.600000000000000000e+02,-7.991999024171148847e+01
4.610000000000000000e+02,-7.874519665428297799e+01
4.620000000000000000e+02,-7.898150155511396520e+01
4.630000000000000000e+02,-8.033618584883237190e+01
4.640000000000000000e+02,-8.217892852668538239e+01
4.650000000000000000e+02,-8.390469402545106448e+01
4.660000000000000000e+02,-8.537482577219833502e+01
4.670000000000000000e+02,-8.675260145216552132e+01
4.680000000000000000e+02,-8.773322323167619174e+01
4.690000000000000000e+02,-8.764939532500422104e+01
4.700000000000000000e+02,-8.716252445020154482e+01
4.710000000000000000e+02,-8.757731887417710936e+01
4.720000000000000000e+02,-8.953362724260361460e+01
4.730000000000000000e+02,-9.294712243115546357e+01
4.740000000000000000e+02,-9.592850392765178924e+01
4.750000000000000000e+02,-9.516129638079203801e+01
4.760000000000000000e+02,-9.288743374997700641e+01
