t,derivative
1.935483870967741882e-01,-2.194285714285797440e+00
1.945259042033235519e-01,4.056103896103934403e+00
1.955034213098729157e-01,5.851428571428584746e+00
1.964809384164222794e-01,1.196883116883100229e+00
1.974584555229716432e-01,-2.194285714285683753e+00
1.984359726295210069e-01,-3.025454545454579147e+00
1.994134897360703707e-01,-4.222337662337622533e+00
2.003910068426197344e-01,-4.122597402597421024e+00
2.013685239491690981e-01,-4.322077922077994572e+00
2.023460410557184619e-01,-5.552207792207752846e+00
2.033235581622678256e-01,-4.455064935064910969e+00
2.043010752688172171e-01,-4.987012987013486054e-01
2.052785923753665809e-01,5.352727272727236141e+00
2.062561094819159446e-01,8.477922077922187327e+00
2.072336265884653084e-01,4.721038961038971138e+00
2.082111436950146721e-01,-3.025454545454635991e+00
2.091886608015640359e-01,-6.483116883116849749e+00
2.101661779081133996e-01,-3.690389610389559039e+00
2.111436950146627634e-01,-3.989610389610902530e-01
2.121212121212121271e-01,2.260779220779170373e+00
2.130987292277614908e-01,2.825974025974062442e+00
2.140762463343108546e-01,2.227532467532455485e+00
2.150537634408602183e-01,2.460259740259743921e+00
2.160312805474095821e-01,-5.651948051947783824e-01
2.170087976539589458e-01,-3.889870129870189430e+00
2.179863147605083096e-01,-1.861818181818136964e+00
2.189638318670576733e-01,4.288831168831279683e+00
2.199413489736070371e-01,6.915324675324598047e+00
2.209188660801564008e-01,1.396363636363616934e+00
2.218963831867057646e-01,-6.183896103896017848e+00
2.228739002932551283e-01,-1.083844155844155921e+01
2.238514173998044920e-01,-1.107116883116890449e+01
2.248289345063538558e-01,-2.692987012986975515e+00
2.258064516129032195e-01,8.876883116883220737e+00
2.267839687194525833e-01,1.147012987012988106e+01
2.277614858260019470e-01,8.178701298701241740e+00
2.287390029325513108e-01,3.324675324675297361e+00
2.297165200391006745e-01,-1.296623376623358581e+00
2.306940371456500383e-01,-3.956363636363676051e+00
2.316715542521994020e-01,-5.552207792207809689e+00
2.326490713587487658e-01,-4.155844155844079069e+00
2.336265884652981295e-01,-7.979220779221236626e-01
