 frequency       v(Amag_dB)      v(Aarg)        
 1.40771537e+00  3.95861020e+01  4.25849272e+00 
 1.44017690e+00  3.95908669e+01  3.81345040e+00 
 1.47338699e+00  3.95950827e+01  3.37019220e+00 
 1.50736290e+00  3.95987700e+01  2.92817215e+00 
 1.54212228e+00  3.96019312e+01  2.48732787e+00 
 1.57768320e+00  3.96045719e+01  2.04747564e+00 
 1.61406415e+00  3.96066971e+01  1.60843156e+00 
 1.65128404e+00  3.96083072e+01  1.17011824e+00 
 1.68936220e+00  3.96094122e+01  7.32136197e-01 
 1.72831844e+00  3.96100012e+01  2.94716961e-01 
 1.76817299e+00  3.96100946e+01 -1.42942566e-01 
 1.80894658e+00  3.96096771e+01 -5.80516859e-01 
 1.85066040e+00  3.96087543e+01 -1.01839286e+00 
 1.89333613e+00  3.96073166e+01 -1.45647149e+00 
 1.93699595e+00  3.96053704e+01 -1.89522743e+00 
 1.98166255e+00  3.96029122e+01 -2.33484103e+00 
 2.02735916e+00  3.95999330e+01 -2.77531617e+00 
 2.07410951e+00  3.95964305e+01 -3.21692867e+00 
 2.12193792e+00  3.95923967e+01 -3.65977730e+00 
 2.17086923e+00  3.95878273e+01 -4.10413114e+00 
 2.22092889e+00  3.95827125e+01 -4.55008951e+00 
 2.27214291e+00  3.95770440e+01 -4.99783575e+00 
 2.32453791e+00  3.95708145e+01 -5.44762822e+00 
 2.37814113e+00  3.95640097e+01 -5.89949048e+00 
 2.43298042e+00  3.95566207e+01 -6.35367822e+00 
 2.48908429e+00  3.95486334e+01 -6.81029392e+00 
 2.54648190e+00  3.95400367e+01 -7.26958482e+00 
 2.60520309e+00  3.95308150e+01 -7.73165113e+00 
 2.66527837e+00  3.95209535e+01 -8.19666369e+00 
 2.72673897e+00  3.95104378e+01 -8.66485601e+00 
 2.78961683e+00  3.94992468e+01 -9.13619434e+00 
 2.85394464e+00  3.94873672e+01 -9.61103703e+00 
 2.91975583e+00  3.94747775e+01 -1.00894131e+01 
 2.98708461e+00  3.94614581e+01 -1.05714791e+01 
 3.05596598e+00  3.94473886e+01 -1.10573872e+01 
 3.12643573e+00  3.94325475e+01 -1.15472850e+01 
 3.19853049e+00  3.94169123e+01 -1.20413150e+01 
 3.27228774e+00  3.94004584e+01 -1.25395594e+01 
 3.34774581e+00  3.93831615e+01 -1.30421537e+01 
 3.42494392e+00  3.93649977e+01 -1.35492804e+01 
 3.50392221e+00  3.93459394e+01 -1.40610078e+01 
 3.58472171e+00  3.93259585e+01 -1.45774026e+01 
 3.66738442e+00  3.93050281e+01 -1.50986279e+01 
 3.75195331e+00  3.92831182e+01 -1.56247385e+01 
 3.83847234e+00  3.92602011e+01 -1.61559279e+01 
 3.92698648e+00  3.92362421e+01 -1.66920964e+01 
 4.01754173e+00  3.92112129e+01 -1.72334686e+01 
 4.11018515e+00  3.91850800e+01 -1.77800719e+01 
 4.20496491e+00  3.91578105e+01 -1.83319719e+01 
 4.30193027e+00  3.91293689e+01 -1.88891408e+01 
 4.40113162e+00  3.90997224e+01 -1.94517139e+01 
 4.50262052e+00  3.90688361e+01 -2.00197281e+01 
 4.60644974e+00  3.90366723e+01 -2.05931315e+01 
 4.71267322e+00  3.90031967e+01 -2.11720229e+01 
 4.82134619e+00  3.89683716e+01 -2.17563702e+01 
 4.93252513e+00  3.89321597e+01 -2.23461703e+01 
 5.04626783e+00  3.88945228e+01 -2.29413728e+01 
 5.16263340e+00  3.88554246e+01 -2.35420241e+01 
 5.28168234e+00  3.88148254e+01 -2.41480150e+01 
 5.40347650e+00  3.87726877e+01 -2.47593308e+01 
 5.52807921e+00  3.87289733e+01 -2.53759087e+01 
 5.65555523e+00  3.86836439e+01 -2.59976734e+01 
 5.78597080e+00  3.86366606e+01 -2.66245051e+01 
 5.91939372e+00  3.85879869e+01 -2.72563667e+01 
 6.05589334e+00  3.85375850e+01 -2.78931421e+01 
 6.19554061e+00  3.84854164e+01 -2.85346440e+01 
 6.33840810e+00  3.84314458e+01 -2.91807922e+01 
 6.48457008e+00  3.83756363e+01 -2.98314045e+01 
 6.63410251e+00  3.83179539e+01 -3.04863707e+01 
 6.78708313e+00  3.82583628e+01 -3.11454560e+01 
 6.94359143e+00  3.81968306e+01 -3.18085230e+01 
 7.10370877e+00  3.81333243e+01 -3.24753408e+01 
 7.26751838e+00  3.80678136e+01 -3.31457443e+01 
 7.43510539e+00  3.80002674e+01 -3.38194545e+01 
 7.60655691e+00  3.79306588e+01 -3.44963061e+01 
 7.78196206e+00  3.78589593e+01 -3.51759994e+01 
 7.96141200e+00  3.77851447e+01 -3.58583213e+01 
 8.14500001e+00  3.77091910e+01 -3.65430002e+01 
 8.33282151e+00  3.76310755e+01 -3.72297341e+01 
 8.52497412e+00  3.75507798e+01 -3.79183010e+01 
 8.72155772e+00  3.74682850e+01 -3.86083819e+01 
 8.92267449e+00  3.73835750e+01 -3.92996741e+01 
 9.12842895e+00  3.72966366e+01 -3.99919091e+01 
 9.33892805e+00  3.72074575e+01 -4.06847515e+01 
 9.55428121e+00  3.71160289e+01 -4.13779212e+01 
 9.77460036e+00  3.70223433e+01 -4.20710942e+01 
 1.00000000e+01  3.69263951e+01 -4.27639261e+01 
 1.02305973e+01  3.68281829e+01 -4.34561447e+01 
 1.04665121e+01  3.67277056e+01 -4.41474023e+01 
 1.07078670e+01  3.66249660e+01 -4.48374052e+01 
 1.09547876e+01  3.65199673e+01 -4.55257911e+01 
 1.12074020e+01  3.64127173e+01 -4.62122847e+01 
 1.14658417e+01  3.63032242e+01 -4.68965460e+01 
 1.17302409e+01  3.61915000e+01 -4.75782871e+01 
 1.20007371e+01  3.60775573e+01 -4.82571768e+01 
 1.22774708e+01  3.59614120e+01 -4.89329207e+01 
 1.25605860e+01  3.58430815e+01 -4.96052151e+01 
 1.28502297e+01  3.57225861e+01 -5.02737920e+01 
 1.31465525e+01  3.55999468e+01 -5.09383468e+01 
 1.34497085e+01  3.54751869e+01 -5.15985987e+01 
 1.37598551e+01  3.53483324e+01 -5.22543022e+01 
 1.40771537e+01  3.52194099e+01 -5.29051934e+01 
 1.44017690e+01  3.50884475e+01 -5.35510053e+01 
 1.47338699e+01  3.49554759e+01 -5.41915205e+01 
 1.50736290e+01  3.48205258e+01 -5.48264931e+01 
 1.54212228e+01  3.46836302e+01 -5.54557138e+01 
 1.57768320e+01  3.45448228e+01 -5.60789718e+01 
 1.61406415e+01  3.44041385e+01 -5.66960678e+01 
 1.65128404e+01  3.42616133e+01 -5.73068256e+01 
 1.68936220e+01  3.41172835e+01 -5.79110580e+01 
 1.72831844e+01  3.39711871e+01 -5.85086227e+01 
 1.76817299e+01  3.38233614e+01 -5.90993457e+01 
 1.80894658e+01  3.36738451e+01 -5.96830973e+01 
 1.85066040e+01  3.35226773e+01 -6.02597486e+01 
 1.89333613e+01  3.33698972e+01 -6.08291825e+01 
 1.93699595e+01  3.32155444e+01 -6.13912931e+01 
 1.98166255e+01  3.30596583e+01 -6.19459861e+01 
 2.02735916e+01  3.29022797e+01 -6.24931961e+01 
