 v-sweep         v(vinp)         v(voutp)        v(voutn)       
 7.49150000e-01  7.49150000e-01  6.94402764e-02  1.42971272e+00 
 7.49160000e-01  7.49160000e-01  7.00271737e-02  1.42901574e+00 
 7.49170000e-01  7.49170000e-01  7.06285389e-02  1.42830915e+00 
 7.49180000e-01  7.49180000e-01  7.12351785e-02  1.42759120e+00 
 7.49190000e-01  7.49190000e-01  7.18531835e-02  1.42686259e+00 
 7.49200000e-01  7.49200000e-01  7.24750548e-02  1.42612823e+00 
 7.49210000e-01  7.49210000e-01  7.31163117e-02  1.42537082e+00 
 7.49220000e-01  7.49220000e-01  7.37595501e-02  1.42461343e+00 
 7.49230000e-01  7.49230000e-01  7.44214286e-02  1.42383128e+00 
 7.49240000e-01  7.49240000e-01  7.50908383e-02  1.42304284e+00 
 7.49250000e-01  7.49250000e-01  7.57632553e-02  1.42224746e+00 
 7.49260000e-01  7.49260000e-01  7.64562316e-02  1.42143317e+00 
 7.49270000e-01  7.49270000e-01  7.71659212e-02  1.42059766e+00 
 7.49280000e-01  7.49280000e-01  7.78857690e-02  1.41975560e+00 
 7.49290000e-01  7.49290000e-01  7.86151366e-02  1.41889821e+00 
 7.49300000e-01  7.49300000e-01  7.93558319e-02  1.41802508e+00 
 7.49310000e-01  7.49310000e-01  8.01143908e-02  1.41713750e+00 
 7.49320000e-01  7.49320000e-01  8.08777034e-02  1.41624138e+00 
 7.49330000e-01  7.49330000e-01  8.16614934e-02  1.41532055e+00 
 7.49340000e-01  7.49340000e-01  8.24704226e-02  1.41437407e+00 
 7.49350000e-01  7.49350000e-01  8.32858276e-02  1.41341783e+00 
 7.49360000e-01  7.49360000e-01  8.41204649e-02  1.41244399e+00 
 7.49370000e-01  7.49370000e-01  8.49690320e-02  1.41145004e+00 
 7.49380000e-01  7.49380000e-01  8.58266589e-02  1.41044640e+00 
 7.49390000e-01  7.49390000e-01  8.67228270e-02  1.40940277e+00 
 7.49400000e-01  7.49400000e-01  8.76311890e-02  1.40834848e+00 
 7.49410000e-01  7.49410000e-01  8.85572332e-02  1.40727130e+00 
 7.49420000e-01  7.49420000e-01  8.94923575e-02  1.40618227e+00 
 7.49430000e-01  7.49430000e-01  9.04609034e-02  1.40505872e+00 
 7.49440000e-01  7.49440000e-01  9.14500157e-02  1.40390919e+00 
 7.49450000e-01  7.49450000e-01  9.24659739e-02  1.40273451e+00 
 7.49460000e-01  7.49460000e-01  9.35153257e-02  1.40151695e+00 
 7.49470000e-01  7.49470000e-01  9.45834402e-02  1.40028596e+00 
 7.49480000e-01  7.49480000e-01  9.56800344e-02  1.39902539e+00 
 7.49490000e-01  7.49490000e-01  9.68034293e-02  1.39773274e+00 
 7.49500000e-01  7.49500000e-01  9.79426507e-02  1.39642420e+00 
 7.49510000e-01  7.49510000e-01  9.91389800e-02  1.39504556e+00 
 7.49520000e-01  7.49520000e-01  1.00360967e-01  1.39364967e+00 
 7.49530000e-01  7.49530000e-01  1.01620243e-01  1.39221590e+00 
 7.49540000e-01  7.49540000e-01  1.02918204e-01  1.39074211e+00 
 7.49550000e-01  7.49550000e-01  1.04253408e-01  1.38922389e+00 
 7.49560000e-01  7.49560000e-01  1.05635218e-01  1.38766173e+00 
 7.49570000e-01  7.49570000e-01  1.07055130e-01  1.38604822e+00 
 7.49580000e-01  7.49580000e-01  1.08509124e-01  1.38441323e+00 
 7.49590000e-01  7.49590000e-01  1.10037988e-01  1.38269959e+00 
 7.49600000e-01  7.49600000e-01  1.11655464e-01  1.38089662e+00 
 7.49610000e-01  7.49610000e-01  1.13294830e-01  1.37905517e+00 
 7.49620000e-01  7.49620000e-01  1.14985588e-01  1.37718780e+00 
 7.49630000e-01  7.49630000e-01  1.16812494e-01  1.37517654e+00 
 7.49640000e-01  7.49640000e-01  1.18679329e-01  1.37311918e+00 
 7.49650000e-01  7.49650000e-01  1.20637981e-01  1.37097794e+00 
 7.49660000e-01  7.49660000e-01  1.22687728e-01  1.36874158e+00 
 7.49670000e-01  7.49670000e-01  1.24802225e-01  1.36645989e+00 
 7.49680000e-01  7.49680000e-01  1.27140905e-01  1.36395775e+00 
 7.49690000e-01  7.49690000e-01  1.29490444e-01  1.36144899e+00 
 7.49700000e-01  7.49700000e-01  1.32048664e-01  1.35874660e+00 
 7.49710000e-01  7.49710000e-01  1.34865091e-01  1.35579818e+00 
 7.49720000e-01  7.49720000e-01  1.37818248e-01  1.35275342e+00 
