 frequency       v(Cinp)         v(Cinp)         v(Cinn)         v(Cinn)        
 9.12842895e+00  1.93209183e-14  0.00000000e+00  2.86128819e-13  0.00000000e+00 
 9.33892805e+00  1.88720705e-14  0.00000000e+00  2.79836840e-13  0.00000000e+00 
 9.55428121e+00  1.84334771e-14  0.00000000e+00  2.73689974e-13  0.00000000e+00 
 9.77460036e+00  1.80049389e-14  0.00000000e+00  2.67685009e-13  0.00000000e+00 
 1.00000000e+01  1.75862038e-14  0.00000000e+00  2.61818875e-13  0.00000000e+00 
 1.02305973e+01  1.71771353e-14  0.00000000e+00  2.56088398e-13  0.00000000e+00 
 1.04665121e+01  1.67774889e-14  0.00000000e+00  2.50490630e-13  0.00000000e+00 
 1.07078670e+01  1.63870532e-14  0.00000000e+00  2.45022625e-13  0.00000000e+00 
 1.09547876e+01  1.60056214e-14  0.00000000e+00  2.39681520e-13  0.00000000e+00 
 1.12074020e+01  1.56330407e-14  0.00000000e+00  2.34464481e-13  0.00000000e+00 
 1.14658417e+01  1.52690861e-14  0.00000000e+00  2.29368801e-13  0.00000000e+00 
 1.17302409e+01  1.49136101e-14  0.00000000e+00  2.24391753e-13  0.00000000e+00 
 1.20007371e+01  1.45663963e-14  0.00000000e+00  2.19530754e-13  0.00000000e+00 
 1.22774708e+01  1.42272795e-14  0.00000000e+00  2.14783222e-13  0.00000000e+00 
 1.25605860e+01  1.38960751e-14  0.00000000e+00  2.10146667e-13  0.00000000e+00 
 1.28502297e+01  1.35726241e-14  0.00000000e+00  2.05618580e-13  0.00000000e+00 
 1.31465525e+01  1.32567488e-14  0.00000000e+00  2.01196646e-13  0.00000000e+00 
 1.34497085e+01  1.29482958e-14  0.00000000e+00  1.96878443e-13  0.00000000e+00 
 1.37598551e+01  1.26470941e-14  0.00000000e+00  1.92661697e-13  0.00000000e+00 
 1.40771537e+01  1.23529962e-14  0.00000000e+00  1.88544192e-13  0.00000000e+00 
 1.44017690e+01  1.20658184e-14  0.00000000e+00  1.84523691e-13  0.00000000e+00 
 1.47338699e+01  1.17854387e-14  0.00000000e+00  1.80598055e-13  0.00000000e+00 
 1.50736290e+01  1.15116622e-14  0.00000000e+00  1.76765179e-13  0.00000000e+00 
 1.54212228e+01  1.12444084e-14  0.00000000e+00  1.73023031e-13  0.00000000e+00 
 1.57768320e+01  1.09834714e-14  0.00000000e+00  1.69369521e-13  0.00000000e+00 
 1.61406415e+01  1.07287392e-14  0.00000000e+00  1.65802754e-13  0.00000000e+00 
 1.65128404e+01  1.04800668e-14  0.00000000e+00  1.62320744e-13  0.00000000e+00 
 1.68936220e+01  1.02373124e-14  0.00000000e+00  1.58921603e-13  0.00000000e+00 
