 v-sweep         v(Vbiasc)       v(Vbias)        v(Ix)           v(Iout)        
 1.11500000e+00  2.76560658e-01  1.29072743e-01  1.01635183e-08  1.02285155e-08 
 1.12000000e+00  2.76547746e-01  1.29066706e-01  1.01617675e-08  1.02265762e-08 
 1.12500000e+00  2.76527861e-01  1.29057392e-01  1.01589900e-08  1.02236039e-08 
 1.13000000e+00  2.76507784e-01  1.29048002e-01  1.01561884e-08  1.02206000e-08 
 1.13500000e+00  2.76487674e-01  1.29038564e-01  1.01533715e-08  1.02176027e-08 
 1.14000000e+00  2.76467575e-01  1.29029152e-01  1.01505627e-08  1.02145999e-08 
 1.14500000e+00  2.76451667e-01  1.29021701e-01  1.01483672e-08  1.02122210e-08 
 1.15000000e+00  2.76434193e-01  1.29013528e-01  1.01459453e-08  1.02096062e-08 
 1.15500000e+00  2.76415279e-01  1.29004665e-01  1.01433076e-08  1.02067820e-08 
 1.16000000e+00  2.76390666e-01  1.28993150e-01  1.01398399e-08  1.02031081e-08 
 1.16500000e+00  2.76374854e-01  1.28985756e-01  1.01376611e-08  1.02007401e-08 
 1.17000000e+00  2.76362399e-01  1.28979936e-01  1.01359733e-08  1.01988712e-08 
 1.17500000e+00  2.76339554e-01  1.28969240e-01  1.01327618e-08  1.01954619e-08 
 1.18000000e+00  2.76321373e-01  1.28960718e-01  1.01302293e-08  1.01927523e-08 
 1.18500000e+00  2.76305772e-01  1.28953426e-01  1.01280809e-08  1.01904141e-08 
 1.19000000e+00  2.76293036e-01  1.28947488e-01  1.01263544e-08  1.01884970e-08 
 1.19500000e+00  2.76273528e-01  1.28938365e-01  1.01236336e-08  1.01855818e-08 
 1.20000000e+00  2.76262441e-01  1.28933176e-01  1.01221402e-08  1.01839177e-08 
 1.20500000e+00  2.76233693e-01  1.28919730e-01  1.01180702e-08  1.01796326e-08 
 1.21000000e+00  2.76229983e-01  1.28917997e-01  1.01176543e-08  1.01790613e-08 
 1.21500000e+00  2.76207486e-01  1.28907482e-01  1.01144982e-08  1.01757021e-08 
 1.22000000e+00  2.76196120e-01  1.28902181e-01  1.01129685e-08  1.01739907e-08 
 1.22500000e+00  2.76168396e-01  1.28889203e-01  1.01090451e-08  1.01698640e-08 
 1.23000000e+00  2.76157784e-01  1.28884257e-01  1.01076249e-08  1.01682628e-08 
 1.23500000e+00  2.76139975e-01  1.28875932e-01  1.01051517e-08  1.01656001e-08 
 1.24000000e+00  2.76124662e-01  1.28868787e-01  1.01030461e-08  1.01633026e-08 
 1.24500000e+00  2.76105318e-01  1.28859738e-01  1.01003469e-08  1.01604159e-08 
 1.25000000e+00  2.76092168e-01  1.28853599e-01  1.00985541e-08  1.01584420e-08 
 1.25500000e+00  2.76076399e-01  1.28846239e-01  1.00963808e-08  1.01560780e-08 
 1.26000000e+00  2.76057580e-01  1.28837453e-01  1.00937632e-08  1.01532619e-08 
 1.26500000e+00  2.76038361e-01  1.28828466e-01  1.00910835e-08  1.01503928e-08 
 1.27000000e+00  2.76021258e-01  1.28820480e-01  1.00887150e-08  1.01478329e-08 
 1.27500000e+00  2.76013235e-01  1.28816752e-01  1.00876709e-08  1.01466097e-08 
 1.28000000e+00  2.75989674e-01  1.28805740e-01  1.00843613e-08  1.01430978e-08 
 1.28500000e+00  2.75977132e-01  1.28799905e-01  1.00826611e-08  1.01412053e-08 
 1.29000000e+00  2.75965763e-01  1.28794606e-01  1.00811276e-08  1.01394901e-08 
 1.29500000e+00  2.75949226e-01  1.28786892e-01  1.00788431e-08  1.01370111e-08 
 1.30000000e+00  2.75933592e-01  1.28779595e-01  1.00766883e-08  1.01346673e-08 
 1.30500000e+00  2.75918006e-01  1.28772330e-01  1.00745432e-08  1.01323256e-08 
 1.31000000e+00  2.75897033e-01  1.28762541e-01  1.00716139e-08  1.01291932e-08 
 1.31500000e+00  2.75890736e-01  1.28759643e-01  1.00708248e-08  1.01282143e-08 
 1.32000000e+00  2.75870133e-01  1.28750008e-01  1.00679439e-08  1.01251422e-08 
 1.32500000e+00  2.75852359e-01  1.28741729e-01  1.00654838e-08  1.01224749e-08 
 1.33000000e+00  2.75844450e-01  1.28738054e-01  1.00644529e-08  1.01212671e-08 
 1.33500000e+00  2.75827175e-01  1.28730013e-01  1.00620664e-08  1.01186707e-08 
 1.34000000e+00  2.75807809e-01  1.28720979e-01  1.00593723e-08  1.01157741e-08 
 1.34500000e+00  2.75803960e-01  1.28719226e-01  1.00589365e-08  1.01151553e-08 
 1.35000000e+00  2.75782663e-01  1.28709291e-01  1.00559628e-08  1.01119705e-08 
 1.35500000e+00  2.75765993e-01  1.28701533e-01  1.00536644e-08  1.01094636e-08 
 1.36000000e+00  2.75756014e-01  1.28696893e-01  1.00523329e-08  1.01079462e-08 
 1.36500000e+00  2.75740188e-01  1.28689529e-01  1.00501567e-08  1.01055638e-08 
 1.37000000e+00  2.75730088e-01  1.28684852e-01  1.00488130e-08  1.01040207e-08 
 1.37500000e+00  2.75714055e-01  1.28677395e-01  1.00466081e-08  1.01016056e-08 
 1.38000000e+00  2.75692057e-01  1.28667128e-01  1.00435328e-08  1.00983206e-08 
 1.38500000e+00  2.75681292e-01  1.28662134e-01  1.00420912e-08  1.00966813e-08 
 1.39000000e+00  2.75666879e-01  1.28655439e-01  1.00401223e-08  1.00945028e-08 
 1.39500000e+00  2.75646045e-01  1.28645731e-01  1.00372210e-08  1.00913825e-08 
 1.40000000e+00  2.75646554e-01  1.28646046e-01  1.00374217e-08  1.00913881e-08 
 1.40500000e+00  2.75624881e-01  1.28635934e-01  1.00343960e-08  1.00881472e-08 
 1.41000000e+00  2.75614017e-01  1.28630916e-01  1.00329463e-08  1.00864820e-08 
 1.41500000e+00  2.75605437e-01  1.28626963e-01  1.00318258e-08  1.00851533e-08 
 1.42000000e+00  2.75594605e-01  1.28621954e-01  1.00303787e-08  1.00834950e-08 
 1.42500000e+00  2.75571979e-01  1.28611414e-01  1.00272212e-08  1.00801080e-08 
 1.43000000e+00  2.75557370e-01  1.28604637e-01  1.00252277e-08  1.00778934e-08 
 1.43500000e+00  2.75550788e-01  1.28601624e-01  1.00243977e-08  1.00768534e-08 
 1.44000000e+00  2.75528032e-01  1.28591018e-01  1.00212209e-08  1.00734490e-08 
 1.44500000e+00  2.75519713e-01  1.28587207e-01  1.00201442e-08  1.00721494e-08 
 1.45000000e+00  2.75504638e-01  1.28580207e-01  1.00180821e-08  1.00698650e-08 
