 v-sweep         v(Ileak_lv_w_dummy) v(Ileak_hv_w_dummy) v(Ileak_lv_wo_dummy) v(Ileak_hv_wo_dummy)
 8.90000000e-01 -2.31821281e-12 -4.04397887e-16  3.42912007e-13  5.18676607e-17 
 9.00000000e-01 -2.31819274e-12 -3.84397887e-16  3.42932073e-13  7.18676607e-17 
 9.10000000e-01 -2.31817266e-12 -3.64397887e-16  3.42952161e-13  9.18676607e-17 
 9.20000000e-01 -2.31815254e-12 -3.44397887e-16  3.42972277e-13  1.11867661e-16 
 9.30000000e-01 -2.31813238e-12 -3.24397887e-16  3.42992433e-13  1.31867661e-16 
 9.40000000e-01 -2.31811217e-12 -3.04397887e-16  3.43012645e-13  1.51867661e-16 
 9.50000000e-01 -2.31809188e-12 -2.84397887e-16  3.43032934e-13  1.71867661e-16 
 9.60000000e-01 -2.31807149e-12 -2.64397887e-16  3.43053329e-13  1.91867661e-16 
 9.70000000e-01 -2.31805095e-12 -2.44397887e-16  3.43073871e-13  2.11867661e-16 
 9.80000000e-01 -2.31803020e-12 -2.24397887e-16  3.43094616e-13  2.31867661e-16 
 9.90000000e-01 -2.31800918e-12 -2.04397887e-16  3.43115641e-13  2.51867661e-16 
 1.00000000e+00 -2.31798776e-12 -1.84397887e-16  3.43137055e-13  2.71867661e-16 
 1.01000000e+00 -2.31796581e-12 -1.64397887e-16  3.43159007e-13  2.91867661e-16 
 1.02000000e+00 -2.31794312e-12 -1.44397887e-16  3.43181701e-13  3.11867661e-16 
 1.03000000e+00 -2.31791940e-12 -1.24397887e-16  3.43205422e-13  3.31867661e-16 
 1.04000000e+00 -2.31789426e-12 -1.04397887e-16  3.43230563e-13  3.51867661e-16 
 1.05000000e+00 -2.31786715e-12 -8.43978868e-17  3.43257667e-13  3.71867661e-16 
 1.06000000e+00 -2.31783733e-12 -6.43978868e-17  3.43287484e-13  3.91867661e-16 
 1.07000000e+00 -2.31780377e-12 -4.43978867e-17  3.43321051e-13  4.11867661e-16 
 1.08000000e+00 -2.31776502e-12 -2.43978865e-17  3.43359800e-13  4.31867661e-16 
 1.09000000e+00 -2.31771911e-12 -4.39788622e-18  3.43405708e-13  4.51867661e-16 
 1.10000000e+00 -2.31766331e-12  1.56021143e-17  3.43461509e-13  4.71867662e-16 
 1.11000000e+00 -2.31759384e-12  3.56021151e-17  3.43530975e-13  4.91867663e-16 
 1.12000000e+00 -2.31750550e-12  5.56021164e-17  3.43619317e-13  5.11867664e-16 
 1.13000000e+00 -2.31739109e-12  7.56021186e-17  3.43733729e-13  5.31867666e-16 
 1.14000000e+00 -2.31724067e-12  9.56021222e-17  3.43884149e-13  5.51867670e-16 
 1.15000000e+00 -2.31704055e-12  1.15602128e-16  3.44084270e-13  5.71867676e-16 
 1.16000000e+00 -2.31677180e-12  1.35602138e-16  3.44353021e-13  5.91867686e-16 
 1.17000000e+00 -2.31640828e-12  1.55602154e-16  3.44716534e-13  6.11867702e-16 
 1.18000000e+00 -2.31591399e-12  1.75602181e-16  3.45210827e-13  6.31867728e-16 
 1.19000000e+00 -2.31523918e-12  1.95602224e-16  3.45885642e-13  6.51867772e-16 
 1.20000000e+00 -2.31431526e-12  2.15602295e-16  3.46809558e-13  6.71867842e-16 
 1.21000000e+00 -2.31304758e-12  2.35602410e-16  3.48077235e-13  6.91867958e-16 
 1.22000000e+00 -2.31130563e-12  2.55602597e-16  3.49819187e-13  7.11868145e-16 
 1.23000000e+00 -2.30890936e-12  2.75602901e-16  3.52215455e-13  7.31868449e-16 
 1.24000000e+00 -2.30561052e-12  2.95603393e-16  3.55514300e-13  7.51868941e-16 
 1.25000000e+00 -2.30106679e-12  3.15604188e-16  3.60058030e-13  7.71869735e-16 
 1.26000000e+00 -2.29480618e-12  3.35605468e-16  3.66318637e-13  7.91871016e-16 
 1.27000000e+00 -2.28617808e-12  3.55607529e-16  3.74946742e-13  8.11873076e-16 
 1.28000000e+00 -2.27428562e-12  3.75610836e-16  3.86839201e-13  8.31876384e-16 
 1.29000000e+00 -2.25789272e-12  3.95616133e-16  4.03232098e-13  8.51881681e-16 
 1.30000000e+00 -2.23529592e-12  4.15624600e-16  4.25828899e-13  8.71890148e-16 
 1.31000000e+00 -2.20414790e-12  4.35638103e-16  4.56976922e-13  8.91903651e-16 
 1.32000000e+00 -2.16121453e-12  4.55659592e-16  4.99910291e-13  9.11925139e-16 
 1.33000000e+00 -2.10204031e-12  4.75693716e-16  5.59084504e-13  9.31959264e-16 
 1.34000000e+00 -2.02048779e-12  4.95747787e-16  6.40637032e-13  9.52013335e-16 
 1.35000000e+00 -1.90810351e-12  5.15833280e-16  7.53021312e-13  9.72098828e-16 
 1.36000000e+00 -1.75324544e-12  5.35968161e-16  9.07879380e-13  9.92233708e-16 
 1.37000000e+00 -1.53988196e-12  5.56180495e-16  1.12124286e-12  1.01244604e-15 
 1.38000000e+00 -1.24593922e-12  5.76514033e-16  1.41518560e-12  1.03277958e-15 
 1.39000000e+00 -8.41027257e-13  5.97036815e-16  1.82009756e-12  1.05330236e-15 
 1.40000000e+00 -2.83311529e-13  6.17854419e-16  2.37781329e-12  1.07411997e-15 
 1.41000000e+00  4.84790614e-13  6.39130313e-16  3.14591543e-12  1.09539586e-15 
 1.42000000e+00  1.54252940e-12  6.61117010e-16  4.20365421e-12  1.11738256e-15 
 1.43000000e+00  2.99896381e-12  6.84203704e-16  5.66008863e-12  1.14046925e-15 
 1.44000000e+00  5.00415713e-12  7.08988894e-16  7.66528195e-12  1.16525444e-15 
 1.45000000e+00  7.76457101e-12  7.36390864e-16  1.04256958e-11  1.19265641e-15 
 1.46000000e+00  1.21636811e-11  7.70281794e-16  1.48248059e-11  1.22654734e-15 
 1.47000000e+00  1.76185721e-11  8.09187405e-16  2.02796969e-11  1.26545295e-15 
 1.48000000e+00  2.51252828e-11  8.58218968e-16  2.77864076e-11  1.31448452e-15 
 1.49000000e+00  3.54544543e-11  9.22701477e-16  3.81155791e-11  1.37896702e-15 
 1.50000000e+00  4.96657421e-11  1.01070734e-15  5.23268669e-11  1.46697289e-15 
