 time            v(vin)          v(vout_buf)     v(vout_st)     
 7.64659864e-04  2.52337755e+00  3.30000000e+00 -1.67638203e-08 
 7.65909864e-04  2.52750255e+00  3.30000000e+00 -6.27106775e-08 
 7.65948926e-04  2.52763146e+00  3.30000000e+00 -5.04140078e-07 
 7.65950147e-04  2.52763549e+00  3.30000000e+00 -5.49551869e-07 
 7.65952589e-04  2.52764354e+00  3.30000000e+00 -6.50290456e-07 
 7.65957471e-04  2.52765966e+00  3.30000000e+00 -9.47427554e-07 
 7.65967237e-04  2.52769188e+00  3.30000000e+00 -4.51181863e-06 
 7.65969678e-04  2.52769994e+00  3.30000000e+00 -1.17475565e-05 
 7.65970289e-04  2.52770195e+00  3.30000000e+00 -1.48295514e-05 
 7.65971509e-04  2.52770598e+00  3.30000000e+00 -2.49869764e-05 
 7.65972654e-04  2.52770976e+00  3.30000000e+00  3.16708204e+00 
 7.65973486e-04  2.52771250e+00  3.30000000e+00  3.37517396e+00 
 7.65974266e-04  2.52771508e+00  3.30000000e+00  3.23131117e+00 
 7.65974816e-04  2.52771689e+00  3.30000000e+00  3.34963450e+00 
 7.65975425e-04  2.52771890e+00  3.30000000e+00  3.25648916e+00 
 7.65976038e-04  2.52772092e+00  3.30000000e+00  3.33678579e+00 
 7.65976751e-04  2.52772328e+00  3.30000000e+00  3.26657900e+00 
 7.65977692e-04  2.52772638e+00  3.30000000e+00  3.33039057e+00 
 7.65978875e-04  2.52773029e+00  3.30000000e+00  3.27114320e+00 
 7.65980529e-04  2.52773575e+00  3.30000000e+00  3.32729236e+00 
 7.65983111e-04  2.52774427e+00  3.30000000e+00  3.27320502e+00 
 7.65987595e-04  2.52775906e+00  3.30000000e+00  3.32609781e+00 
 7.65996562e-04  2.52778866e+00  3.30000000e+00  3.27386157e+00 
 7.66014497e-04  2.52784784e+00  3.30000000e+00  3.32578059e+00 
 7.66050366e-04  2.52796621e+00  3.30000000e+00  3.27402285e+00 
 7.66122104e-04  2.52820294e+00  3.30000000e+00  3.32570194e+00 
 7.66265580e-04  2.52867641e+00  3.30000000e+00  3.27406299e+00 
 7.66552532e-04  2.52962336e+00  3.30000000e+00  3.32568232e+00 
 7.67126437e-04  2.53151724e+00  3.30000000e+00  3.27407300e+00 
 7.68274246e-04  2.53530501e+00  3.30000000e+00  3.32567738e+00 
 7.70569864e-04  2.54288055e+00  3.30000000e+00  3.27407545e+00 
 7.75161100e-04  2.55803163e+00  3.30000000e+00  3.32567605e+00 
 7.80161100e-04  2.57453163e+00  3.30000000e+00  3.27407610e+00 
 7.85161100e-04  2.59103163e+00  3.30000000e+00  3.32567515e+00 
 7.90161100e-04  2.60753163e+00  3.30000000e+00  3.27407672e+00 
 7.95161100e-04  2.62403163e+00  3.30000000e+00  3.32567426e+00 
 8.00161100e-04  2.64053163e+00  3.30000000e+00  3.27407734e+00 
 8.05161100e-04  2.65703163e+00  3.30000000e+00  3.32567337e+00 
 8.10161100e-04  2.67353163e+00  3.30000000e+00  3.27407797e+00 
 8.15161100e-04  2.69003163e+00  3.30000000e+00  3.32567248e+00 
 8.20161100e-04  2.70653163e+00  3.30000000e+00  3.27407860e+00 
 8.25161100e-04  2.72303163e+00  3.30000000e+00  3.32567160e+00 
 8.30161100e-04  2.73953163e+00  3.30000000e+00  3.27407924e+00 
 8.35161100e-04  2.75603163e+00  3.30000000e+00  3.32567073e+00 
 8.40161100e-04  2.77253163e+00  3.30000000e+00  3.27407989e+00 
 8.45161100e-04  2.78903163e+00  3.30000000e+00  3.32566981e+00 
 8.50161100e-04  2.80553163e+00  3.30000000e+00  3.27408048e+00 
 8.55161100e-04  2.82203163e+00  3.30000000e+00  3.32566891e+00 
 8.60161100e-04  2.83853163e+00  3.30000000e+00  3.27408107e+00 
 8.65161100e-04  2.85503163e+00  3.30000000e+00  3.32566798e+00 
 8.70161100e-04  2.87153163e+00  3.30000000e+00  3.27408165e+00 
 8.75161100e-04  2.88803163e+00  3.30000000e+00  3.32566708e+00 
 8.80161100e-04  2.90453163e+00  3.30000000e+00  3.27408231e+00 
 8.85161100e-04  2.92103163e+00  3.30000000e+00  3.32566622e+00 
 8.90161100e-04  2.93753163e+00  3.30000000e+00  3.27408296e+00 
 8.95161100e-04  2.95403163e+00  3.30000000e+00  3.32566541e+00 
 9.00161100e-04  2.97053163e+00  3.30000000e+00  3.27408369e+00 
 9.05161100e-04  2.98703163e+00  3.30000000e+00  3.32566452e+00 
 9.10161100e-04  3.00353163e+00  3.30000000e+00  3.27408437e+00 
 9.15161100e-04  3.02003163e+00  3.30000000e+00  3.32566373e+00 
 9.20161100e-04  3.03653163e+00  3.30000000e+00  3.27408505e+00 
 9.25161100e-04  3.05303163e+00  3.30000000e+00  3.32566289e+00 
 9.30161100e-04  3.06953163e+00  3.30000000e+00  3.27408573e+00 
 9.35161100e-04  3.08603163e+00  3.30000000e+00  3.32566205e+00 
 9.40161100e-04  3.10253163e+00  3.30000000e+00  3.27408642e+00 
 9.45161100e-04  3.11903163e+00  3.30000000e+00  3.32566122e+00 
 9.50161100e-04  3.13553163e+00  3.30000000e+00  3.27408711e+00 
 9.55161100e-04  3.15203163e+00  3.30000000e+00  3.32566039e+00 
 9.60161100e-04  3.16853163e+00  3.30000000e+00  3.27408781e+00 
 9.65161100e-04  3.18503163e+00  3.30000000e+00  3.32565956e+00 
 9.70161100e-04  3.20153163e+00  3.30000000e+00  3.27408851e+00 
 9.75161100e-04  3.21803163e+00  3.30000000e+00  3.32565873e+00 
 9.80161100e-04  3.23453163e+00  3.30000000e+00  3.27408921e+00 
