 frequency       v(PSRR_dB)     
 3.92698648e+00  1.16182663e+02 
 4.01754173e+00  1.16181336e+02 
 4.11018515e+00  1.16192187e+02 
 4.20496491e+00  1.16200691e+02 
 4.30193027e+00  1.16208212e+02 
 4.40113162e+00  1.16200311e+02 
 4.50262052e+00  1.16210226e+02 
 4.60644974e+00  1.16207789e+02 
 4.71267322e+00  1.16226406e+02 
 4.82134619e+00  1.16211691e+02 
 4.93252513e+00  1.16230014e+02 
 5.04626783e+00  1.16205019e+02 
 5.16263340e+00  1.16197832e+02 
 5.28168234e+00  1.16206247e+02 
 5.40347650e+00  1.16215574e+02 
 5.52807921e+00  1.16211195e+02 
 5.65555523e+00  1.16229238e+02 
 5.78597080e+00  1.16223545e+02 
 5.91939372e+00  1.16197952e+02 
 6.05589334e+00  1.16229848e+02 
 6.19554061e+00  1.16218862e+02 
 6.33840810e+00  1.16240706e+02 
 6.48457008e+00  1.16253082e+02 
 6.63410251e+00  1.16275168e+02 
 6.78708313e+00  1.16240396e+02 
 6.94359143e+00  1.16243473e+02 
 7.10370877e+00  1.16267983e+02 
 7.26751838e+00  1.16252181e+02 
 7.43510539e+00  1.16260595e+02 
 7.60655691e+00  1.16291127e+02 
 7.78196206e+00  1.16265562e+02 
 7.96141200e+00  1.16295725e+02 
 8.14500001e+00  1.16275195e+02 
 8.33282151e+00  1.16292859e+02 
 8.52497412e+00  1.16286339e+02 
 8.72155772e+00  1.16283487e+02 
 8.92267449e+00  1.16315645e+02 
 9.12842895e+00  1.16305252e+02 
 9.33892805e+00  1.16319176e+02 
 9.55428121e+00  1.16335736e+02 
 9.77460036e+00  1.16345891e+02 
 1.00000000e+01  1.16376359e+02 
 1.02305973e+01  1.16372074e+02 
 1.04665121e+01  1.16358287e+02 
 1.07078670e+01  1.16373345e+02 
 1.09547876e+01  1.16403776e+02 
 1.12074020e+01  1.16389710e+02 
 1.14658417e+01  1.16400687e+02 
 1.17302409e+01  1.16405384e+02 
 1.20007371e+01  1.16458344e+02 
 1.22774708e+01  1.16435096e+02 
 1.25605860e+01  1.16441563e+02 
 1.28502297e+01  1.16452654e+02 
 1.31465525e+01  1.16483406e+02 
 1.34497085e+01  1.16477900e+02 
 1.37598551e+01  1.16499493e+02 
 1.40771537e+01  1.16524567e+02 
 1.44017690e+01  1.16540746e+02 
 1.47338699e+01  1.16581623e+02 
 1.50736290e+01  1.16559801e+02 
 1.54212228e+01  1.16603131e+02 
 1.57768320e+01  1.16601041e+02 
 1.61406415e+01  1.16653886e+02 
 1.65128404e+01  1.16643438e+02 
 1.68936220e+01  1.16655889e+02 
 1.72831844e+01  1.16693324e+02 
 1.76817299e+01  1.16727434e+02 
 1.80894658e+01  1.16735339e+02 
 1.85066040e+01  1.16762549e+02 
 1.89333613e+01  1.16775578e+02 
 1.93699595e+01  1.16806154e+02 
 1.98166255e+01  1.16878904e+02 
 2.02735916e+01  1.16876439e+02 
 2.07410951e+01  1.16926259e+02 
 2.12193792e+01  1.16925647e+02 
 2.17086923e+01  1.16983124e+02 
 2.22092889e+01  1.17015917e+02 
 2.27214291e+01  1.17050406e+02 
 2.32453791e+01  1.17143208e+02 
 2.37814113e+01  1.17153756e+02 
 2.43298042e+01  1.17211428e+02 
 2.48908429e+01  1.17256648e+02 
 2.54648190e+01  1.17295228e+02 
 2.60520309e+01  1.17368232e+02 
 2.66527837e+01  1.17416801e+02 
 2.72673897e+01  1.17470225e+02 
 2.78961683e+01  1.17535831e+02 
 2.85394464e+01  1.17603528e+02 
 2.91975583e+01  1.17661043e+02 
 2.98708461e+01  1.17756569e+02 
 3.05596598e+01  1.17839044e+02 
 3.12643573e+01  1.17892530e+02 
 3.19853049e+01  1.17975047e+02 
 3.27228774e+01  1.18051690e+02 
 3.34774581e+01  1.18152235e+02 
 3.42494392e+01  1.18265329e+02 
 3.50392221e+01  1.18368148e+02 
 3.58472171e+01  1.18445470e+02 
 3.66738442e+01  1.18510988e+02 
 3.75195331e+01  1.18636569e+02 
 3.83847234e+01  1.18765608e+02 
 3.92698648e+01  1.18863141e+02 
 4.01754173e+01  1.18993371e+02 
 4.11018515e+01  1.19139345e+02 
 4.20496491e+01  1.19301225e+02 
 4.30193027e+01  1.19430646e+02 
 4.40113162e+01  1.19606705e+02 
 4.50262052e+01  1.19755003e+02 
 4.60644974e+01  1.19920386e+02 
 4.71267322e+01  1.20090703e+02 
 4.82134619e+01  1.20288262e+02 
 4.93252513e+01  1.20484852e+02 
