 time            v(Vb)           v(Voutp)        v(Voutn)        v(Vbias)        v(Vcmref)      
 9.76003245e-04  9.55464377e-01  7.50000000e-01  7.50000000e-01  9.94000811e-01  7.50000000e-01 
 9.76004366e-04  9.55467283e-01  7.50000000e-01  7.50000000e-01  9.94001092e-01  7.50000000e-01 
 9.76006052e-04  9.55464529e-01  7.50000000e-01  7.50000000e-01  9.94001513e-01  7.50000000e-01 
 9.76008555e-04  9.55467183e-01  7.50000000e-01  7.50000000e-01  9.94002139e-01  7.50000000e-01 
 9.76012538e-04  9.55464592e-01  7.50000000e-01  7.50000000e-01  9.94003135e-01  7.50000000e-01 
 9.76019182e-04  9.55467142e-01  7.50000000e-01  7.50000000e-01  9.94004795e-01  7.50000000e-01 
 9.76029519e-04  9.55464611e-01  7.50000000e-01  7.50000000e-01  9.94007380e-01  7.50000000e-01 
 9.76046694e-04  9.55467120e-01  7.50000000e-01  7.50000000e-01  9.94011674e-01  7.50000000e-01 
 9.76081045e-04  9.55464606e-01  7.50000000e-01  7.50000000e-01  9.94020261e-01  7.50000000e-01 
 9.76149746e-04  9.55467090e-01  7.50000000e-01  7.50000000e-01  9.94037436e-01  7.50000000e-01 
 9.76287148e-04  9.55464556e-01  7.50000000e-01  7.50000000e-01  9.94071787e-01  7.50000000e-01 
 9.76561951e-04  9.55466985e-01  7.50000000e-01  7.50000000e-01  9.94140488e-01  7.50000000e-01 
 9.77111559e-04  9.55464348e-01  7.50000000e-01  7.50000000e-01  9.94277890e-01  7.50000000e-01 
 9.78210774e-04  9.55466568e-01  7.50000000e-01  7.50000000e-01  9.94552694e-01  7.50000000e-01 
 9.80409205e-04  9.55463514e-01  7.50000000e-01  7.50000000e-01  9.95102301e-01  7.50000000e-01 
 9.83875010e-04  9.55465136e-01  7.50000000e-01  7.50000000e-01  9.95968752e-01  7.50000000e-01 
 9.83875011e-04  9.55458801e-01  7.50000000e-01  7.50000000e-01  9.95968753e-01  7.50000000e-01 
 9.83875013e-04  9.55448356e-01  7.50000000e-01  7.50000000e-01  9.95968753e-01  7.50000000e-01 
 9.83875017e-04  9.55436182e-01  7.50000000e-01  7.50000000e-01  9.95968754e-01  7.50000000e-01 
 9.83875020e-04  9.55430473e-01  7.50000000e-01  7.50000000e-01  9.95968755e-01  7.50000000e-01 
 9.83875020e-04  9.55431115e-01  7.50000000e-01  7.50000000e-01  9.95968755e-01  7.50000000e-01 
 9.83875021e-04  9.55432075e-01  7.50000000e-01  7.50000000e-01  9.95968755e-01  7.50000000e-01 
 9.83875023e-04  9.55433681e-01  7.50000000e-01  7.50000000e-01  9.95968756e-01  7.50000000e-01 
 9.83875026e-04  9.55436930e-01  7.50000000e-01  7.50000000e-01  9.95968756e-01  7.50000000e-01 
 9.83875032e-04  9.55442598e-01  7.50000000e-01  7.50000000e-01  9.95968758e-01  7.50000000e-01 
 9.83875044e-04  9.55451837e-01  7.50000000e-01  7.50000000e-01  9.95968761e-01  7.50000000e-01 
 9.83875068e-04  9.55463356e-01  7.50000000e-01  7.50000000e-01  9.95968767e-01  7.50000000e-01 
 9.83875116e-04  9.55472047e-01  7.50000000e-01  7.50000000e-01  9.95968779e-01  7.50000000e-01 
 9.83875213e-04  9.55472980e-01  7.50000000e-01  7.50000000e-01  9.95968803e-01  7.50000000e-01 
 9.83875372e-04  9.55469216e-01  7.50000000e-01  7.50000000e-01  9.95968843e-01  7.50000000e-01 
 9.83875550e-04  9.55465743e-01  7.50000000e-01  7.50000000e-01  9.95968888e-01  7.50000000e-01 
 9.83875786e-04  9.55464159e-01  7.50000000e-01  7.50000000e-01  9.95968947e-01  7.50000000e-01 
 9.83876008e-04  9.55463941e-01  7.50000000e-01  7.50000000e-01  9.95969002e-01  7.50000000e-01 
 9.83876452e-04  9.55463903e-01  7.50000000e-01  7.50000000e-01  9.95969113e-01  7.50000000e-01 
 9.83877074e-04  9.55463865e-01  7.50000000e-01  7.50000000e-01  9.95969269e-01  7.50000000e-01 
 9.83878319e-04  9.55463912e-01  7.50000000e-01  7.50000000e-01  9.95969580e-01  7.50000000e-01 
 9.83880808e-04  9.55463862e-01  7.50000000e-01  7.50000000e-01  9.95970202e-01  7.50000000e-01 
 9.83885785e-04  9.55463911e-01  7.50000000e-01  7.50000000e-01  9.95971446e-01  7.50000000e-01 
 9.83895741e-04  9.55463858e-01  7.50000000e-01  7.50000000e-01  9.95973935e-01  7.50000000e-01 
 9.83915653e-04  9.55463904e-01  7.50000000e-01  7.50000000e-01  9.95978913e-01  7.50000000e-01 
 9.83955476e-04  9.55463843e-01  7.50000000e-01  7.50000000e-01  9.95988869e-01  7.50000000e-01 
 9.84000000e-04  9.55463883e-01  7.50000000e-01  7.50000000e-01  9.96000000e-01  7.50000000e-01 
 9.84000716e-04  9.57940930e-01  7.50000000e-01  7.50000000e-01  9.96000179e-01  7.50000000e-01 
 9.84002149e-04  9.59743668e-01  7.50000000e-01  7.50000000e-01  9.96000537e-01  7.50000000e-01 
 9.84002896e-04  9.60180625e-01  7.50000000e-01  7.50000000e-01  9.96000724e-01  7.50000000e-01 
 9.84003667e-04  9.59934134e-01  7.50000000e-01  7.50000000e-01  9.96000917e-01  7.50000000e-01 
 9.84004588e-04  9.60105719e-01  7.50000000e-01  7.50000000e-01  9.96001147e-01  7.50000000e-01 
 9.84005532e-04  9.59999463e-01  7.50000000e-01  7.50000000e-01  9.96001383e-01  7.50000000e-01 
 9.84006779e-04  9.60072111e-01  7.50000000e-01  7.50000000e-01  9.96001695e-01  7.50000000e-01 
 9.84008299e-04  9.60025793e-01  7.50000000e-01  7.50000000e-01  9.96002075e-01  7.50000000e-01 
 9.84010313e-04  9.60059436e-01  7.50000000e-01  7.50000000e-01  9.96002578e-01  7.50000000e-01 
 9.84013081e-04  9.60036713e-01  7.50000000e-01  7.50000000e-01  9.96003270e-01  7.50000000e-01 
 9.84016850e-04  9.60054255e-01  7.50000000e-01  7.50000000e-01  9.96004213e-01  7.50000000e-01 
 9.84022232e-04  9.60041277e-01  7.50000000e-01  7.50000000e-01  9.96005558e-01  7.50000000e-01 
 9.84029844e-04  9.60051858e-01  7.50000000e-01  7.50000000e-01  9.96007461e-01  7.50000000e-01 
 9.84040794e-04  9.60043079e-01  7.50000000e-01  7.50000000e-01  9.96010199e-01  7.50000000e-01 
 9.84059804e-04  9.60050484e-01  7.50000000e-01  7.50000000e-01  9.96014951e-01  7.50000000e-01 
 9.84090022e-04  9.60043102e-01  7.50000000e-01  7.50000000e-01  9.96022506e-01  7.50000000e-01 
 9.84150459e-04  9.60048823e-01  7.50000000e-01  7.50000000e-01  9.96037615e-01  7.50000000e-01 
