 time            v(VDD)          v(Vbias)        v(Vbiasc)       v(bias_en)      v(Vsu)          v(Vres)        
 4.56250000e-06  5.34375000e-02 -4.45327041e-02 -4.62342039e-02  5.34375000e-02  3.15008010e-03 -2.17459564e-02 
 4.68750000e-06  5.53125000e-02 -4.44313410e-02 -4.50618997e-02  5.53125000e-02  3.27330231e-03 -2.17395808e-02 
 4.81250000e-06  5.71875000e-02 -4.43298408e-02 -4.38898229e-02  5.71875000e-02  3.39755374e-03 -2.17334135e-02 
 4.93750000e-06  5.90625000e-02 -4.42281905e-02 -4.27184817e-02  5.90625000e-02  3.52290792e-03 -2.17268768e-02 
 5.06250000e-06  6.09375000e-02 -4.41263962e-02 -4.15474365e-02  6.09375000e-02  3.64944351e-03 -2.17205377e-02 
 5.18750000e-06  6.28125000e-02 -4.40244479e-02 -4.03771249e-02  6.28125000e-02  3.77724296e-03 -2.17138394e-02 
 5.31250000e-06  6.46875000e-02 -4.39223490e-02 -3.92071741e-02  6.46875000e-02  3.90639478e-03 -2.17073279e-02 
 5.43750000e-06  6.65625000e-02 -4.38200917e-02 -3.80379630e-02  6.65625000e-02  4.03699256e-03 -2.17004666e-02 
 5.56250000e-06  6.84375000e-02 -4.37176772e-02 -3.68691752e-02  6.84375000e-02  4.16913721e-03 -2.16937813e-02 
 5.68750000e-06  7.03125000e-02 -4.36150993e-02 -3.57011403e-02  7.03125000e-02  4.30293613e-03 -2.16867551e-02 
 5.81250000e-06  7.21875000e-02 -4.35123579e-02 -3.45335900e-02  7.21875000e-02  4.43850556e-03 -2.16798944e-02 
 5.93750000e-06  7.40625000e-02 -4.34094476e-02 -3.33668125e-02  7.40625000e-02  4.57597000e-03 -2.16727010e-02 
 6.06250000e-06  7.59375000e-02 -4.33063672e-02 -3.22005802e-02  7.59375000e-02  4.71546453e-03 -2.16656630e-02 
 6.18750000e-06  7.78125000e-02 -4.32031122e-02 -3.10351467e-02  7.78125000e-02  4.85713464e-03 -2.16583002e-02 
 6.31250000e-06  7.96875000e-02 -4.30996804e-02 -2.98703197e-02  7.96875000e-02  5.00113858e-03 -2.16510829e-02 
 6.43750000e-06  8.15625000e-02 -4.29960677e-02 -2.87063231e-02  8.15625000e-02  5.14764750e-03 -2.16435487e-02 
 6.56250000e-06  8.34375000e-02 -4.28922715e-02 -2.75429950e-02  8.34375000e-02  5.29684806e-03 -2.16361507e-02 
 6.68750000e-06  8.53125000e-02 -4.27882880e-02 -2.63805347e-02  8.53125000e-02  5.44894287e-03 -2.16284434e-02 
 6.81250000e-06  8.71875000e-02 -4.26841139e-02 -2.52188064e-02  8.71875000e-02  5.60415333e-03 -2.16208639e-02 
 6.93750000e-06  8.90625000e-02 -4.25797453e-02 -2.40579885e-02  8.90625000e-02  5.76272058e-03 -2.16129832e-02 
 7.06250000e-06  9.09375000e-02 -4.24751788e-02 -2.28979680e-02  9.09375000e-02  5.92490857e-03 -2.16052225e-02 
 7.18750000e-06  9.28125000e-02 -4.23704105e-02 -2.17389059e-02  9.28125000e-02  6.09100562e-03 -2.15971689e-02 
 7.31250000e-06  9.46875000e-02 -4.22654365e-02 -2.05807089e-02  9.46875000e-02  6.26132788e-03 -2.15892287e-02 
 7.43750000e-06  9.65625000e-02 -4.21602528e-02 -1.94235232e-02  9.65625000e-02  6.43622148e-03 -2.15810045e-02 
 7.56250000e-06  9.84375000e-02 -4.20548551e-02 -1.82672731e-02  9.84375000e-02  6.61606654e-03 -2.15728882e-02 
 7.68750000e-06  1.00312500e-01 -4.19492392e-02 -1.71120922e-02  1.00312500e-01  6.80128012e-03 -2.15644974e-02 
