 time            v(clk)          v(vout)         v(vinp)         v(vinn)        
 2.58711902e-08  1.50000000e+00  2.11729925e-03  7.25119356e-01  7.50000000e-01 
 2.59105372e-08  1.50000000e+00  2.01631506e-03  7.25119553e-01  7.50000000e-01 
 2.59371734e-08  1.50000000e+00  1.91345191e-03  7.25119686e-01  7.50000000e-01 
 2.59638845e-08  1.50000000e+00  1.74174046e-03  7.25119819e-01  7.50000000e-01 
 2.59859035e-08  1.50000000e+00  1.48579179e-03  7.25119930e-01  7.50000000e-01 
 2.60092644e-08  1.50000000e+00  1.12008622e-03  7.25120046e-01  7.50000000e-01 
 2.60350036e-08  1.50000000e+00  7.21311330e-04  7.25120175e-01  7.50000000e-01 
 2.60667253e-08  1.50000000e+00  3.73036393e-04  7.25120334e-01  7.50000000e-01 
 2.60939587e-08  1.50000000e+00  2.15862743e-04  7.25120470e-01  7.50000000e-01 
 2.61262313e-08  1.50000000e+00  1.29087617e-04  7.25120631e-01  7.50000000e-01 
 2.61582719e-08  1.50000000e+00  9.02315353e-05  7.25120791e-01  7.50000000e-01 
 2.62021460e-08  1.50000000e+00  6.13874606e-05  7.25121011e-01  7.50000000e-01 
 2.62554608e-08  1.50000000e+00  4.18650705e-05  7.25121277e-01  7.50000000e-01 
 2.63331180e-08  1.50000000e+00  2.57329212e-05  7.25121666e-01  7.50000000e-01 
 2.64338615e-08  1.50000000e+00  1.28167768e-05  7.25122169e-01  7.50000000e-01 
 2.65836913e-08  1.50000000e+00  2.03469523e-06  7.25122918e-01  7.50000000e-01 
 2.67653545e-08  1.50000000e+00  6.47698128e-08  7.25123827e-01  7.50000000e-01 
 2.69754173e-08  1.50000000e+00  1.48472192e-06  7.25124877e-01  7.50000000e-01 
 2.72935086e-08  1.50000000e+00  1.94893576e-06  7.25126468e-01  7.50000000e-01 
 2.76380145e-08  1.50000000e+00  1.68484765e-06  7.25128190e-01  7.50000000e-01 
 2.79540105e-08  1.50000000e+00  1.50550159e-06  7.25129770e-01  7.50000000e-01 
 2.82535307e-08  1.50000000e+00  1.47803689e-06  7.25131268e-01  7.50000000e-01 
 2.86843628e-08  1.50000000e+00  1.42147795e-06  7.25133422e-01  7.50000000e-01 
 2.92489275e-08  1.50000000e+00  1.33157968e-06  7.25136245e-01  7.50000000e-01 
 2.99862262e-08  1.50000000e+00  1.23795478e-06  7.25139931e-01  7.50000000e-01 
 3.09207565e-08  1.50000000e+00  1.14000916e-06  7.25144604e-01  7.50000000e-01 
