 time            v(a_1V5)        v(b_3V3)        v(x1t)          v(a_3V3)        v(b_1V5)        v(x2t)         
 5.05599322e-09  1.50000000e+00  2.09152790e+00  3.07872708e-04  3.30000000e+00  1.49808909e+00  1.91241866e-04 
 5.15599322e-09  1.50000000e+00  2.13345928e+00  3.11103570e-04  3.30000000e+00  1.49841496e+00 -1.81644013e-04 
 5.25599322e-09  1.50000000e+00  2.17462447e+00  3.14126598e-04  3.30000000e+00  1.49868723e+00  1.80193145e-04 
 5.35599322e-09  1.50000000e+00  2.21499854e+00  3.16586820e-04  3.30000000e+00  1.49891086e+00 -1.71125932e-04 
 5.45599322e-09  1.50000000e+00  2.25455764e+00  3.18742904e-04  3.30000000e+00  1.49909824e+00  1.69807290e-04 
 5.55599322e-09  1.50000000e+00  2.29327918e+00  3.20248070e-04  3.30000000e+00  1.49925161e+00 -1.61186056e-04 
 5.65599322e-09  1.50000000e+00  2.33114210e+00  3.21368018e-04  3.30000000e+00  1.49938063e+00  1.60037104e-04 
 5.75599322e-09  1.50000000e+00  2.36812704e+00  3.21767807e-04  3.30000000e+00  1.49948574e+00 -1.51798965e-04 
 5.85599322e-09  1.50000000e+00  2.40421657e+00  3.21724587e-04  3.30000000e+00  1.49957464e+00  1.50840971e-04 
 5.95599322e-09  1.50000000e+00  2.43939531e+00  3.20918289e-04  3.30000000e+00  1.49964659e+00 -1.42938307e-04 
 6.05599322e-09  1.50000000e+00  2.47365014e+00  3.19640405e-04  3.30000000e+00  1.49970791e+00  1.42181642e-04 
 6.15599322e-09  1.50000000e+00  2.50697028e+00  3.17587398e-04  3.30000000e+00  1.49975710e+00 -1.34577590e-04 
 6.25599322e-09  1.50000000e+00  2.53934740e+00  3.15066109e-04  3.30000000e+00  1.49979945e+00  1.34025374e-04 
 6.35599322e-09  1.50000000e+00  2.57077569e+00  3.11789420e-04  3.30000000e+00  1.49983302e+00 -1.26690703e-04 
 6.45599322e-09  1.50000000e+00  2.60125186e+00  3.08078598e-04  3.30000000e+00  1.49986233e+00  1.26341298e-04 
 6.55599322e-09  1.50000000e+00  2.63077516e+00  3.03661098e-04  3.30000000e+00  1.49988518e+00 -1.19252248e-04 
 6.65599322e-09  1.50000000e+00  2.65934734e+00  2.98870057e-04  3.30000000e+00  1.49990552e+00  1.19100961e-04 
 6.75599322e-09  1.50000000e+00  2.68697259e+00  2.93444336e-04  3.30000000e+00  1.49992101e+00 -1.12237741e-04 
 6.85599322e-09  1.50000000e+00  2.71365743e+00  2.87725308e-04  3.30000000e+00  1.49993518e+00  1.12277985e-04 
 6.95599322e-09  1.50000000e+00  2.73941063e+00  2.81459364e-04  3.30000000e+00  1.49994563e+00 -1.05623730e-04 
 7.05599322e-09  1.50000000e+00  2.76424304e+00  2.74992078e-04  3.30000000e+00  1.49995555e+00  1.05847807e-04 
 7.15599322e-09  1.50000000e+00  2.78816746e+00  2.68073420e-04  3.30000000e+00  1.49996255e+00 -9.93878519e-05 
 7.25599322e-09  1.50000000e+00  2.81119848e+00  2.61049335e-04  3.30000000e+00  1.49996954e+00  9.97874814e-05 
 7.35599322e-09  1.50000000e+00  2.83335229e+00  2.53669876e-04  3.30000000e+00  1.49997418e+00 -9.35088462e-05 
 7.45599322e-09  1.50000000e+00  2.85464652e+00  2.46278158e-04  3.30000000e+00  1.49997914e+00  9.40755219e-05 
 7.55599322e-09  1.50000000e+00  2.87510006e+00  2.38621608e-04  3.30000000e+00  1.49998217e+00 -8.79665505e-05 
 7.65599322e-09  1.50000000e+00  2.89473287e+00  2.31038165e-04  3.30000000e+00  1.49998574e+00  8.86917695e-05 
