 time            v(VDD)          v(Vbias)        v(bias_en)      v(Vsu)         
 3.03750000e-05  4.40625000e-01  1.73972939e-03  4.40625000e-01  1.43630313e-01 
 3.06250000e-05  4.44375000e-01  1.79681363e-03  4.44375000e-01  1.44697097e-01 
 3.08750000e-05  4.48125000e-01  1.85550907e-03  4.48125000e-01  1.45759289e-01 
 3.11250000e-05  4.51875000e-01  1.91584909e-03  4.51875000e-01  1.46816894e-01 
 3.13750000e-05  4.55625000e-01  1.97786717e-03  4.55625000e-01  1.47869918e-01 
 3.16250000e-05  4.59375000e-01  2.04159694e-03  4.59375000e-01  1.48918373e-01 
 3.18750000e-05  4.63125000e-01  2.10707204e-03  4.63125000e-01  1.49962271e-01 
 3.21250000e-05  4.66875000e-01  2.17432622e-03  4.66875000e-01  1.51001631e-01 
 3.23750000e-05  4.70625000e-01  2.24339324e-03  4.70625000e-01  1.52036472e-01 
 3.26250000e-05  4.74375000e-01  2.31430691e-03  4.74375000e-01  1.53066817e-01 
 3.28750000e-05  4.78125000e-01  2.38710102e-03  4.78125000e-01  1.54092695e-01 
 3.31250000e-05  4.81875000e-01  2.46180937e-03  4.81875000e-01  1.55114134e-01 
 3.33750000e-05  4.85625000e-01  2.53846569e-03  4.85625000e-01  1.56131167e-01 
 3.36250000e-05  4.89375000e-01  2.61710372e-03  4.89375000e-01  1.57143830e-01 
 3.38750000e-05  4.93125000e-01  2.69775710e-03  4.93125000e-01  1.58152161e-01 
 3.41250000e-05  4.96875000e-01  2.78045939e-03  4.96875000e-01  1.59156201e-01 
 3.43750000e-05  5.00625000e-01  2.86524408e-03  5.00625000e-01  1.60155993e-01 
 3.46250000e-05  5.04375000e-01  2.95214451e-03  5.04375000e-01  1.61151585e-01 
 3.48750000e-05  5.08125000e-01  3.04119392e-03  5.08125000e-01  1.62143024e-01 
 3.51250000e-05  5.11875000e-01  3.13242539e-03  5.11875000e-01  1.63130363e-01 
 3.53750000e-05  5.15625000e-01  3.22587185e-03  5.15625000e-01  1.64113652e-01 
 3.56250000e-05  5.19375000e-01  3.32156607e-03  5.19375000e-01  1.65092948e-01 
 3.58750000e-05  5.23125000e-01  3.41954061e-03  5.23125000e-01  1.66068309e-01 
 3.61250000e-05  5.26875000e-01  3.51982785e-03  5.26875000e-01  1.67039791e-01 
 3.63750000e-05  5.30625000e-01  3.62245994e-03  5.30625000e-01  1.68007457e-01 
