 time            v(vout_comp)    v(vinp)         v(vinn)        
 1.00051104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00051604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00052104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00052604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00053104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00053604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00054104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00054604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00055104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00055604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00056104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00056604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00057104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00057604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00058104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00058604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00059104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00059604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00060104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00060604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00061104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00061604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00062104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00062604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00063104e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
 1.00063604e-06  0.00000000e+00  1.50000000e+00  7.50000000e-01 
