 frequency       v(CMRR_dB)      v(CMRR_arg)    
 1.80894658e+00  9.02907927e+01 -6.27492814e+01 
 1.85066040e+00  9.01181741e+01 -6.33290365e+01 
 1.89333613e+00  8.99445112e+01 -6.38975700e+01 
 1.93699595e+00  8.97698611e+01 -6.44553867e+01 
 1.98166255e+00  8.95942373e+01 -6.50021267e+01 
 2.02735916e+00  8.94176887e+01 -6.55381767e+01 
 2.07410951e+00  8.92402505e+01 -6.60636762e+01 
 2.12193792e+00  8.90619569e+01 -6.65787677e+01 
 2.17086923e+00  8.88828411e+01 -6.70835951e+01 
 2.22092889e+00  8.87029350e+01 -6.75783044e+01 
 2.27214291e+00  8.85222696e+01 -6.80630430e+01 
 2.32453791e+00  8.83408748e+01 -6.85379592e+01 
 2.37814113e+00  8.81587755e+01 -6.90030997e+01 
 2.43298042e+00  8.79760077e+01 -6.94588222e+01 
 2.48908429e+00  8.77925906e+01 -6.99050737e+01 
 2.54648190e+00  8.76085540e+01 -7.03421076e+01 
 2.60520309e+00  8.74239263e+01 -7.07701696e+01 
 2.66527837e+00  8.72387248e+01 -7.11892184e+01 
 2.72673897e+00  8.70529761e+01 -7.15995012e+01 
 2.78961683e+00  8.68667057e+01 -7.20012570e+01 
 2.85394464e+00  8.66799290e+01 -7.23944545e+01 
 2.91975583e+00  8.64926698e+01 -7.27793332e+01 
 2.98708461e+00  8.63049481e+01 -7.31560405e+01 
 3.05596598e+00  8.61167831e+01 -7.35247228e+01 
 3.12643573e+00  8.59281931e+01 -7.38855255e+01 
 3.19853049e+00  8.57391960e+01 -7.42385924e+01 
 3.27228774e+00  8.55498088e+01 -7.45840662e+01 
 3.34774581e+00  8.53600477e+01 -7.49220884e+01 
 3.42494392e+00  8.51699267e+01 -7.52527248e+01 
 3.50392221e+00  8.49794629e+01 -7.55761905e+01 
 3.58472171e+00  8.47886727e+01 -7.58926928e+01 
 3.66738442e+00  8.45975680e+01 -7.62022928e+01 
 3.75195331e+00  8.44061605e+01 -7.65050560e+01 
 3.83847234e+00  8.42144664e+01 -7.68012507e+01 
 3.92698648e+00  8.40224963e+01 -7.70909373e+01 
 4.01754173e+00  8.38302620e+01 -7.73742434e+01 
 4.11018515e+00  8.36377748e+01 -7.76512952e+01 
 4.20496491e+00  8.34450442e+01 -7.79221558e+01 
 4.30193027e+00  8.32520834e+01 -7.81870700e+01 
 4.40113162e+00  8.30588997e+01 -7.84460379e+01 
 4.50262052e+00  8.28655051e+01 -7.86992952e+01 
 4.60644974e+00  8.26719054e+01 -7.89467874e+01 
 4.71267322e+00  8.24781127e+01 -7.91887995e+01 
 4.82134619e+00  8.22841354e+01 -7.94254401e+01 
 4.93252513e+00  8.20899784e+01 -7.96566598e+01 
 5.04626783e+00  8.18956535e+01 -7.98827776e+01 
 5.16263340e+00  8.17011651e+01 -8.01037438e+01 
 5.28168234e+00  8.15065212e+01 -8.03197149e+01 
 5.40347650e+00  8.13117294e+01 -8.05308412e+01 
 5.52807921e+00  8.11167939e+01 -8.07370803e+01 
 5.65555523e+00  8.09217231e+01 -8.09386740e+01 
 5.78597080e+00  8.07265224e+01 -8.11356714e+01 
 5.91939372e+00  8.05311986e+01 -8.13282548e+01 
 6.05589334e+00  8.03357545e+01 -8.15163410e+01 
 6.19554061e+00  8.01401967e+01 -8.17001103e+01 
 6.33840810e+00  7.99445297e+01 -8.18796114e+01 
 6.48457008e+00  7.97487598e+01 -8.20550544e+01 
 6.63410251e+00  7.95528901e+01 -8.22264028e+01 
 6.78708313e+00  7.93569253e+01 -8.23937815e+01 
 6.94359143e+00  7.91608697e+01 -8.25572728e+01 
 7.10370877e+00  7.89647273e+01 -8.27169573e+01 
 7.26751838e+00  7.87685020e+01 -8.28729141e+01 
 7.43510539e+00  7.85721973e+01 -8.30252204e+01 
 7.60655691e+00  7.83758164e+01 -8.31739177e+01 
 7.78196206e+00  7.81793634e+01 -8.33191490e+01 
 7.96141200e+00  7.79828412e+01 -8.34609518e+01 
 8.14500001e+00  7.77862531e+01 -8.35994288e+01 
 8.33282151e+00  7.75896011e+01 -8.37345536e+01 
 8.52497412e+00  7.73928886e+01 -8.38664592e+01 
 8.72155772e+00  7.71961193e+01 -8.39953010e+01 
 8.92267449e+00  7.69992938e+01 -8.41209630e+01 
 9.12842895e+00  7.68024159e+01 -8.42436283e+01 
 9.33892805e+00  7.66054875e+01 -8.43633290e+01 
 9.55428121e+00  7.64085110e+01 -8.44801255e+01 
 9.77460036e+00  7.62114882e+01 -8.45940502e+01 
 1.00000000e+01  7.60144220e+01 -8.47052406e+01 
 1.02305973e+01  7.58173132e+01 -8.48136477e+01 
 1.04665121e+01  7.56201645e+01 -8.49194046e+01 
 1.07078670e+01  7.54229773e+01 -8.50225147e+01 
 1.09547876e+01  7.52257537e+01 -8.51230795e+01 
 1.12074020e+01  7.50284949e+01 -8.52211020e+01 
 1.14658417e+01  7.48312029e+01 -8.53166792e+01 
 1.17302409e+01  7.46338788e+01 -8.54098138e+01 
 1.20007371e+01  7.44365243e+01 -8.55005766e+01 
 1.22774708e+01  7.42391411e+01 -8.55890773e+01 
 1.25605860e+01  7.40417297e+01 -8.56752326e+01 
 1.28502297e+01  7.38442916e+01 -8.57591312e+01 
 1.31465525e+01  7.36468286e+01 -8.58408967e+01 
 1.34497085e+01  7.34493411e+01 -8.59204700e+01 
 1.37598551e+01  7.32518306e+01 -8.59979324e+01 
