 v-sweep         v(Vbias)        v(Ix)           v(Iout)        
 6.50000000e-01  1.49637980e-01  9.35919604e-09  9.47094442e-09 
 6.55000000e-01  1.49655616e-01  9.37483737e-09  9.47586555e-09 
 6.60000000e-01  1.49673045e-01  9.38803719e-09  9.48073674e-09 
 6.65000000e-01  1.49689459e-01  9.40095014e-09  9.48531715e-09 
 6.70000000e-01  1.49706268e-01  9.41355292e-09  9.49000140e-09 
 6.75000000e-01  1.49722269e-01  9.42568135e-09  9.49448388e-09 
 6.80000000e-01  1.49739896e-01  9.43811109e-09  9.49940902e-09 
 6.85000000e-01  1.49756182e-01  9.45008195e-09  9.50397063e-09 
 6.90000000e-01  1.49772295e-01  9.46195162e-09  9.50848742e-09 
 6.95000000e-01  1.49789614e-01  9.47412309e-09  9.51333752e-09 
 7.00000000e-01  1.49803741e-01  9.48538303e-09  9.51729491e-09 
 7.05000000e-01  1.49820124e-01  9.49725120e-09  9.52188325e-09 
 7.10000000e-01  1.49836302e-01  9.50904551e-09  9.52641874e-09 
 7.15000000e-01  1.49851565e-01  9.52056685e-09  9.53069084e-09 
 7.20000000e-01  1.49866854e-01  9.53208646e-09  9.53498288e-09 
 7.25000000e-01  1.49882026e-01  9.54353311e-09  9.53923383e-09 
 7.30000000e-01  1.49897979e-01  9.55519749e-09  9.54371130e-09 
 7.35000000e-01  1.49911914e-01  9.56624952e-09  9.54762325e-09 
 7.40000000e-01  1.49926862e-01  9.57757063e-09  9.55183992e-09 
 7.45000000e-01  1.49942696e-01  9.58911329e-09  9.55627417e-09 
 7.50000000e-01  1.49957283e-01  9.60027612e-09  9.56037468e-09 
 7.55000000e-01  1.49972257e-01  9.61151704e-09  9.56458160e-09 
 7.60000000e-01  1.49986752e-01  9.62259051e-09  9.56865217e-09 
 7.65000000e-01  1.50000659e-01  9.63346443e-09  9.57256994e-09 
 7.70000000e-01  1.50015715e-01  9.64462857e-09  9.57680195e-09 
 7.75000000e-01  1.50029974e-01  9.65553199e-09  9.58081189e-09 
 7.80000000e-01  1.50043458e-01  9.66617902e-09  9.58460738e-09 
 7.85000000e-01  1.50057915e-01  9.67706489e-09  9.58867107e-09 
 7.90000000e-01  1.50071503e-01  9.68766653e-09  9.59250570e-09 
 7.95000000e-01  1.50085526e-01  9.69837225e-09  9.59645512e-09 
 8.00000000e-01  1.50100895e-01  9.70938426e-09  9.60079176e-09 
 8.05000000e-01  1.50113784e-01  9.71967024e-09  9.60442606e-09 
 8.10000000e-01  1.50128241e-01  9.73036389e-09  9.60849756e-09 
 8.15000000e-01  1.50141554e-01  9.74069139e-09  9.61224827e-09 
 8.20000000e-01  1.50154951e-01  9.75100282e-09  9.61602298e-09 
 8.25000000e-01  1.50168410e-01  9.76129195e-09  9.61981965e-09 
 8.30000000e-01  1.50181194e-01  9.77134736e-09  9.62343156e-09 
 8.35000000e-01  1.50193206e-01  9.78116152e-09  9.62681709e-09 
 8.40000000e-01  1.50208381e-01  9.79180183e-09  9.63110367e-09 
 8.45000000e-01  1.50220635e-01  9.80160460e-09  9.63455494e-09 
 8.50000000e-01  1.50233109e-01  9.81138927e-09  9.63808559e-09 
 8.55000000e-01  1.50247560e-01  9.82174280e-09  9.64216730e-09 
 8.60000000e-01  1.50259007e-01  9.83117237e-09  9.64538873e-09 
 8.65000000e-01  1.50271072e-01  9.84071877e-09  9.64880520e-09 
 8.70000000e-01  1.50285785e-01  9.85101018e-09  9.65295783e-09 
 8.75000000e-01  1.50296860e-01  9.86021148e-09  9.65609311e-09 
 8.80000000e-01  1.50309478e-01  9.86981925e-09  9.65964609e-09 
 8.85000000e-01  1.50324606e-01  9.88011504e-09  9.66394458e-09 
 8.90000000e-01  1.50334847e-01  9.88895669e-09  9.66682067e-09 
 8.95000000e-01  1.50347020e-01  9.89831921e-09  9.67026715e-09 
 9.00000000e-01  1.50358489e-01  9.90743899e-09  9.67350790e-09 
 9.05000000e-01  1.50371434e-01  9.91694901e-09  9.67717265e-09 
 9.10000000e-01  1.50382089e-01  9.92577488e-09  9.68018598e-09 
 9.15000000e-01  1.50395822e-01  9.93542041e-09  9.68406894e-09 
 9.20000000e-01  1.50407594e-01  9.94449560e-09  9.68739970e-09 
 9.25000000e-01  1.50418954e-01  9.95337653e-09  9.69061453e-09 
 9.30000000e-01  1.50429760e-01  9.96207737e-09  9.69367401e-09 
 9.35000000e-01  1.50441994e-01  9.97115880e-09  9.69712533e-09 
 9.40000000e-01  1.50456079e-01  9.98074579e-09  9.70110632e-09 
 9.45000000e-01  1.50466258e-01  9.98915480e-09  9.70398636e-09 
 9.50000000e-01  1.50477520e-01  9.99784501e-09  9.70717414e-09 
 9.55000000e-01  1.50489594e-01  1.00067382e-08  9.71059767e-09 
 9.60000000e-01  1.50500840e-01  1.00153536e-08  9.71376916e-09 
 9.65000000e-01  1.50512699e-01  1.00241149e-08  9.71713948e-09 
 9.70000000e-01  1.50523947e-01  1.00326625e-08  9.72031791e-09 
 9.75000000e-01  1.50534434e-01  1.00409523e-08  9.72328213e-09 
 9.80000000e-01  1.50548160e-01  1.00501622e-08  9.72717558e-09 
 9.85000000e-01  1.50559871e-01  1.00587463e-08  9.73049620e-09 
 9.90000000e-01  1.50568650e-01  1.00664330e-08  9.73297461e-09 
 9.95000000e-01  1.50581477e-01  1.00752812e-08  9.73661736e-09 
 1.00000000e+00  1.50593838e-01  1.00839604e-08  9.74011727e-09 
 1.00500000e+00  1.50604740e-01  1.00921767e-08  9.74318767e-09 
 1.01000000e+00  1.50615627e-01  1.01003571e-08  9.74625935e-09 
 1.01500000e+00  1.50623826e-01  1.01077104e-08  9.74857896e-09 
 1.02000000e+00  1.50636897e-01  1.01164752e-08  9.75228832e-09 
 1.02500000e+00  1.50646399e-01  1.01241522e-08  9.75496426e-09 
 1.03000000e+00  1.50655744e-01  1.01317517e-08  9.75760264e-09 
 1.03500000e+00  1.50668438e-01  1.01403297e-08  9.76119484e-09 
 1.04000000e+00  1.50681204e-01  1.01488716e-08  9.76483254e-09 
 1.04500000e+00  1.50691931e-01  1.01567930e-08  9.76786765e-09 
 1.05000000e+00  1.50700182e-01  1.01639482e-08  9.77016932e-09 
 1.05500000e+00  1.50711822e-01  1.01720835e-08  9.77346568e-09 
 1.06000000e+00  1.50724403e-01  1.01804713e-08  9.77704512e-09 
 1.06500000e+00  1.50733894e-01  1.01879097e-08  9.77970843e-09 
 1.07000000e+00  1.50744414e-01  1.01956274e-08  9.78269242e-09 
 1.07500000e+00  1.50754388e-01  1.02031540e-08  9.78550536e-09 
 1.08000000e+00  1.50768550e-01  1.02119061e-08  9.78951783e-09 
 1.08500000e+00  1.50778977e-01  1.02195149e-08  9.79247282e-09 
 1.09000000e+00  1.50789171e-01  1.02270273e-08  9.79534927e-09 
 1.09500000e+00  1.50798392e-01  1.02342350e-08  9.79793641e-09 
 1.10000000e+00  1.50806502e-01  1.02410696e-08  9.80021949e-09 
 1.10500000e+00  1.50818624e-01  1.02490679e-08  9.80365104e-09 
 1.11000000e+00  1.50828515e-01  1.02563850e-08  9.80642587e-09 
 1.11500000e+00  1.50838970e-01  1.02638586e-08  9.80936967e-09 
 1.12000000e+00  1.50849690e-01  1.02713623e-08  9.81240255e-09 
 1.12500000e+00  1.50860292e-01  1.02788182e-08  9.81539431e-09 
 1.13000000e+00  1.50871920e-01  1.02865588e-08  9.81869008e-09 
 1.13500000e+00  1.50882096e-01  1.02938503e-08  9.82155442e-09 
 1.14000000e+00  1.50890617e-01  1.03005947e-08  9.82394240e-09 
 1.14500000e+00  1.50903989e-01  1.03087910e-08  9.82772939e-09 
 1.15000000e+00  1.50913983e-01  1.03159446e-08  9.83053506e-09 
 1.15500000e+00  1.50922327e-01  1.03225766e-08  9.83286440e-09 
 1.16000000e+00  1.50932893e-01  1.03298567e-08  9.83585023e-09 
 1.16500000e+00  1.50942427e-01  1.03368023e-08  9.83851407e-09 
 1.17000000e+00  1.50954808e-01  1.03445874e-08  9.84202326e-09 
 1.17500000e+00  1.50965670e-01  1.03519017e-08  9.84508916e-09 
 1.18000000e+00  1.50974250e-01  1.03584804e-08  9.84747138e-09 
 1.18500000e+00  1.50981938e-01  1.03647771e-08  9.84961136e-09 
 1.19000000e+00  1.50992313e-01  1.03718674e-08  9.85252123e-09 
 1.19500000e+00  1.51007037e-01  1.03802582e-08  9.85671063e-09 
 1.20000000e+00  1.51014132e-01  1.03863101e-08  9.85866361e-09 
 1.20500000e+00  1.51023658e-01  1.03930797e-08  9.86133087e-09 
 1.21000000e+00  1.51035167e-01  1.04004420e-08  9.86457262e-09 
 1.21500000e+00  1.51043674e-01  1.04068504e-08  9.86693925e-09 
 1.22000000e+00  1.51057405e-01  1.04148403e-08  9.87081502e-09 
 1.22500000e+00  1.51065615e-01  1.04211277e-08  9.87308755e-09 
 1.23000000e+00  1.51075699e-01  1.04279670e-08  9.87590997e-09 
 1.23500000e+00  1.51086000e-01  1.04348626e-08  9.87880158e-09 
 1.24000000e+00  1.51095378e-01  1.04414375e-08  9.88141391e-09 
 1.24500000e+00  1.51105194e-01  1.04481464e-08  9.88415158e-09 
 1.25000000e+00  1.51117844e-01  1.04556931e-08  9.88770686e-09 
 1.25500000e+00  1.51127007e-01  1.04621464e-08  9.89025096e-09 
 1.26000000e+00  1.51137337e-01  1.04689474e-08  9.89315438e-09 
 1.26500000e+00  1.51148565e-01  1.04760057e-08  9.89629762e-09 
 1.27000000e+00  1.51155454e-01  1.04817153e-08  9.89816487e-09 
 1.27500000e+00  1.51165486e-01  1.04883705e-08  9.90096034e-09 
 1.28000000e+00  1.51177689e-01  1.04956831e-08  9.90437264e-09 
 1.28500000e+00  1.51189373e-01  1.05028030e-08  9.90765686e-09 
 1.29000000e+00  1.51197382e-01  1.05087843e-08  9.90986276e-09 
 1.29500000e+00  1.51208478e-01  1.05156979e-08  9.91295145e-09 
 1.30000000e+00  1.51215946e-01  1.05214778e-08  9.91499092e-09 
 1.30500000e+00  1.51228825e-01  1.05289069e-08  9.91860960e-09 
 1.31000000e+00  1.51241665e-01  1.05363086e-08  9.92219213e-09 
 1.31500000e+00  1.51251172e-01  1.05426669e-08  9.92482357e-09 
 1.32000000e+00  1.51259388e-01  1.05486104e-08  9.92706797e-09 
 1.32500000e+00  1.51270943e-01  1.05555682e-08  9.93028096e-09 
 1.33000000e+00  1.51279739e-01  1.05616582e-08  9.93271268e-09 
 1.33500000e+00  1.51289740e-01  1.05681124e-08  9.93546587e-09 
 1.34000000e+00  1.51301825e-01  1.05751801e-08  9.93884605e-09 
 1.34500000e+00  1.51308960e-01  1.05807088e-08  9.94075418e-09 
 1.35000000e+00  1.51321035e-01  1.05877513e-08  9.94411502e-09 
 1.35500000e+00  1.51330344e-01  1.05939222e-08  9.94667843e-09 
 1.36000000e+00  1.51340720e-01  1.06004086e-08  9.94952294e-09 
 1.36500000e+00  1.51350944e-01  1.06068333e-08  9.95234104e-09 
 1.37000000e+00  1.51358513e-01  1.06124194e-08  9.95439071e-09 
 1.37500000e+00  1.51372439e-01  1.06199715e-08  9.95827044e-09 
 1.38000000e+00  1.51382415e-01  1.06262700e-08  9.96100848e-09 
 1.38500000e+00  1.51394897e-01  1.06333400e-08  9.96447487e-09 
 1.39000000e+00  1.51400459e-01  1.06382434e-08  9.96592430e-09 
 1.39500000e+00  1.51413770e-01  1.06455442e-08  9.96962477e-09 
 1.40000000e+00  1.51421410e-01  1.06510731e-08  9.97166297e-09 
 1.40500000e+00  1.51431526e-01  1.06573451e-08  9.97441896e-09 
 1.41000000e+00  1.51439878e-01  1.06630674e-08  9.97666322e-09 
 1.41500000e+00  1.51449358e-01  1.06691141e-08  9.97924468e-09 
 1.42000000e+00  1.51459199e-01  1.06752671e-08  9.98190382e-09 
 1.42500000e+00  1.51467424e-01  1.06809023e-08  9.98409714e-09 
 1.43000000e+00  1.51477929e-01  1.06872366e-08  9.98696033e-09 
 1.43500000e+00  1.51481847e-01  1.06914984e-08  9.98787346e-09 
 1.44000000e+00  1.51494099e-01  1.06983533e-08  9.99125231e-09 
 1.44500000e+00  1.51502275e-01  1.07039204e-08  9.99341948e-09 
 1.45000000e+00  1.51507148e-01  1.07084401e-08  9.99461567e-09 
 1.45500000e+00  1.51515063e-01  1.07138993e-08  9.99669151e-09 
 1.46000000e+00  1.51523947e-01  1.07196493e-08  9.99906344e-09 
 1.46500000e+00  1.51529047e-01  1.07242003e-08  1.00003021e-08 
 1.47000000e+00  1.51533248e-01  1.07284559e-08  1.00012877e-08 
 1.47500000e+00  1.51537395e-01  1.07326811e-08  1.00022514e-08 
 1.48000000e+00  1.51540504e-01  1.07365673e-08  1.00028950e-08 
 1.48500000e+00  1.51543486e-01  1.07404003e-08  1.00035053e-08 
 1.49000000e+00  1.51543465e-01  1.07432764e-08  1.00032084e-08 
 1.49500000e+00  1.51545527e-01  1.07467936e-08  1.00035535e-08 
 1.50000000e+00  1.51541723e-01  1.07484538e-08  1.00021438e-08 
