 frequency       v(inoise_spectrum) v(onoise_spectrum)
 1.53458959e+01  9.37280020e-07  7.57504295e-05 
 1.56997682e+01  9.26996409e-07  7.49191785e-05 
 1.60618006e+01  9.16833122e-07  7.40976486e-05 
 1.64321814e+01  9.06788834e-07  7.32857328e-05 
 1.68111030e+01  8.96862235e-07  7.24833250e-05 
 1.71987625e+01  8.87052032e-07  7.16903205e-05 
 1.75953613e+01  8.77356944e-07  7.09066158e-05 
 1.80011056e+01  8.67775708e-07  7.01321084e-05 
 1.84162062e+01  8.58307072e-07  6.93666972e-05 
 1.88408790e+01  8.48949802e-07  6.86102822e-05 
 1.92753446e+01  8.39702677e-07  6.78627644e-05 
 1.97198288e+01  8.30564488e-07  6.71240463e-05 
 2.01745627e+01  8.21534044e-07  6.63940310e-05 
 2.06397827e+01  8.12610165e-07  6.56726233e-05 
 2.11157305e+01  8.03791685e-07  6.49597285e-05 
 2.16026535e+01  7.95077452e-07  6.42552535e-05 
 2.21008049e+01  7.86466327e-07  6.35591060e-05 
 2.26104435e+01  7.77957185e-07  6.28711948e-05 
 2.31318342e+01  7.69548913e-07  6.21914297e-05 
 2.36652481e+01  7.61240412e-07  6.15197216e-05 
 2.42109623e+01  7.53030594e-07  6.08559825e-05 
 2.47692605e+01  7.44918385e-07  6.02001252e-05 
 2.53404330e+01  7.36902724e-07  5.95520637e-05 
 2.59247765e+01  7.28982560e-07  5.89117128e-05 
 2.65225949e+01  7.21156856e-07  5.82789885e-05 
 2.71341987e+01  7.13424586e-07  5.76538076e-05 
 2.77599060e+01  7.05784738e-07  5.70360877e-05 
 2.84000420e+01  6.98236309e-07  5.64257478e-05 
 2.90549393e+01  6.90778309e-07  5.58227073e-05 
 2.97249383e+01  6.83409759e-07  5.52268868e-05 
 3.04103874e+01  6.76129691e-07  5.46382079e-05 
 3.11116427e+01  6.68937149e-07  5.40565928e-05 
 3.18290688e+01  6.61831189e-07  5.34819648e-05 
 3.25630385e+01  6.54810875e-07  5.29142479e-05 
 3.33139333e+01  6.47875284e-07  5.23533672e-05 
 3.40821437e+01  6.41023503e-07  5.17992483e-05 
 3.48680687e+01  6.34254630e-07  5.12518180e-05 
 3.56721169e+01  6.27567773e-07  5.07110037e-05 
 3.64947063e+01  6.20962050e-07  5.01767337e-05 
 3.73362644e+01  6.14436589e-07  4.96489370e-05 
 3.81972285e+01  6.07990529e-07  4.91275435e-05 
 3.90780463e+01  6.01623018e-07  4.86124839e-05 
