 frequency       v(L_dB)         v(L_arg)        v(Tmb_dB)       v(Tmb_arg)      v(Ttian_dB)     v(Ttian_arg)   
 4.71267322e-02  2.22158056e+01  1.03127790e+02  3.41823314e+01  7.99246321e+00  3.41808942e+01  7.99659144e+00 
 4.82134619e-02  2.24186383e+01  1.03221933e+02  3.41871179e+01  8.17338865e+00  3.41856945e+01  8.17751392e+00 
 4.93252513e-02  2.26217992e+01  1.03322610e+02  3.41921218e+01  8.35825197e+00  3.41907124e+01  8.36237224e+00 
 5.04626783e-02  2.28252983e+01  1.03429856e+02  3.41973529e+01  8.54712798e+00  3.41959574e+01  8.55124124e+00 
 5.16263340e-02  2.30291462e+01  1.03543706e+02  3.42028212e+01  8.74009215e+00  3.42014394e+01  8.74419641e+00 
 5.28168234e-02  2.32333543e+01  1.03664199e+02  3.42085371e+01  8.93722056e+00  3.42071690e+01  8.94131385e+00 
 5.40347650e-02  2.34379345e+01  1.03791373e+02  3.42145114e+01  9.13858985e+00  3.42131570e+01  9.14267024e+00 
 5.52807921e-02  2.36428993e+01  1.03925271e+02  3.42207555e+01  9.34427713e+00  3.42194146e+01  9.34834273e+00 
 5.65555523e-02  2.38482623e+01  1.04065933e+02  3.42272811e+01  9.55435995e+00  3.42259535e+01  9.55840892e+00 
 5.78597080e-02  2.40540374e+01  1.04213406e+02  3.42341004e+01  9.76891619e+00  3.42327861e+01  9.77294672e+00 
 5.91939372e-02  2.42602394e+01  1.04367734e+02  3.42412263e+01  9.98802401e+00  3.42399250e+01  9.99203435e+00 
 6.05589334e-02  2.44668839e+01  1.04528964e+02  3.42486717e+01  1.02117617e+01  3.42473835e+01  1.02157502e+01 
 6.19554061e-02  2.46739874e+01  1.04697144e+02  3.42564507e+01  1.04402078e+01  3.42551752e+01  1.04441727e+01 
 6.33840810e-02  2.48815668e+01  1.04872325e+02  3.42645773e+01  1.06734405e+01  3.42633144e+01  1.06773804e+01 
 6.48457008e-02  2.50896403e+01  1.05054555e+02  3.42730665e+01  1.09115382e+01  3.42718160e+01  1.09154515e+01 
 6.63410251e-02  2.52982267e+01  1.05243887e+02  3.42819336e+01  1.11545789e+01  3.42806954e+01  1.11584642e+01 
 6.78708313e-02  2.55073458e+01  1.05440372e+02  3.42911947e+01  1.14026402e+01  3.42899685e+01  1.14064961e+01 
 6.94359143e-02  2.57170181e+01  1.05644063e+02  3.43008663e+01  1.16557993e+01  3.42996520e+01  1.16596245e+01 
 7.10370877e-02  2.59272653e+01  1.05855013e+02  3.43109657e+01  1.19141326e+01  3.43097629e+01  1.19179259e+01 
 7.26751838e-02  2.61381100e+01  1.06073275e+02  3.43215106e+01  1.21777159e+01  3.43203192e+01  1.21814761e+01 
 7.43510539e-02  2.63495755e+01  1.06298903e+02  3.43325195e+01  1.24466239e+01  3.43313393e+01  1.24503499e+01 
 7.60655691e-02  2.65616865e+01  1.06531950e+02  3.43440117e+01  1.27209300e+01  3.43428424e+01  1.27246209e+01 
 7.78196206e-02  2.67744685e+01  1.06772469e+02  3.43560068e+01  1.30007067e+01  3.43548482e+01  1.30043614e+01 
 7.96141200e-02  2.69879482e+01  1.07020513e+02  3.43685255e+01  1.32860245e+01  3.43673774e+01  1.32896423e+01 
 8.14500001e-02  2.72021532e+01  1.07276133e+02  3.43815889e+01  1.35769525e+01  3.43804510e+01  1.35805326e+01 
 8.33282151e-02  2.74171126e+01  1.07539382e+02  3.43952189e+01  1.38735578e+01  3.43940910e+01  1.38770994e+01 
 8.52497412e-02  2.76328563e+01  1.07810309e+02  3.44094383e+01  1.41759053e+01  3.44083200e+01  1.41794078e+01 
 8.72155772e-02  2.78494155e+01  1.08088964e+02  3.44242702e+01  1.44840574e+01  3.44231615e+01  1.44875202e+01 
 8.92267449e-02  2.80668225e+01  1.08375392e+02  3.44397390e+01  1.47980739e+01  3.44386395e+01  1.48014966e+01 
 9.12842895e-02  2.82851112e+01  1.08669640e+02  3.44558695e+01  1.51180119e+01  3.44547789e+01  1.51213940e+01 
 9.33892805e-02  2.85043163e+01  1.08971750e+02  3.44726872e+01  1.54439248e+01  3.44716055e+01  1.54472660e+01 
 9.55428121e-02  2.87244742e+01  1.09281764e+02  3.44902187e+01  1.57758631e+01  3.44891454e+01  1.57791631e+01 
 9.77460036e-02  2.89456223e+01  1.09599720e+02  3.45084910e+01  1.61138731e+01  3.45074260e+01  1.61171316e+01 
 1.00000000e-01  2.91677996e+01  1.09925652e+02  3.45275321e+01  1.64579971e+01  3.45264751e+01  1.64612140e+01 
 1.02305973e-01  2.93910463e+01  1.10259592e+02  3.45473707e+01  1.68082731e+01  3.45463215e+01  1.68114483e+01 
 1.04665121e-01  2.96154042e+01  1.10601568e+02  3.45680361e+01  1.71647343e+01  3.45669945e+01  1.71678677e+01 
 1.07078670e-01  2.98409164e+01  1.10951603e+02  3.45895587e+01  1.75274088e+01  3.45885245e+01  1.75305005e+01 
 1.09547876e-01  3.00676273e+01  1.11309718e+02  3.46119694e+01  1.78963193e+01  3.46109422e+01  1.78993692e+01 
 1.12074020e-01  3.02955832e+01  1.11675927e+02  3.46352998e+01  1.82714826e+01  3.46342795e+01  1.82744909e+01 
 1.14658417e-01  3.05248316e+01  1.12050240e+02  3.46595823e+01  1.86529095e+01  3.46585687e+01  1.86558764e+01 
 1.17302409e-01  3.07554217e+01  1.12432660e+02  3.46848499e+01  1.90406042e+01  3.46838428e+01  1.90435299e+01 
 1.20007371e-01  3.09874039e+01  1.12823185e+02  3.47111366e+01  1.94345640e+01  3.47101357e+01  1.94374486e+01 
 1.22774708e-01  3.12208306e+01  1.13221808e+02  3.47384766e+01  1.98347788e+01  3.47374817e+01  1.98376228e+01 
 1.25605860e-01  3.14557557e+01  1.13628514e+02  3.47669050e+01  2.02412310e+01  3.47659160e+01  2.02440346e+01 
 1.28502297e-01  3.16922345e+01  1.14043281e+02  3.47964574e+01  2.06538948e+01  3.47954740e+01  2.06566584e+01 
 1.31465525e-01  3.19303239e+01  1.14466078e+02  3.48271700e+01  2.10727360e+01  3.48261920e+01  2.10754601e+01 
 1.34497085e-01  3.21700830e+01  1.14896870e+02  3.48590794e+01  2.14977116e+01  3.48581067e+01  2.15003965e+01 
 1.37598551e-01  3.24115717e+01  1.15335609e+02  3.48922227e+01  2.19287694e+01  3.48912551e+01  2.19314156e+01 
 1.40771537e-01  3.26548524e+01  1.15782243e+02  3.49266375e+01  2.23658473e+01  3.49256748e+01  2.23684554e+01 
 1.44017690e-01  3.28999886e+01  1.16236706e+02  3.49623616e+01  2.28088738e+01  3.49614036e+01  2.28114442e+01 
 1.47338699e-01  3.31470458e+01  1.16698928e+02  3.49994332e+01  2.32577665e+01  3.49984798e+01  2.32602998e+01 
 1.50736290e-01  3.33960911e+01  1.17168824e+02  3.50378907e+01  2.37124329e+01  3.50369416e+01  2.37149296e+01 
