 frequency       v(Cinp)         v(Cinp)         v(Cinn)         v(Cinn)        
 1.14658417e+01  1.75015884e-13  0.00000000e+00  7.81143956e-14  0.00000000e+00 
 1.17302409e+01  1.71071505e-13  0.00000000e+00  7.67415019e-14  0.00000000e+00 
 1.20007371e+01  1.67216044e-13  0.00000000e+00  7.54056194e-14  0.00000000e+00 
 1.22774708e+01  1.63447496e-13  0.00000000e+00  7.41058959e-14  0.00000000e+00 
 1.25605860e+01  1.59763903e-13  0.00000000e+00  7.28415220e-14  0.00000000e+00 
 1.28502297e+01  1.56163349e-13  0.00000000e+00  7.16116280e-14  0.00000000e+00 
 1.31465525e+01  1.52643964e-13  0.00000000e+00  7.04154268e-14  0.00000000e+00 
 1.34497085e+01  1.49203917e-13  0.00000000e+00  6.92521483e-14  0.00000000e+00 
 1.37598551e+01  1.45841422e-13  0.00000000e+00  6.81209644e-14  0.00000000e+00 
 1.40771537e+01  1.42554730e-13  0.00000000e+00  6.70211042e-14  0.00000000e+00 
 1.44017690e+01  1.39342133e-13  0.00000000e+00  6.59518126e-14  0.00000000e+00 
 1.47338699e+01  1.36201961e-13  0.00000000e+00  6.49123153e-14  0.00000000e+00 
 1.50736290e+01  1.33132582e-13  0.00000000e+00  6.39018544e-14  0.00000000e+00 
 1.54212228e+01  1.30132401e-13  0.00000000e+00  6.29197038e-14  0.00000000e+00 
 1.57768320e+01  1.27199859e-13  0.00000000e+00  6.19651184e-14  0.00000000e+00 
 1.61406415e+01  1.24333430e-13  0.00000000e+00  6.10373828e-14  0.00000000e+00 
 1.65128404e+01  1.21531626e-13  0.00000000e+00  6.01357640e-14  0.00000000e+00 
 1.68936220e+01  1.18792989e-13  0.00000000e+00  5.92595431e-14  0.00000000e+00 
 1.72831844e+01  1.16116098e-13  0.00000000e+00  5.84080425e-14  0.00000000e+00 
 1.76817299e+01  1.13499559e-13  0.00000000e+00  5.75805254e-14  0.00000000e+00 
 1.80894658e+01  1.10942013e-13  0.00000000e+00  5.67763243e-14  0.00000000e+00 
 1.85066040e+01  1.08442131e-13  0.00000000e+00  5.59947548e-14  0.00000000e+00 
 1.89333613e+01  1.05998614e-13  0.00000000e+00  5.52351319e-14  0.00000000e+00 
 1.93699595e+01  1.03610191e-13  0.00000000e+00  5.44967824e-14  0.00000000e+00 
 1.98166255e+01  1.01275621e-13  0.00000000e+00  5.37790333e-14  0.00000000e+00 
 2.02735916e+01  9.89936909e-14  0.00000000e+00  5.30812355e-14  0.00000000e+00 
 2.07410951e+01  9.67632141e-14  0.00000000e+00  5.24027283e-14  0.00000000e+00 
 2.12193792e+01  9.45830314e-14  0.00000000e+00  5.17428525e-14  0.00000000e+00 
 2.17086923e+01  9.24520097e-14  0.00000000e+00  5.11009954e-14  0.00000000e+00 
 2.22092889e+01  9.03690414e-14  0.00000000e+00  5.04765011e-14  0.00000000e+00 
 2.27214291e+01  8.83330438e-14  0.00000000e+00  4.98687292e-14  0.00000000e+00 
 2.32453791e+01  8.63429586e-14  0.00000000e+00  4.92770743e-14  0.00000000e+00 
 2.37814113e+01  8.43977515e-14  0.00000000e+00  4.87009241e-14  0.00000000e+00 
 2.43298042e+01  8.24964114e-14  0.00000000e+00  4.81396425e-14  0.00000000e+00 
 2.48908429e+01  8.06379502e-14  0.00000000e+00  4.75926488e-14  0.00000000e+00 
 2.54648190e+01  7.88214017e-14  0.00000000e+00  4.70593400e-14  0.00000000e+00 
 2.60520309e+01  7.70458218e-14  0.00000000e+00  4.65391220e-14  0.00000000e+00 
 2.66527837e+01  7.53102877e-14  0.00000000e+00  4.60314192e-14  0.00000000e+00 
 2.72673897e+01  7.36138973e-14  0.00000000e+00  4.55356485e-14  0.00000000e+00 
 2.78961683e+01  7.19557688e-14  0.00000000e+00  4.50512556e-14  0.00000000e+00 
 2.85394464e+01  7.03350404e-14  0.00000000e+00  4.45776735e-14  0.00000000e+00 
 2.91975583e+01  6.87508697e-14  0.00000000e+00  4.41143496e-14  0.00000000e+00 
 2.98708461e+01  6.72024334e-14  0.00000000e+00  4.36607539e-14  0.00000000e+00 
 3.05596598e+01  6.56889265e-14  0.00000000e+00  4.32163417e-14  0.00000000e+00 
 3.12643573e+01  6.42095624e-14  0.00000000e+00  4.27806012e-14  0.00000000e+00 
 3.19853049e+01  6.27635722e-14  0.00000000e+00  4.23530167e-14  0.00000000e+00 
 3.27228774e+01  6.13502044e-14  0.00000000e+00  4.19330716e-14  0.00000000e+00 
 3.34774581e+01  5.99687242e-14  0.00000000e+00  4.15202985e-14  0.00000000e+00 
 3.42494392e+01  5.86184136e-14  0.00000000e+00  4.11141840e-14  0.00000000e+00 
 3.50392221e+01  5.72985709e-14  0.00000000e+00  4.07142793e-14  0.00000000e+00 
 3.58472171e+01  5.60085099e-14  0.00000000e+00  4.03201206e-14  0.00000000e+00 
 3.66738442e+01  5.47475602e-14  0.00000000e+00  3.99312578e-14  0.00000000e+00 
 3.75195331e+01  5.35150664e-14  0.00000000e+00  3.95472583e-14  0.00000000e+00 
 3.83847234e+01  5.23103877e-14  0.00000000e+00  3.91676930e-14  0.00000000e+00 
 3.92698648e+01  5.11328982e-14  0.00000000e+00  3.87921632e-14  0.00000000e+00 
 4.01754173e+01  4.99819857e-14  0.00000000e+00  3.84202747e-14  0.00000000e+00 
 4.11018515e+01  4.88570521e-14  0.00000000e+00  3.80516262e-14  0.00000000e+00 
 4.20496491e+01  4.77575127e-14  0.00000000e+00  3.76858708e-14  0.00000000e+00 
 4.30193027e+01  4.66827958e-14  0.00000000e+00  3.73226460e-14  0.00000000e+00 
 4.40113162e+01  4.56323431e-14  0.00000000e+00  3.69616131e-14  0.00000000e+00 
 4.50262052e+01  4.46056083e-14  0.00000000e+00  3.66024574e-14  0.00000000e+00 
 4.60644974e+01  4.36020580e-14  0.00000000e+00  3.62448691e-14  0.00000000e+00 
 4.71267322e+01  4.26211704e-14  0.00000000e+00  3.58885542e-14  0.00000000e+00 
 4.82134619e+01  4.16624357e-14  0.00000000e+00  3.55332499e-14  0.00000000e+00 
 4.93252513e+01  4.07253556e-14  0.00000000e+00  3.51786866e-14  0.00000000e+00 
 5.04626783e+01  3.98094431e-14  0.00000000e+00  3.48246360e-14  0.00000000e+00 
 5.16263340e+01  3.89142220e-14  0.00000000e+00  3.44708645e-14  0.00000000e+00 
 5.28168234e+01  3.80392271e-14  0.00000000e+00  3.41171752e-14  0.00000000e+00 
 5.40347650e+01  3.71840035e-14  0.00000000e+00  3.37633798e-14  0.00000000e+00 
 5.52807921e+01  3.63481068e-14  0.00000000e+00  3.34093097e-14  0.00000000e+00 
 5.65555523e+01  3.55311024e-14  0.00000000e+00  3.30548103e-14  0.00000000e+00 
 5.78597080e+01  3.47325657e-14  0.00000000e+00  3.26997521e-14  0.00000000e+00 
 5.91939372e+01  3.39520816e-14  0.00000000e+00  3.23440171e-14  0.00000000e+00 
 6.05589334e+01  3.31892445e-14  0.00000000e+00  3.19875038e-14  0.00000000e+00 
 6.19554061e+01  3.24436578e-14  0.00000000e+00  3.16301372e-14  0.00000000e+00 
 6.33840810e+01  3.17149340e-14  0.00000000e+00  3.12718600e-14  0.00000000e+00 
 6.48457008e+01  3.10026943e-14  0.00000000e+00  3.09126137e-14  0.00000000e+00 
 6.63410251e+01  3.03065685e-14  0.00000000e+00  3.05523739e-14  0.00000000e+00 
 6.78708313e+01  2.96261948e-14  0.00000000e+00  3.01911337e-14  0.00000000e+00 
 6.94359143e+01  2.89612194e-14  0.00000000e+00  2.98288880e-14  0.00000000e+00 
 7.10370877e+01  2.83112969e-14  0.00000000e+00  2.94656611e-14  0.00000000e+00 
 7.26751838e+01  2.76760893e-14  0.00000000e+00  2.91014864e-14  0.00000000e+00 
 7.43510539e+01  2.70552664e-14  0.00000000e+00  2.87364120e-14  0.00000000e+00 
 7.60655691e+01  2.64485055e-14  0.00000000e+00  2.83704987e-14  0.00000000e+00 
 7.78196206e+01  2.58554914e-14  0.00000000e+00  2.80038245e-14  0.00000000e+00 
 7.96141200e+01  2.52759156e-14  0.00000000e+00  2.76364736e-14  0.00000000e+00 
 8.14500001e+01  2.47094769e-14  0.00000000e+00  2.72685463e-14  0.00000000e+00 
 8.33282151e+01  2.41558809e-14  0.00000000e+00  2.69001513e-14  0.00000000e+00 
 8.52497412e+01  2.36148398e-14  0.00000000e+00  2.65314098e-14  0.00000000e+00 
 8.72155772e+01  2.30860724e-14  0.00000000e+00  2.61624502e-14  0.00000000e+00 
 8.92267449e+01  2.25693038e-14  0.00000000e+00  2.57934080e-14  0.00000000e+00 
 9.12842895e+01  2.20642653e-14  0.00000000e+00  2.54244248e-14  0.00000000e+00 
 9.33892805e+01  2.15706944e-14  0.00000000e+00  2.50556482e-14  0.00000000e+00 
 9.55428121e+01  2.10883345e-14  0.00000000e+00  2.46872359e-14  0.00000000e+00 
 9.77460036e+01  2.06169349e-14  0.00000000e+00  2.43193488e-14  0.00000000e+00 
