 time            v(clk)          v(vinp)         v(vinn)         v(vs)           v(vcpp)         v(vcpn)         v(voutp_comp)   v(voutn_comp)   v(vout)        
 3.04786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.48360993e-01  1.39235321e+00  1.38296027e+00 -1.14131439e-01 -1.13628613e-01  8.06840171e-07 
 3.08786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.49813376e-01  1.38958793e+00  1.37992871e+00 -1.14376226e-01 -1.13860553e-01 -5.29774908e-07 
 3.12786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.52873122e-01  1.38689676e+00  1.37697595e+00 -1.14519162e-01 -1.13991125e-01  7.96022093e-07 
 3.16786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.54237395e-01  1.38427126e+00  1.37409420e+00 -1.14750624e-01 -1.14210746e-01 -5.16510960e-07 
 3.20786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.57186828e-01  1.38171430e+00  1.37128537e+00 -1.14882871e-01 -1.14331647e-01  7.80773171e-07 
 3.24786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.58471635e-01  1.37921778e+00  1.36854200e+00 -1.15101467e-01 -1.14539442e-01 -4.99676193e-07 
 3.28786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.61315883e-01  1.37678479e+00  1.36586627e+00 -1.15223621e-01 -1.14651306e-01  7.62696761e-07 
 3.32786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.62528586e-01  1.37440753e+00  1.36325098e+00 -1.15429795e-01 -1.14847759e-01 -4.80648968e-07 
 3.36786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.65272744e-01  1.37208929e+00  1.36069858e+00 -1.15542323e-01 -1.14951096e-01  7.42964571e-07 
 3.40786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.66419681e-01  1.36982255e+00  1.35820209e+00 -1.15736485e-01 -1.15136664e-01 -4.60415870e-07 
 3.44786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.69068718e-01  1.36761075e+00  1.35576418e+00 -1.15839754e-01 -1.15231892e-01  7.22400632e-07 
 3.48786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.70155397e-01  1.36544661e+00  1.35337809e+00 -1.16022269e-01 -1.15406994e-01 -4.39660192e-07 
 3.52786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.72714092e-01  1.36333374e+00  1.35104667e+00 -1.16116570e-01 -1.15494461e-01  7.01567725e-07 
 3.56786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.73745349e-01  1.36126504e+00  1.34876337e+00 -1.16287758e-01 -1.15659475e-01 -4.18842386e-07 
 3.60786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.76218254e-01  1.35924427e+00  1.34653118e+00 -1.16373315e-01 -1.15739468e-01  6.80840157e-07 
 3.64786171e-09  1.50000000e+00  7.60000000e-01  7.50000000e-01  1.77198367e-01  1.35726452e+00  1.34434374e+00 -1.16533451e-01 -1.15894733e-01 -3.98264681e-07 
