 time            v(clk)          v(vs)           v(vctail)       v(vcpp)         v(vcpn)         v(voutp)        v(voutn)       
 9.37027305e-08  1.50000000e+00  3.92678822e-01  3.92479881e-01  1.14236342e+00  1.09543042e+00  1.49993184e+00  1.34687444e-06 
 9.37427305e-08  1.50000000e+00  3.92693461e-01  3.92494612e-01  1.14235023e+00  1.09541413e+00  1.49993191e+00  1.34852737e-06 
 9.37827305e-08  1.50000000e+00  3.92708096e-01  3.92509335e-01  1.14233704e+00  1.09539786e+00  1.49993197e+00  1.34441361e-06 
 9.38227305e-08  1.50000000e+00  3.92722721e-01  3.92524052e-01  1.14232385e+00  1.09538158e+00  1.49993204e+00  1.34606871e-06 
 9.38627305e-08  1.50000000e+00  3.92737341e-01  3.92538761e-01  1.14231068e+00  1.09536532e+00  1.49993210e+00  1.34196260e-06 
 9.39027305e-08  1.50000000e+00  3.92751952e-01  3.92553463e-01  1.14229751e+00  1.09534906e+00  1.49993217e+00  1.34361986e-06 
 9.39427305e-08  1.50000000e+00  3.92766559e-01  3.92568158e-01  1.14228435e+00  1.09533282e+00  1.49993223e+00  1.33952137e-06 
 9.39827305e-08  1.50000000e+00  3.92781156e-01  3.92582846e-01  1.14227118e+00  1.09531657e+00  1.49993230e+00  1.34118076e-06 
 9.40227305e-08  1.50000000e+00  3.92795748e-01  3.92597527e-01  1.14225804e+00  1.09530035e+00  1.49993236e+00  1.33708987e-06 
 9.40627305e-08  1.50000000e+00  3.92810331e-01  3.92612201e-01  1.14224489e+00  1.09528412e+00  1.49993243e+00  1.33875135e-06 
 9.41027305e-08  1.50000000e+00  3.92824909e-01  3.92626867e-01  1.14223175e+00  1.09526791e+00  1.49993249e+00  1.33466803e-06 
 9.41427305e-08  1.50000000e+00  3.92839478e-01  3.92641527e-01  1.14221862e+00  1.09525169e+00  1.49993256e+00  1.33633157e-06 
 9.41827305e-08  1.50000000e+00  3.92854043e-01  3.92656179e-01  1.14220550e+00  1.09523550e+00  1.49993262e+00  1.33225578e-06 
 9.42227305e-08  1.50000000e+00  3.92868598e-01  3.92670825e-01  1.14219237e+00  1.09521930e+00  1.49993269e+00  1.33392136e-06 
 9.42627305e-08  1.50000000e+00  3.92883148e-01  3.92685463e-01  1.14217926e+00  1.09520312e+00  1.49993275e+00  1.32985307e-06 
 9.43027305e-08  1.50000000e+00  3.92897689e-01  3.92700095e-01  1.14216615e+00  1.09518694e+00  1.49993281e+00  1.33152068e-06 
 9.43427305e-08  1.50000000e+00  3.92912226e-01  3.92714719e-01  1.14215306e+00  1.09517077e+00  1.49993287e+00  1.32745984e-06 
 9.43827305e-08  1.50000000e+00  3.92926753e-01  3.92729336e-01  1.14213996e+00  1.09515461e+00  1.49993294e+00  1.32912945e-06 
 9.44227305e-08  1.50000000e+00  3.92941276e-01  3.92743947e-01  1.14212687e+00  1.09513846e+00  1.49993300e+00  1.32507607e-06 
 9.44627305e-08  1.50000000e+00  3.92955789e-01  3.92758550e-01  1.14211379e+00  1.09512231e+00  1.49993307e+00  1.32674763e-06 
 9.45027305e-08  1.50000000e+00  3.92970298e-01  3.92773146e-01  1.14210072e+00  1.09510617e+00  1.49993313e+00  1.32270165e-06 
 9.45427305e-08  1.50000000e+00  3.92984797e-01  3.92787736e-01  1.14208765e+00  1.09509004e+00  1.49993320e+00  1.32437517e-06 
 9.45827305e-08  1.50000000e+00  3.92999292e-01  3.92802318e-01  1.14207459e+00  1.09507392e+00  1.49993326e+00  1.32033656e-06 
 9.46227305e-08  1.50000000e+00  3.93013778e-01  3.92816893e-01  1.14206153e+00  1.09505780e+00  1.49993332e+00  1.32201199e-06 
 9.46627305e-08  1.50000000e+00  3.93028259e-01  3.92831462e-01  1.14204848e+00  1.09504170e+00  1.49993338e+00  1.31798074e-06 
 9.47027305e-08  1.50000000e+00  3.93042731e-01  3.92846023e-01  1.14203543e+00  1.09502560e+00  1.49993345e+00  1.31965807e-06 
 9.47427305e-08  1.50000000e+00  3.93057198e-01  3.92860577e-01  1.14202240e+00  1.09500951e+00  1.49993351e+00  1.31563412e-06 
 9.47827305e-08  1.50000000e+00  3.93071657e-01  3.92875125e-01  1.14200936e+00  1.09499342e+00  1.49993357e+00  1.31731331e-06 
 9.48227305e-08  1.50000000e+00  3.93086110e-01  3.92889665e-01  1.14199634e+00  1.09497735e+00  1.49993363e+00  1.31329666e-06 
 9.48627305e-08  1.50000000e+00  3.93100555e-01  3.92904199e-01  1.14198332e+00  1.09496128e+00  1.49993370e+00  1.31497770e-06 
 9.49027305e-08  1.50000000e+00  3.93114994e-01  3.92918725e-01  1.14197031e+00  1.09494522e+00  1.49993376e+00  1.31096830e-06 
 9.49427305e-08  1.50000000e+00  3.93129425e-01  3.92933245e-01  1.14195730e+00  1.09492916e+00  1.49993382e+00  1.31265116e-06 
 9.49827305e-08  1.50000000e+00  3.93143851e-01  3.92947758e-01  1.14194431e+00  1.09491312e+00  1.49993388e+00  1.30864899e-06 
 9.50227305e-08  1.50000000e+00  3.93158268e-01  3.92962263e-01  1.14193131e+00  1.09489708e+00  1.49993395e+00  1.31033364e-06 
 9.50627305e-08  1.50000000e+00  3.93172681e-01  3.92976762e-01  1.14191832e+00  1.09488105e+00  1.49993400e+00  1.30633868e-06 
 9.51027305e-08  1.50000000e+00  3.93187084e-01  3.92991254e-01  1.14190534e+00  1.09486503e+00  1.49993407e+00  1.30802510e-06 
 9.51427305e-08  1.50000000e+00  3.93201483e-01  3.93005739e-01  1.14189237e+00  1.09484902e+00  1.49993413e+00  1.30403731e-06 
 9.51827305e-08  1.50000000e+00  3.93215873e-01  3.93020217e-01  1.14187939e+00  1.09483300e+00  1.49993419e+00  1.30572548e-06 
 9.52227305e-08  1.50000000e+00  3.93230258e-01  3.93034689e-01  1.14186644e+00  1.09481701e+00  1.49993425e+00  1.30174484e-06 
 9.52627305e-08  1.50000000e+00  3.93244634e-01  3.93049153e-01  1.14185348e+00  1.09480101e+00  1.49993431e+00  1.30343474e-06 
 9.53027305e-08  1.50000000e+00  3.93259005e-01  3.93063611e-01  1.14184053e+00  1.09478503e+00  1.49993437e+00  1.29946120e-06 
 9.53427305e-08  1.50000000e+00  3.93273368e-01  3.93078061e-01  1.14182758e+00  1.09476905e+00  1.49993444e+00  1.30115280e-06 
 9.53827305e-08  1.50000000e+00  3.93287726e-01  3.93092505e-01  1.14181465e+00  1.09475309e+00  1.49993449e+00  1.29718636e-06 
 9.54227305e-08  1.50000000e+00  3.93302075e-01  3.93106942e-01  1.14180171e+00  1.09473712e+00  1.49993456e+00  1.29887964e-06 
 9.54627305e-08  1.50000000e+00  3.93316419e-01  3.93121372e-01  1.14178879e+00  1.09472117e+00  1.49993462e+00  1.29492024e-06 
 9.55027305e-08  1.50000000e+00  3.93330755e-01  3.93135795e-01  1.14177587e+00  1.09470522e+00  1.49993468e+00  1.29661518e-06 
 9.55427305e-08  1.50000000e+00  3.93345086e-01  3.93150212e-01  1.14176296e+00  1.09468929e+00  1.49993474e+00  1.29266282e-06 
 9.55827305e-08  1.50000000e+00  3.93359408e-01  3.93164621e-01  1.14175004e+00  1.09467335e+00  1.49993480e+00  1.29435940e-06 
 9.56227305e-08  1.50000000e+00  3.93373725e-01  3.93179024e-01  1.14173715e+00  1.09465743e+00  1.49993486e+00  1.29041403e-06 
 9.56627305e-08  1.50000000e+00  3.93388033e-01  3.93193420e-01  1.14172425e+00  1.09464152e+00  1.49993492e+00  1.29211222e-06 
 9.57027305e-08  1.50000000e+00  3.93402337e-01  3.93207809e-01  1.14171136e+00  1.09462561e+00  1.49993498e+00  1.28817385e-06 
 9.57427305e-08  1.50000000e+00  3.93416632e-01  3.93222191e-01  1.14169848e+00  1.09460971e+00  1.49993504e+00  1.28987362e-06 
 9.57827305e-08  1.50000000e+00  3.93430923e-01  3.93236567e-01  1.14168560e+00  1.09459382e+00  1.49993510e+00  1.28594219e-06 
 9.58227305e-08  1.50000000e+00  3.93445204e-01  3.93250935e-01  1.14167273e+00  1.09457793e+00  1.49993516e+00  1.28764352e-06 
 9.58627305e-08  1.50000000e+00  3.93459481e-01  3.93265297e-01  1.14165987e+00  1.09456205e+00  1.49993522e+00  1.28371901e-06 
 9.59027305e-08  1.50000000e+00  3.93473749e-01  3.93279652e-01  1.14164701e+00  1.09454618e+00  1.49993528e+00  1.28542191e-06 
 9.59427305e-08  1.50000000e+00  3.93488013e-01  3.93294001e-01  1.14163416e+00  1.09453032e+00  1.49993533e+00  1.28150430e-06 
 9.59827305e-08  1.50000000e+00  3.93502268e-01  3.93308342e-01  1.14162131e+00  1.09451446e+00  1.49993540e+00  1.28320870e-06 
 9.60227305e-08  1.50000000e+00  3.93516518e-01  3.93322677e-01  1.14160847e+00  1.09449862e+00  1.49993545e+00  1.27929795e-06 
 9.60627305e-08  1.50000000e+00  3.93530759e-01  3.93337005e-01  1.14159563e+00  1.09448277e+00  1.49993551e+00  1.28100387e-06 
 9.61027305e-08  1.50000000e+00  3.93544996e-01  3.93351326e-01  1.14158281e+00  1.09446694e+00  1.49993557e+00  1.27709996e-06 
 9.61427305e-08  1.50000000e+00  3.93559224e-01  3.93365641e-01  1.14156998e+00  1.09445111e+00  1.49993563e+00  1.27880736e-06 
 9.61827305e-08  1.50000000e+00  3.93573448e-01  3.93379949e-01  1.14155717e+00  1.09443530e+00  1.49993569e+00  1.27491027e-06 
 9.62227305e-08  1.50000000e+00  3.93587663e-01  3.93394250e-01  1.14154436e+00  1.09441949e+00  1.49993575e+00  1.27661912e-06 
 9.62627305e-08  1.50000000e+00  3.93601873e-01  3.93408544e-01  1.14153156e+00  1.09440369e+00  1.49993580e+00  1.27272883e-06 
 9.63027305e-08  1.50000000e+00  3.93616074e-01  3.93422832e-01  1.14151876e+00  1.09438789e+00  1.49993587e+00  1.27443913e-06 
 9.63427305e-08  1.50000000e+00  3.93630271e-01  3.93437113e-01  1.14150597e+00  1.09437210e+00  1.49993592e+00  1.27055559e-06 
 9.63827305e-08  1.50000000e+00  3.93644459e-01  3.93451387e-01  1.14149318e+00  1.09435632e+00  1.49993598e+00  1.27226731e-06 
 9.64227305e-08  1.50000000e+00  3.93658643e-01  3.93465655e-01  1.14148040e+00  1.09434055e+00  1.49993604e+00  1.26839051e-06 
 9.64627305e-08  1.50000000e+00  3.93672818e-01  3.93479915e-01  1.14146763e+00  1.09432478e+00  1.49993610e+00  1.27010362e-06 
 9.65027305e-08  1.50000000e+00  3.93686988e-01  3.93494170e-01  1.14145486e+00  1.09430903e+00  1.49993615e+00  1.26623354e-06 
 9.65427305e-08  1.50000000e+00  3.93701150e-01  3.93508417e-01  1.14144210e+00  1.09429327e+00  1.49993621e+00  1.26794803e-06 
 9.65827305e-08  1.50000000e+00  3.93715307e-01  3.93522658e-01  1.14142935e+00  1.09427753e+00  1.49993627e+00  1.26408463e-06 
 9.66227305e-08  1.50000000e+00  3.93729456e-01  3.93536892e-01  1.14141659e+00  1.09426179e+00  1.49993633e+00  1.26580048e-06 
 9.66627305e-08  1.50000000e+00  3.93743600e-01  3.93551119e-01  1.14140385e+00  1.09424607e+00  1.49993638e+00  1.26194375e-06 
