 frequency       v(Tmb_dB)       v(Tmb_arg)     
 3.27228774e-01  3.74128517e+01  4.11663466e+01 
 3.34774581e-01  3.75189440e+01  4.16750010e+01 
 3.42494392e-01  3.76271696e+01  4.21789124e+01 
 3.50392221e-01  3.77375121e+01  4.26776841e+01 
 3.58472171e-01  3.78499529e+01  4.31709226e+01 
 3.66738442e-01  3.79644708e+01  4.36582391e+01 
 3.75195331e-01  3.80810428e+01  4.41392494e+01 
 3.83847234e-01  3.81996431e+01  4.46135755e+01 
 3.92698648e-01  3.83202442e+01  4.50808454e+01 
 4.01754173e-01  3.84428162e+01  4.55406944e+01 
 4.11018515e-01  3.85673273e+01  4.59927654e+01 
 4.20496491e-01  3.86937439e+01  4.64367093e+01 
 4.30193027e-01  3.88220302e+01  4.68721858e+01 
 4.40113162e-01  3.89521492e+01  4.72988634e+01 
 4.50262052e-01  3.90840619e+01  4.77164203e+01 
 4.60644974e-01  3.92177277e+01  4.81245444e+01 
 4.71267322e-01  3.93531047e+01  4.85229336e+01 
 4.82134619e-01  3.94901496e+01  4.89112959e+01 
 4.93252513e-01  3.96288179e+01  4.92893501e+01 
 5.04626783e-01  3.97690639e+01  4.96568253e+01 
 5.16263340e-01  3.99108406e+01  5.00134613e+01 
 5.28168234e-01  4.00541004e+01  5.03590089e+01 
 5.40347650e-01  4.01987946e+01  5.06932293e+01 
 5.52807921e-01  4.03448736e+01  5.10158944e+01 
 5.65555523e-01  4.04922873e+01  5.13267869e+01 
 5.78597080e-01  4.06409848e+01  5.16256999e+01 
 5.91939372e-01  4.07909146e+01  5.19124369e+01 
 6.05589334e-01  4.09420249e+01  5.21868116e+01 
 6.19554061e-01  4.10942631e+01  5.24486480e+01 
 6.33840810e-01  4.12475767e+01  5.26977796e+01 
 6.48457008e-01  4.14019125e+01  5.29340499e+01 
 6.63410251e-01  4.15572172e+01  5.31573117e+01 
 6.78708313e-01  4.17134372e+01  5.33674268e+01 
 6.94359143e-01  4.18705187e+01  5.35642665e+01 
 7.10370877e-01  4.20284080e+01  5.37477103e+01 
 7.26751838e-01  4.21870509e+01  5.39176465e+01 
 7.43510539e-01  4.23463934e+01  5.40739715e+01 
 7.60655691e-01  4.25063814e+01  5.42165901e+01 
 7.78196206e-01  4.26669607e+01  5.43454142e+01 
 7.96141200e-01  4.28280771e+01  5.44603641e+01 
 8.14500001e-01  4.29896765e+01  5.45613668e+01 
 8.33282151e-01  4.31517045e+01  5.46483572e+01 
 8.52497412e-01  4.33141071e+01  5.47212764e+01 
 8.72155772e-01  4.34768301e+01  5.47800730e+01 
 8.92267449e-01  4.36398192e+01  5.48247022e+01 
 9.12842895e-01  4.38030204e+01  5.48551257e+01 
 9.33892805e-01  4.39663796e+01  5.48713117e+01 
 9.55428121e-01  4.41298426e+01  5.48732348e+01 
 9.77460036e-01  4.42933552e+01  5.48608761e+01 
 1.00000000e+00  4.44568635e+01  5.48342230e+01 
 1.02305973e+00  4.46203133e+01  5.47932691e+01 
 1.04665121e+00  4.47836504e+01  5.47380145e+01 
 1.07078670e+00  4.49468208e+01  5.46684654e+01 
 1.09547876e+00  4.51097702e+01  5.45846347e+01 
 1.12074020e+00  4.52724445e+01  5.44865416e+01 
 1.14658417e+00  4.54347895e+01  5.43742118e+01 
 1.17302409e+00  4.55967510e+01  5.42476778e+01 
 1.20007371e+00  4.57582747e+01  5.41069789e+01 
 1.22774708e+00  4.59193064e+01  5.39521613e+01 
 1.25605860e+00  4.60797917e+01  5.37832785e+01 
 1.28502297e+00  4.62396765e+01  5.36003909e+01 
 1.31465525e+00  4.63989064e+01  5.34035670e+01 
 1.34497085e+00  4.65574272e+01  5.31928824e+01 
 1.37598551e+00  4.67151847e+01  5.29684211e+01 
 1.40771537e+00  4.68721249e+01  5.27302749e+01 
 1.44017690e+00  4.70281936e+01  5.24785442e+01 
 1.47338699e+00  4.71833372e+01  5.22133378e+01 
 1.50736290e+00  4.73375017e+01  5.19347735e+01 
