 v-sweep         v(vout_comp)    v(vinp)         v(vinn)         v(dvout_comp)  
 7.50196000e-01  7.12992010e-10  7.50196000e-01  7.50000000e-01  1.90153523e-05 
 7.50197000e-01  7.32260896e-10  7.50197000e-01  7.50000000e-01  1.95293184e-05 
 7.50198000e-01  7.52050646e-10  7.50198000e-01  7.50000000e-01  2.00570621e-05 
 7.50199000e-01  7.72375026e-10  7.50199000e-01  7.50000000e-01  2.05990251e-05 
 7.50200000e-01  7.93248678e-10  7.50200000e-01  7.50000000e-01  2.11558033e-05 
 7.50201000e-01  8.14686652e-10  7.50201000e-01  7.50000000e-01  2.17275486e-05 
 7.50202000e-01  8.36703769e-10  7.50202000e-01  7.50000000e-01  2.23147367e-05 
 7.50203000e-01  8.59316125e-10  7.50203000e-01  7.50000000e-01  2.29178486e-05 
 7.50204000e-01  8.82539473e-10  7.50204000e-01  7.50000000e-01  2.35372025e-05 
 7.50205000e-01  9.06390509e-10  7.50205000e-01  7.50000000e-01  2.41732702e-05 
 7.50206000e-01  9.30886035e-10  7.50206000e-01  7.50000000e-01  2.48265864e-05 
 7.50207000e-01  9.56043675e-10  7.50207000e-01  7.50000000e-01  2.54975304e-05 
 7.50208000e-01  9.81881097e-10  7.50208000e-01  7.50000000e-01  2.61864932e-05 
 7.50209000e-01  1.00841667e-09  7.50209000e-01  7.50000000e-01  2.68943127e-05 
 7.50210000e-01  1.03566970e-09  7.50210000e-01  7.50000000e-01  2.76212214e-05 
 7.50211000e-01  1.06365914e-09  7.50211000e-01  7.50000000e-01  2.83675730e-05 
 7.50212000e-01  1.09240484e-09  7.50212000e-01  7.50000000e-01  2.91342588e-05 
 7.50213000e-01  1.12192766e-09  7.50213000e-01  7.50000000e-01  2.99216178e-05 
 7.50214000e-01  1.15224808e-09  7.50214000e-01  7.50000000e-01  3.07302356e-05 
 7.50215000e-01  1.18338810e-09  7.50215000e-01  7.50000000e-01  3.15607358e-05 
 7.50216000e-01  1.21536954e-09  7.50216000e-01  7.50000000e-01  3.24136977e-05 
 7.50217000e-01  1.24821549e-09  7.50217000e-01  7.50000000e-01  3.32897087e-05 
 7.50218000e-01  1.28194896e-09  7.50218000e-01  7.50000000e-01  3.41893473e-05 
 7.50219000e-01  1.31659420e-09  7.50219000e-01  7.50000000e-01  3.51133804e-05 
 7.50220000e-01  1.35217574e-09  7.50220000e-01  7.50000000e-01  3.60623024e-05 
 7.50221000e-01  1.38871878e-09  7.50221000e-01  7.50000000e-01  3.70368508e-05 
 7.50222000e-01  1.42624944e-09  7.50222000e-01  7.50000000e-01  3.80378245e-05 
 7.50223000e-01  1.46479444e-09  7.50223000e-01  7.50000000e-01  3.90658540e-05 
 7.50224000e-01  1.50438116e-09  7.50224000e-01  7.50000000e-01  4.01215922e-05 
 7.50225000e-01  1.54503765e-09  7.50225000e-01  7.50000000e-01  4.12058344e-05 
 7.50226000e-01  1.58679281e-09  7.50226000e-01  7.50000000e-01  4.23194652e-05 
 7.50227000e-01  1.62967657e-09  7.50227000e-01  7.50000000e-01  4.34632050e-05 
 7.50228000e-01  1.67371922e-09  7.50228000e-01  7.50000000e-01  4.46378486e-05 
 7.50229000e-01  1.71895229e-09  7.50229000e-01  7.50000000e-01  4.58441821e-05 
 7.50230000e-01  1.76540762e-09  7.50230000e-01  7.50000000e-01  4.70830840e-05 
 7.50231000e-01  1.81311843e-09  7.50231000e-01  7.50000000e-01  4.83555947e-05 
 7.50232000e-01  1.86211880e-09  7.50232000e-01  7.50000000e-01  4.96623997e-05 
 7.50233000e-01  1.91244324e-09  7.50233000e-01  7.50000000e-01  5.10044818e-05 
 7.50234000e-01  1.96412771e-09  7.50234000e-01  7.50000000e-01  5.23829730e-05 
 7.50235000e-01  2.01720915e-09  7.50235000e-01  7.50000000e-01  5.37986177e-05 
 7.50236000e-01  2.07172500e-09  7.50236000e-01  7.50000000e-01  5.52525221e-05 
 7.50237000e-01  2.12771418e-09  7.50237000e-01  7.50000000e-01  5.67457215e-05 
 7.50238000e-01  2.18521645e-09  7.50238000e-01  7.50000000e-01  5.82793036e-05 
 7.50239000e-01  2.24427282e-09  7.50239000e-01  7.50000000e-01  5.98543809e-05 
 7.50240000e-01  2.30492517e-09  7.50240000e-01  7.50000000e-01  6.14720271e-05 
 7.50241000e-01  2.36721685e-09  7.50241000e-01  7.50000000e-01  6.31333502e-05 
 7.50242000e-01  2.43119187e-09  7.50242000e-01  7.50000000e-01  6.48394414e-05 
 7.50243000e-01  2.49689574e-09  7.50243000e-01  7.50000000e-01  6.65917317e-05 
 7.50244000e-01  2.56437536e-09  7.50244000e-01  7.50000000e-01  6.83914236e-05 
 7.50245000e-01  2.63367864e-09  7.50245000e-01  7.50000000e-01  7.02397481e-05 
 7.50246000e-01  2.70485483e-09  7.50246000e-01  7.50000000e-01  7.21380147e-05 
 7.50247000e-01  2.77795466e-09  7.50247000e-01  7.50000000e-01  7.40875542e-05 
