 frequency       v(inoise_spectrum) v(onoise_spectrum)
 8.48333284e+00  5.74043715e-07  5.65062689e-05 
 8.67895620e+00  5.65635494e-07  5.56801761e-05 
 8.87909059e+00  5.57390680e-07  5.48700530e-05 
 9.08384002e+00  5.49305604e-07  5.40755459e-05 
 9.29331091e+00  5.41376689e-07  5.32963095e-05 
 9.50761215e+00  5.33600443e-07  5.25320066e-05 
 9.72685512e+00  5.25973462e-07  5.17823082e-05 
 9.95115377e+00  5.18492423e-07  5.10468930e-05 
 1.01806247e+01  5.11154086e-07  5.03254472e-05 
 1.04153871e+01  5.03955290e-07  4.96176648e-05 
 1.06555632e+01  4.96892950e-07  4.89232468e-05 
 1.09012776e+01  4.89964061e-07  4.82419016e-05 
 1.11526581e+01  4.83165686e-07  4.75733444e-05 
 1.14098354e+01  4.76494964e-07  4.69172975e-05 
 1.16729431e+01  4.69949104e-07  4.62734895e-05 
 1.19421180e+01  4.63525383e-07  4.56416558e-05 
 1.22175000e+01  4.57221143e-07  4.50215382e-05 
 1.24992323e+01  4.51033795e-07  4.44128846e-05 
 1.27874612e+01  4.44960811e-07  4.38154490e-05 
 1.30823366e+01  4.38999728e-07  4.32289915e-05 
 1.33840117e+01  4.33148139e-07  4.26532778e-05 
 1.36926434e+01  4.27403702e-07  4.20880793e-05 
 1.40083921e+01  4.21764127e-07  4.15331731e-05 
 1.43314218e+01  4.16227186e-07  4.09883417e-05 
 1.46619005e+01  4.10790701e-07  4.04533726e-05 
 1.50000000e+01  4.05452550e-07  3.99280588e-05 
 1.53458959e+01  4.00210663e-07  3.94121981e-05 
 1.56997682e+01  3.95063020e-07  3.89055933e-05 
 1.60618006e+01  3.90007653e-07  3.84080519e-05 
 1.64321814e+01  3.85042640e-07  3.79193863e-05 
 1.68111030e+01  3.80166107e-07  3.74394132e-05 
 1.71987625e+01  3.75376226e-07  3.69679539e-05 
 1.75953613e+01  3.70671215e-07  3.65048339e-05 
 1.80011056e+01  3.66049333e-07  3.60498832e-05 
 1.84162062e+01  3.61508884e-07  3.56029357e-05 
 1.88408790e+01  3.57048214e-07  3.51638293e-05 
 1.92753446e+01  3.52665706e-07  3.47324060e-05 
 1.97198288e+01  3.48359787e-07  3.43085115e-05 
 2.01745627e+01  3.44128919e-07  3.38919953e-05 
 2.06397827e+01  3.39971604e-07  3.34827106e-05 
 2.11157305e+01  3.35886377e-07  3.30805139e-05 
 2.16026535e+01  3.31871813e-07  3.26852653e-05 
 2.21008049e+01  3.27926518e-07  3.22968285e-05 
 2.26104435e+01  3.24049134e-07  3.19150701e-05 
 2.31318342e+01  3.20238334e-07  3.15398601e-05 
 2.36652481e+01  3.16492825e-07  3.11710715e-05 
 2.42109623e+01  3.12811344e-07  3.08085806e-05 
 2.47692605e+01  3.09192658e-07  3.04522665e-05 
 2.53404330e+01  3.05635564e-07  3.01020109e-05 
 2.59247765e+01  3.02138890e-07  2.97576988e-05 
 2.65225949e+01  2.98701487e-07  2.94192177e-05 
 2.71341987e+01  2.95322239e-07  2.90864577e-05 
 2.77599060e+01  2.92000052e-07  2.87593116e-05 
 2.84000420e+01  2.88733860e-07  2.84376747e-05 
 2.90549393e+01  2.85522622e-07  2.81214447e-05 
 2.97249383e+01  2.82365322e-07  2.78105218e-05 
 3.04103874e+01  2.79260967e-07  2.75048085e-05 
 3.11116427e+01  2.76208587e-07  2.72042095e-05 
 3.18290688e+01  2.73207235e-07  2.69086318e-05 
 3.25630385e+01  2.70255987e-07  2.66179844e-05 
 3.33139333e+01  2.67353939e-07  2.63321787e-05 
 3.40821437e+01  2.64500208e-07  2.60511277e-05 
 3.48680687e+01  2.61693933e-07  2.57747468e-05 
 3.56721169e+01  2.58934269e-07  2.55029531e-05 
 3.64947063e+01  2.56220394e-07  2.52356656e-05 
 3.73362644e+01  2.53551502e-07  2.49728052e-05 
 3.81972285e+01  2.50926808e-07  2.47142945e-05 
 3.90780463e+01  2.48345542e-07  2.44600579e-05 
 3.99791755e+01  2.45806952e-07  2.42100214e-05 
 4.09010845e+01  2.43310303e-07  2.39641126e-05 
 4.18442524e+01  2.40854876e-07  2.37222609e-05 
 4.28091696e+01  2.38439968e-07  2.34843971e-05 
 4.37963375e+01  2.36064891e-07  2.32504534e-05 
 4.48062692e+01  2.33728972e-07  2.30203638e-05 
 4.58394897e+01  2.31431554e-07  2.27940633e-05 
 4.68965359e+01  2.29171991e-07  2.25714885e-05 
 4.79779574e+01  2.26949654e-07  2.23525775e-05 
 4.90843161e+01  2.24763926e-07  2.21372694e-05 
 5.02161872e+01  2.22614202e-07  2.19255048e-05 
 5.13741589e+01  2.20499891e-07  2.17172254e-05 
 5.25588331e+01  2.18420414e-07  2.15123742e-05 
 5.37708256e+01  2.16375204e-07  2.13108953e-05 
 5.50107663e+01  2.14363705e-07  2.11127340e-05 
 5.62792997e+01  2.12385373e-07  2.09178366e-05 
 5.75770852e+01  2.10439674e-07  2.07261506e-05 
 5.89047972e+01  2.08526087e-07  2.05376245e-05 
 6.02631259e+01  2.06644098e-07  2.03522078e-05 
 6.16527773e+01  2.04793205e-07  2.01698510e-05 
 6.30744737e+01  2.02972917e-07  1.99905055e-05 
 6.45289540e+01  2.01182750e-07  1.98141237e-05 
 6.60169743e+01  1.99422230e-07  1.96406588e-05 
 6.75393078e+01  1.97690893e-07  1.94700652e-05 
 6.90967460e+01  1.95988283e-07  1.93022977e-05 
 7.06900983e+01  1.94313954e-07  1.91373122e-05 
 7.23201929e+01  1.92667465e-07  1.89750655e-05 
 7.39878770e+01  1.91048385e-07  1.88155149e-05 
 7.56940175e+01  1.89456292e-07  1.86586186e-05 
 7.74395011e+01  1.87890771e-07  1.85043357e-05 
 7.92252350e+01  1.86351412e-07  1.83526258e-05 
 8.10521476e+01  1.84837815e-07  1.82034492e-05 
 8.29211882e+01  1.83349585e-07  1.80567671e-05 
 8.48333284e+01  1.81886337e-07  1.79125411e-05 
 8.67895620e+01  1.80447689e-07  1.77707337e-05 
 8.87909059e+01  1.79033267e-07  1.76313078e-05 
 9.08384002e+01  1.77642703e-07  1.74942270e-05 
 9.29331091e+01  1.76275637e-07  1.73594555e-05 
 9.50761215e+01  1.74931711e-07  1.72269582e-05 
 9.72685512e+01  1.73610576e-07  1.70967002e-05 
 9.95115377e+01  1.72311888e-07  1.69686476e-05 
 1.01806247e+02  1.71035308e-07  1.68427668e-05 
 1.04153871e+02  1.69780503e-07  1.67190246e-05 
 1.06555632e+02  1.68547144e-07  1.65973884e-05 
 1.09012776e+02  1.67334908e-07  1.64778263e-05 
 1.11526581e+02  1.66143477e-07  1.63603065e-05 
 1.14098354e+02  1.64972538e-07  1.62447980e-05 
 1.16729431e+02  1.63821781e-07  1.61312701e-05 
 1.19421180e+02  1.62690903e-07  1.60196925e-05 
 1.22175000e+02  1.61579605e-07  1.59100353e-05 
 1.24992323e+02  1.60487590e-07  1.58022692e-05 
 1.27874612e+02  1.59414568e-07  1.56963652e-05 
 1.30823366e+02  1.58360253e-07  1.55922946e-05 
 1.33840117e+02  1.57324361e-07  1.54900292e-05 
 1.36926434e+02  1.56306614e-07  1.53895412e-05 
 1.40083921e+02  1.55306737e-07  1.52908031e-05 
 1.43314218e+02  1.54324459e-07  1.51937878e-05 
 1.46619005e+02  1.53359513e-07  1.50984684e-05 
 1.50000000e+02  1.52411635e-07  1.50048185e-05 
 1.53458959e+02  1.51480565e-07  1.49128120e-05 
 1.56997682e+02  1.50566047e-07  1.48224232e-05 
 1.60618006e+02  1.49667827e-07  1.47336265e-05 
 1.64321814e+02  1.48785657e-07  1.46463968e-05 
 1.68111030e+02  1.47919288e-07  1.45607092e-05 
 1.71987625e+02  1.47068478e-07  1.44765391e-05 
 1.75953613e+02  1.46232988e-07  1.43938623e-05 
 1.80011056e+02  1.45412580e-07  1.43126546e-05 
 1.84162062e+02  1.44607020e-07  1.42328925e-05 
 1.88408790e+02  1.43816078e-07  1.41545523e-05 
 1.92753446e+02  1.43039526e-07  1.40776110e-05 
 1.97198288e+02  1.42277139e-07  1.40020454e-05 
 2.01745627e+02  1.41528695e-07  1.39278329e-05 
 2.06397827e+02  1.40793974e-07  1.38549510e-05 
 2.11157305e+02  1.40072760e-07  1.37833775e-05 
 2.16026535e+02  1.39364841e-07  1.37130903e-05 
 2.21008049e+02  1.38670003e-07  1.36440677e-05 
 2.26104435e+02  1.37988041e-07  1.35762880e-05 
 2.31318342e+02  1.37318747e-07  1.35097300e-05 
 2.36652481e+02  1.36661918e-07  1.34443723e-05 
 2.42109623e+02  1.36017355e-07  1.33801942e-05 
 2.47692605e+02  1.35384860e-07  1.33171748e-05 
 2.53404330e+02  1.34764236e-07  1.32552935e-05 
 2.59247765e+02  1.34155291e-07  1.31945301e-05 
 2.65225949e+02  1.33557835e-07  1.31348641e-05 
 2.71341987e+02  1.32971679e-07  1.30762757e-05 
 2.77599060e+02  1.32396638e-07  1.30187450e-05 
 2.84000420e+02  1.31832529e-07  1.29622522e-05 
 2.90549393e+02  1.31279170e-07  1.29067778e-05 
 2.97249383e+02  1.30736383e-07  1.28523024e-05 
 3.04103874e+02  1.30203992e-07  1.27988068e-05 
 3.11116427e+02  1.29681823e-07  1.27462719e-05 
 3.18290688e+02  1.29169704e-07  1.26946786e-05 
 3.25630385e+02  1.28667465e-07  1.26440082e-05 
 3.33139333e+02  1.28174939e-07  1.25942420e-05 
 3.40821437e+02  1.27691962e-07  1.25453613e-05 
 3.48680687e+02  1.27218370e-07  1.24973477e-05 
 3.56721169e+02  1.26754003e-07  1.24501827e-05 
 3.64947063e+02  1.26298701e-07  1.24038481e-05 
 3.73362644e+02  1.25852309e-07  1.23583257e-05 
 3.81972285e+02  1.25414673e-07  1.23135974e-05 
 3.90780463e+02  1.24985639e-07  1.22696451e-05 
 3.99791755e+02  1.24565059e-07  1.22264509e-05 
 4.09010845e+02  1.24152783e-07  1.21839969e-05 
 4.18442524e+02  1.23748666e-07  1.21422652e-05 
