 time            v(Vcmfb)        v(Voutp)        v(Voutn)       
 2.38750287e-05  8.30184819e-01  6.00000000e-01  8.00000000e-01 
 2.38750380e-05  8.30192848e-01  6.00000000e-01  8.00000000e-01 
 2.38750565e-05  8.30204361e-01  6.00000000e-01  8.00000000e-01 
 2.38750904e-05  8.30217811e-01  6.00000000e-01  8.00000000e-01 
 2.38751323e-05  8.30222369e-01  6.00000000e-01  8.00000000e-01 
 2.38751765e-05  8.30219727e-01  6.00000000e-01  8.00000000e-01 
 2.38752480e-05  8.30215166e-01  6.00000000e-01  8.00000000e-01 
 2.38753223e-05  8.30212636e-01  6.00000000e-01  8.00000000e-01 
 2.38754470e-05  8.30211871e-01  6.00000000e-01  8.00000000e-01 
 2.38755764e-05  8.30211854e-01  6.00000000e-01  8.00000000e-01 
 2.38758353e-05  8.30211921e-01  6.00000000e-01  8.00000000e-01 
 2.38763532e-05  8.30211852e-01  6.00000000e-01  8.00000000e-01 
 2.38773888e-05  8.30211921e-01  6.00000000e-01  8.00000000e-01 
 2.38794601e-05  8.30211852e-01  6.00000000e-01  8.00000000e-01 
 2.38836027e-05  8.30211922e-01  6.00000000e-01  8.00000000e-01 
 2.38918879e-05  8.30211852e-01  6.00000000e-01  8.00000000e-01 
 2.39084582e-05  8.30211923e-01  6.00000000e-01  8.00000000e-01 
 2.39415989e-05  8.30211854e-01  6.00000000e-01  8.00000000e-01 
 2.40000000e-05  8.30211926e-01  6.00000000e-01  8.00000000e-01 
 2.40000010e-05  8.30328414e-01  6.00000000e-01  8.00000000e-01 
 2.40000030e-05  8.30577135e-01  6.00000000e-01  8.00000000e-01 
 2.40000070e-05  8.31086190e-01  6.00000000e-01  8.00000000e-01 
 2.40000100e-05  8.31963646e-01  6.00000000e-01  8.00000000e-01 
 2.40000107e-05  8.32012907e-01  6.00000000e-01  8.00000000e-01 
 2.40000120e-05  8.32041909e-01  6.00000000e-01  8.00000000e-01 
 2.40000146e-05  8.32063947e-01  6.00000000e-01  8.00000000e-01 
 2.40000182e-05  8.32101209e-01  6.00000000e-01  8.00000000e-01 
 2.40000255e-05  8.32108918e-01  6.00000000e-01  8.00000000e-01 
 2.40000376e-05  8.32103291e-01  6.00000000e-01  8.00000000e-01 
 2.40000502e-05  8.31910635e-01  6.00000000e-01  8.00000000e-01 
 2.40000754e-05  8.30941971e-01  6.00000000e-01  8.00000000e-01 
 2.40001005e-05  8.29941142e-01  6.00000000e-01  8.00000000e-01 
 2.40001385e-05  8.28756868e-01  6.00000000e-01  8.00000000e-01 
 2.40001889e-05  8.27540515e-01  6.00000000e-01  8.00000000e-01 
 2.40002880e-05  8.25697212e-01  6.00000000e-01  8.00000000e-01 
 2.40004451e-05  8.23540748e-01  6.00000000e-01  8.00000000e-01 
 2.40007468e-05  8.20990522e-01  6.00000000e-01  8.00000000e-01 
 2.40010589e-05  8.19624045e-01  6.00000000e-01  8.00000000e-01 
 2.40016097e-05  8.18559575e-01  6.00000000e-01  8.00000000e-01 
 2.40023441e-05  8.18169817e-01  6.00000000e-01  8.00000000e-01 
 2.40035301e-05  8.18094245e-01  6.00000000e-01  8.00000000e-01 
 2.40050109e-05  8.18093333e-01  6.00000000e-01  8.00000000e-01 
 2.40079724e-05  8.18098864e-01  6.00000000e-01  8.00000000e-01 
 2.40138954e-05  8.18092775e-01  6.00000000e-01  8.00000000e-01 
 2.40257415e-05  8.18099064e-01  6.00000000e-01  8.00000000e-01 
