 v-sweep         v(vinp)         v(voutp)       
 1.44000000e-01  1.44000000e-01  2.18172241e-01 
 1.45000000e-01  1.45000000e-01  2.18193886e-01 
 1.46000000e-01  1.46000000e-01  2.18237115e-01 
 1.47000000e-01  1.47000000e-01  2.18268040e-01 
 1.48000000e-01  1.48000000e-01  2.18289938e-01 
 1.49000000e-01  1.49000000e-01  2.18330929e-01 
 1.50000000e-01  1.50000000e-01  2.18399162e-01 
 1.51000000e-01  1.51000000e-01  2.18413885e-01 
 1.52000000e-01  1.52000000e-01  2.18482082e-01 
 1.53000000e-01  1.53000000e-01  2.18507617e-01 
 1.54000000e-01  1.54000000e-01  2.18540973e-01 
 1.55000000e-01  1.55000000e-01  2.18578802e-01 
 1.56000000e-01  1.56000000e-01  2.18637131e-01 
 1.57000000e-01  1.57000000e-01  2.18658357e-01 
 1.58000000e-01  1.58000000e-01  2.18702774e-01 
 1.59000000e-01  1.59000000e-01  2.18792779e-01 
 1.60000000e-01  1.60000000e-01  2.18828970e-01 
 1.61000000e-01  1.61000000e-01  2.18896349e-01 
 1.62000000e-01  1.62000000e-01  2.18906011e-01 
 1.63000000e-01  1.63000000e-01  2.18953790e-01 
 1.64000000e-01  1.64000000e-01  2.19041807e-01 
 1.65000000e-01  1.65000000e-01  2.19129196e-01 
 1.66000000e-01  1.66000000e-01  2.19179578e-01 
 1.67000000e-01  1.67000000e-01  2.19227835e-01 
 1.68000000e-01  1.68000000e-01  2.19233759e-01 
 1.69000000e-01  1.69000000e-01  2.19358964e-01 
 1.70000000e-01  1.70000000e-01  2.19426170e-01 
 1.71000000e-01  1.71000000e-01  2.19446668e-01 
 1.72000000e-01  1.72000000e-01  2.19559477e-01 
 1.73000000e-01  1.73000000e-01  2.19597927e-01 
 1.74000000e-01  1.74000000e-01  2.19688879e-01 
 1.75000000e-01  1.75000000e-01  2.19768870e-01 
 1.76000000e-01  1.76000000e-01  2.19812221e-01 
 1.77000000e-01  1.77000000e-01  2.19900658e-01 
 1.78000000e-01  1.78000000e-01  2.19988394e-01 
 1.79000000e-01  1.79000000e-01  2.20064067e-01 
 1.80000000e-01  1.80000000e-01  2.20124344e-01 
 1.81000000e-01  1.81000000e-01  2.20229050e-01 
 1.82000000e-01  1.82000000e-01  2.20307602e-01 
 1.83000000e-01  1.83000000e-01  2.20402882e-01 
 1.84000000e-01  1.84000000e-01  2.20474400e-01 
 1.85000000e-01  1.85000000e-01  2.20583324e-01 
 1.86000000e-01  1.86000000e-01  2.20673622e-01 
 1.87000000e-01  1.87000000e-01  2.20827946e-01 
 1.88000000e-01  1.88000000e-01  2.20894566e-01 
 1.89000000e-01  1.89000000e-01  2.20972739e-01 
 1.90000000e-01  1.90000000e-01  2.21090056e-01 
 1.91000000e-01  1.91000000e-01  2.21194061e-01 
 1.92000000e-01  1.92000000e-01  2.21353322e-01 
 1.93000000e-01  1.93000000e-01  2.21463403e-01 
 1.94000000e-01  1.94000000e-01  2.21565724e-01 
 1.95000000e-01  1.95000000e-01  2.21656583e-01 
 1.96000000e-01  1.96000000e-01  2.21783269e-01 
 1.97000000e-01  1.97000000e-01  2.21917027e-01 
 1.98000000e-01  1.98000000e-01  2.22036829e-01 
 1.99000000e-01  1.99000000e-01  2.22163811e-01 
 2.00000000e-01  2.00000000e-01  2.22256510e-01 
 2.01000000e-01  2.01000000e-01  2.22420230e-01 
 2.02000000e-01  2.02000000e-01  2.22561014e-01 
 2.03000000e-01  2.03000000e-01  2.22704503e-01 
 2.04000000e-01  2.04000000e-01  2.22863225e-01 
 2.05000000e-01  2.05000000e-01  2.23001404e-01 
 2.06000000e-01  2.06000000e-01  2.23141836e-01 
 2.07000000e-01  2.07000000e-01  2.23272740e-01 
 2.08000000e-01  2.08000000e-01  2.23457690e-01 
 2.09000000e-01  2.09000000e-01  2.23596944e-01 
 2.10000000e-01  2.10000000e-01  2.23761046e-01 
 2.11000000e-01  2.11000000e-01  2.23974504e-01 
 2.12000000e-01  2.12000000e-01  2.24091534e-01 
 2.13000000e-01  2.13000000e-01  2.24270368e-01 
 2.14000000e-01  2.14000000e-01  2.24484676e-01 
 2.15000000e-01  2.15000000e-01  2.24648846e-01 
 2.16000000e-01  2.16000000e-01  2.24844954e-01 
 2.17000000e-01  2.17000000e-01  2.25000205e-01 
 2.18000000e-01  2.18000000e-01  2.25202714e-01 
 2.19000000e-01  2.19000000e-01  2.25421028e-01 
 2.20000000e-01  2.20000000e-01  2.25611598e-01 
 2.21000000e-01  2.21000000e-01  2.25817809e-01 
 2.22000000e-01  2.22000000e-01  2.26030358e-01 
 2.23000000e-01  2.23000000e-01  2.26248593e-01 
 2.24000000e-01  2.24000000e-01  2.26462719e-01 
 2.25000000e-01  2.25000000e-01  2.26692185e-01 
 2.26000000e-01  2.26000000e-01  2.26926180e-01 
 2.27000000e-01  2.27000000e-01  2.27120889e-01 
 2.28000000e-01  2.28000000e-01  2.27372102e-01 
 2.29000000e-01  2.29000000e-01  2.27633434e-01 
 2.30000000e-01  2.30000000e-01  2.27881377e-01 
 2.31000000e-01  2.31000000e-01  2.28102193e-01 
 2.32000000e-01  2.32000000e-01  2.28377657e-01 
 2.33000000e-01  2.33000000e-01  2.28616116e-01 
 2.34000000e-01  2.34000000e-01  2.28906737e-01 
 2.35000000e-01  2.35000000e-01  2.29170992e-01 
 2.36000000e-01  2.36000000e-01  2.29464394e-01 
 2.37000000e-01  2.37000000e-01  2.29712681e-01 
 2.38000000e-01  2.38000000e-01  2.30034132e-01 
 2.39000000e-01  2.39000000e-01  2.30293928e-01 
 2.40000000e-01  2.40000000e-01  2.30605239e-01 
