 v-sweep         v(vinp)         v(voutp)       
 1.76000000e-01  1.76000000e-01  3.82460900e-02 
 1.77000000e-01  1.77000000e-01  3.83491868e-02 
 1.78000000e-01  1.78000000e-01  3.84557769e-02 
 1.79000000e-01  1.79000000e-01  3.85641263e-02 
 1.80000000e-01  1.80000000e-01  3.86753224e-02 
 1.81000000e-01  1.81000000e-01  3.87892193e-02 
 1.82000000e-01  1.82000000e-01  3.89067015e-02 
 1.83000000e-01  1.83000000e-01  3.90254685e-02 
 1.84000000e-01  1.84000000e-01  3.91478948e-02 
 1.85000000e-01  1.85000000e-01  3.92738629e-02 
 1.86000000e-01  1.86000000e-01  3.94016453e-02 
 1.87000000e-01  1.87000000e-01  3.95324893e-02 
 1.88000000e-01  1.88000000e-01  3.96666226e-02 
 1.89000000e-01  1.89000000e-01  3.98047312e-02 
 1.90000000e-01  1.90000000e-01  3.99446719e-02 
 1.91000000e-01  1.91000000e-01  4.00884169e-02 
 1.92000000e-01  1.92000000e-01  4.02346757e-02 
 1.93000000e-01  1.93000000e-01  4.03858445e-02 
 1.94000000e-01  1.94000000e-01  4.05387809e-02 
 1.95000000e-01  1.95000000e-01  4.06966411e-02 
 1.96000000e-01  1.96000000e-01  4.08559294e-02 
 1.97000000e-01  1.97000000e-01  4.10208142e-02 
 1.98000000e-01  1.98000000e-01  4.11884653e-02 
 1.99000000e-01  1.99000000e-01  4.13594736e-02 
 2.00000000e-01  2.00000000e-01  4.15358554e-02 
 2.01000000e-01  2.01000000e-01  4.17138610e-02 
 2.02000000e-01  2.02000000e-01  4.18964916e-02 
 2.03000000e-01  2.03000000e-01  4.20838650e-02 
 2.04000000e-01  2.04000000e-01  4.22745049e-02 
 2.05000000e-01  2.05000000e-01  4.24686648e-02 
 2.06000000e-01  2.06000000e-01  4.26677667e-02 
 2.07000000e-01  2.07000000e-01  4.28708659e-02 
 2.08000000e-01  2.08000000e-01  4.30789594e-02 
 2.09000000e-01  2.09000000e-01  4.32901665e-02 
 2.10000000e-01  2.10000000e-01  4.35064018e-02 
 2.11000000e-01  2.11000000e-01  4.37266558e-02 
 2.12000000e-01  2.12000000e-01  4.39515755e-02 
 2.13000000e-01  2.13000000e-01  4.41819245e-02 
 2.14000000e-01  2.14000000e-01  4.44159291e-02 
 2.15000000e-01  2.15000000e-01  4.46548566e-02 
 2.16000000e-01  2.16000000e-01  4.48998181e-02 
 2.17000000e-01  2.17000000e-01  4.51482147e-02 
 2.18000000e-01  2.18000000e-01  4.54021562e-02 
 2.19000000e-01  2.19000000e-01  4.56606463e-02 
 2.20000000e-01  2.20000000e-01  4.59247673e-02 
 2.21000000e-01  2.21000000e-01  4.61946658e-02 
 2.22000000e-01  2.22000000e-01  4.64690588e-02 
 2.23000000e-01  2.23000000e-01  4.67500678e-02 
 2.24000000e-01  2.24000000e-01  4.70352088e-02 
 2.25000000e-01  2.25000000e-01  4.73264106e-02 
 2.26000000e-01  2.26000000e-01  4.76228367e-02 
 2.27000000e-01  2.27000000e-01  4.79263567e-02 
 2.28000000e-01  2.28000000e-01  4.82348580e-02 
 2.29000000e-01  2.29000000e-01  4.85490275e-02 
 2.30000000e-01  2.30000000e-01  4.88702369e-02 
 2.31000000e-01  2.31000000e-01  4.91966453e-02 
 2.32000000e-01  2.32000000e-01  4.95296917e-02 
 2.33000000e-01  2.33000000e-01  4.98695078e-02 
 2.34000000e-01  2.34000000e-01  5.02150891e-02 
 2.35000000e-01  2.35000000e-01  5.05678077e-02 
 2.36000000e-01  2.36000000e-01  5.09268815e-02 
 2.37000000e-01  2.37000000e-01  5.12933812e-02 
 2.38000000e-01  2.38000000e-01  5.16660631e-02 
 2.39000000e-01  2.39000000e-01  5.20471809e-02 
 2.40000000e-01  2.40000000e-01  5.24336389e-02 
 2.41000000e-01  2.41000000e-01  5.28288649e-02 
 2.42000000e-01  2.42000000e-01  5.32311754e-02 
 2.43000000e-01  2.43000000e-01  5.36405153e-02 
 2.44000000e-01  2.44000000e-01  5.40587968e-02 
 2.45000000e-01  2.45000000e-01  5.44835512e-02 
 2.46000000e-01  2.46000000e-01  5.49169724e-02 
 2.47000000e-01  2.47000000e-01  5.53591314e-02 
 2.48000000e-01  2.48000000e-01  5.58090675e-02 
 2.49000000e-01  2.49000000e-01  5.62677787e-02 
 2.50000000e-01  2.50000000e-01  5.67352544e-02 
 2.51000000e-01  2.51000000e-01  5.72115797e-02 
 2.52000000e-01  2.52000000e-01  5.76962561e-02 
 2.53000000e-01  2.53000000e-01  5.81917508e-02 
 2.54000000e-01  2.54000000e-01  5.86946073e-02 
 2.55000000e-01  2.55000000e-01  5.92081899e-02 
 2.56000000e-01  2.56000000e-01  5.97319576e-02 
 2.57000000e-01  2.57000000e-01  6.02646728e-02 
 2.58000000e-01  2.58000000e-01  6.08090602e-02 
 2.59000000e-01  2.59000000e-01  6.13622372e-02 
 2.60000000e-01  2.60000000e-01  6.19286723e-02 
 2.61000000e-01  2.61000000e-01  6.25032641e-02 
 2.62000000e-01  2.62000000e-01  6.30915039e-02 
 2.63000000e-01  2.63000000e-01  6.36901587e-02 
 2.64000000e-01  2.64000000e-01  6.43003080e-02 
 2.65000000e-01  2.65000000e-01  6.49233204e-02 
 2.66000000e-01  2.66000000e-01  6.55583671e-02 
 2.67000000e-01  2.67000000e-01  6.62057900e-02 
 2.68000000e-01  2.68000000e-01  6.68662829e-02 
 2.69000000e-01  2.69000000e-01  6.75402169e-02 
 2.70000000e-01  2.70000000e-01  6.82294821e-02 
 2.71000000e-01  2.71000000e-01  6.89306981e-02 
 2.72000000e-01  2.72000000e-01  6.96480901e-02 
 2.73000000e-01  2.73000000e-01  7.03798775e-02 
 2.74000000e-01  2.74000000e-01  7.11274069e-02 
 2.75000000e-01  2.75000000e-01  7.18900992e-02 
 2.76000000e-01  2.76000000e-01  7.26690844e-02 
 2.77000000e-01  2.77000000e-01  7.34662408e-02 
 2.78000000e-01  2.78000000e-01  7.42792548e-02 
 2.79000000e-01  2.79000000e-01  7.51115403e-02 
 2.80000000e-01  2.80000000e-01  7.59624256e-02 
 2.81000000e-01  2.81000000e-01  7.68315784e-02 
 2.82000000e-01  2.82000000e-01  7.77214799e-02 
 2.83000000e-01  2.83000000e-01  7.86325691e-02 
 2.84000000e-01  2.84000000e-01  7.95638211e-02 
 2.85000000e-01  2.85000000e-01  8.05189047e-02 
 2.86000000e-01  2.86000000e-01  8.14961009e-02 
 2.87000000e-01  2.87000000e-01  8.24978337e-02 
 2.88000000e-01  2.88000000e-01  8.35242241e-02 
 2.89000000e-01  2.89000000e-01  8.45766883e-02 
 2.90000000e-01  2.90000000e-01  8.56576741e-02 
 2.91000000e-01  2.91000000e-01  8.67670199e-02 
 2.92000000e-01  2.92000000e-01  8.79052979e-02 
 2.93000000e-01  2.93000000e-01  8.90747410e-02 
 2.94000000e-01  2.94000000e-01  9.02798736e-02 
 2.95000000e-01  2.95000000e-01  9.15154726e-02 
 2.96000000e-01  2.96000000e-01  9.27913337e-02 
 2.97000000e-01  2.97000000e-01  9.41034721e-02 
 2.98000000e-01  2.98000000e-01  9.54568853e-02 
 2.99000000e-01  2.99000000e-01  9.68537768e-02 
 3.00000000e-01  3.00000000e-01  9.82962135e-02 
 3.01000000e-01  3.01000000e-01  9.97878048e-02 
 3.02000000e-01  3.02000000e-01  1.01330430e-01 
 3.03000000e-01  3.03000000e-01  1.02929800e-01 
 3.04000000e-01  3.04000000e-01  1.04587558e-01 
 3.05000000e-01  3.05000000e-01  1.06310969e-01 
 3.06000000e-01  3.06000000e-01  1.08103333e-01 
 3.07000000e-01  3.07000000e-01  1.09968988e-01 
 3.08000000e-01  3.08000000e-01  1.11918722e-01 
 3.09000000e-01  3.09000000e-01  1.13955971e-01 
 3.10000000e-01  3.10000000e-01  1.16089312e-01 
 3.11000000e-01  3.11000000e-01  1.18333540e-01 
 3.12000000e-01  3.12000000e-01  1.20694586e-01 
 3.13000000e-01  3.13000000e-01  1.23190577e-01 
 3.14000000e-01  3.14000000e-01  1.25836213e-01 
 3.15000000e-01  3.15000000e-01  1.28649601e-01 
 3.16000000e-01  3.16000000e-01  1.31657939e-01 
 3.17000000e-01  3.17000000e-01  1.34885354e-01 
 3.18000000e-01  3.18000000e-01  1.38520221e-01 
 3.19000000e-01  3.19000000e-01  1.42343076e-01 
 3.20000000e-01  3.20000000e-01  1.46537139e-01 
 3.21000000e-01  3.21000000e-01  1.51185566e-01 
 3.22000000e-01  3.22000000e-01  1.56396515e-01 
 3.23000000e-01  3.23000000e-01  1.62317873e-01 
 3.24000000e-01  3.24000000e-01  1.69167922e-01 
 3.25000000e-01  3.25000000e-01  1.77264559e-01 
 3.26000000e-01  3.26000000e-01  1.87091324e-01 
 3.27000000e-01  3.27000000e-01  1.99471250e-01 
 3.28000000e-01  3.28000000e-01  2.15466998e-01 
 3.29000000e-01  3.29000000e-01  2.35155392e-01 
 3.30000000e-01  3.30000000e-01  2.56900656e-01 
 3.31000000e-01  3.31000000e-01  2.80076643e-01 
 3.32000000e-01  3.32000000e-01  3.05115535e-01 
 3.33000000e-01  3.33000000e-01  3.33128424e-01 
 3.34000000e-01  3.34000000e-01  3.64143833e-01 
 3.35000000e-01  3.35000000e-01  3.96531687e-01 
 3.36000000e-01  3.36000000e-01  4.29310749e-01 
 3.37000000e-01  3.37000000e-01  4.63050905e-01 
 3.38000000e-01  3.38000000e-01  4.97297203e-01 
 3.39000000e-01  3.39000000e-01  5.32034927e-01 
 3.40000000e-01  3.40000000e-01  5.67251016e-01 
 3.41000000e-01  3.41000000e-01  6.02894388e-01 
 3.42000000e-01  3.42000000e-01  6.38979695e-01 
 3.43000000e-01  3.43000000e-01  6.75469336e-01 
 3.44000000e-01  3.44000000e-01  7.12328032e-01 
 3.45000000e-01  3.45000000e-01  7.49547477e-01 
 3.46000000e-01  3.46000000e-01  7.87102950e-01 
 3.47000000e-01  3.47000000e-01  8.24963451e-01 
 3.48000000e-01  3.48000000e-01  8.63107660e-01 
 3.49000000e-01  3.49000000e-01  9.01483888e-01 
 3.50000000e-01  3.50000000e-01  9.40111154e-01 
 3.51000000e-01  3.51000000e-01  9.78901030e-01 
 3.52000000e-01  3.52000000e-01  1.01784896e+00 
 3.53000000e-01  3.53000000e-01  1.05688478e+00 
 3.54000000e-01  3.54000000e-01  1.09600262e+00 
 3.55000000e-01  3.55000000e-01  1.13506995e+00 
 3.56000000e-01  3.56000000e-01  1.17382235e+00 
 3.57000000e-01  3.57000000e-01  1.21169147e+00 
 3.58000000e-01  3.58000000e-01  1.24502329e+00 
 3.59000000e-01  3.59000000e-01  1.26888982e+00 
 3.60000000e-01  3.60000000e-01  1.28515846e+00 
 3.61000000e-01  3.61000000e-01  1.29670947e+00 
 3.62000000e-01  3.62000000e-01  1.30567478e+00 
 3.63000000e-01  3.63000000e-01  1.31299259e+00 
 3.64000000e-01  3.64000000e-01  1.31917075e+00 
 3.65000000e-01  3.65000000e-01  1.32452767e+00 
 3.66000000e-01  3.66000000e-01  1.32925461e+00 
 3.67000000e-01  3.67000000e-01  1.33349210e+00 
 3.68000000e-01  3.68000000e-01  1.33733220e+00 
 3.69000000e-01  3.69000000e-01  1.34084123e+00 
 3.70000000e-01  3.70000000e-01  1.34420954e+00 
 3.71000000e-01  3.71000000e-01  1.34718274e+00 
 3.72000000e-01  3.72000000e-01  1.34996710e+00 
 3.73000000e-01  3.73000000e-01  1.35257925e+00 
 3.74000000e-01  3.74000000e-01  1.35503394e+00 
 3.75000000e-01  3.75000000e-01  1.35735396e+00 
 3.76000000e-01  3.76000000e-01  1.35955015e+00 
 3.77000000e-01  3.77000000e-01  1.36163673e+00 
 3.78000000e-01  3.78000000e-01  1.36362459e+00 
 3.79000000e-01  3.79000000e-01  1.36551875e+00 
 3.80000000e-01  3.80000000e-01  1.36733276e+00 
 3.81000000e-01  3.81000000e-01  1.36906897e+00 
 3.82000000e-01  3.82000000e-01  1.37073469e+00 
 3.83000000e-01  3.83000000e-01  1.37233602e+00 
 3.84000000e-01  3.84000000e-01  1.37387668e+00 
 3.85000000e-01  3.85000000e-01  1.37536199e+00 
 3.86000000e-01  3.86000000e-01  1.37679385e+00 
 3.87000000e-01  3.87000000e-01  1.37817699e+00 
 3.88000000e-01  3.88000000e-01  1.37951578e+00 
 3.89000000e-01  3.89000000e-01  1.38081017e+00 
 3.90000000e-01  3.90000000e-01  1.38206442e+00 
 3.91000000e-01  3.91000000e-01  1.38328070e+00 
 3.92000000e-01  3.92000000e-01  1.38446051e+00 
 3.93000000e-01  3.93000000e-01  1.38560519e+00 
 3.94000000e-01  3.94000000e-01  1.38671987e+00 
 3.95000000e-01  3.95000000e-01  1.38780185e+00 
 3.96000000e-01  3.96000000e-01  1.38885586e+00 
 3.97000000e-01  3.97000000e-01  1.38988089e+00 
 3.98000000e-01  3.98000000e-01  1.39088052e+00 
 3.99000000e-01  3.99000000e-01  1.39185499e+00 
 4.00000000e-01  4.00000000e-01  1.39280489e+00 
 4.01000000e-01  4.01000000e-01  1.39373165e+00 
 4.02000000e-01  4.02000000e-01  1.39463704e+00 
 4.03000000e-01  4.03000000e-01  1.39552092e+00 
 4.04000000e-01  4.04000000e-01  1.39638430e+00 
 4.05000000e-01  4.05000000e-01  1.39722833e+00 
 4.06000000e-01  4.06000000e-01  1.39805374e+00 
 4.07000000e-01  4.07000000e-01  1.39886254e+00 
 4.08000000e-01  4.08000000e-01  1.39965153e+00 
 4.09000000e-01  4.09000000e-01  1.40042712e+00 
 4.10000000e-01  4.10000000e-01  1.40118368e+00 
 4.11000000e-01  4.11000000e-01  1.40192687e+00 
 4.12000000e-01  4.12000000e-01  1.40265439e+00 
 4.13000000e-01  4.13000000e-01  1.40336745e+00 
 4.14000000e-01  4.14000000e-01  1.40406734e+00 
 4.15000000e-01  4.15000000e-01  1.40475337e+00 
 4.16000000e-01  4.16000000e-01  1.40542685e+00 
 4.17000000e-01  4.17000000e-01  1.40608689e+00 
 4.18000000e-01  4.18000000e-01  1.40673589e+00 
 4.19000000e-01  4.19000000e-01  1.40737269e+00 
 4.20000000e-01  4.20000000e-01  1.40799830e+00 
 4.21000000e-01  4.21000000e-01  1.40861249e+00 
 4.22000000e-01  4.22000000e-01  1.40921635e+00 
 4.23000000e-01  4.23000000e-01  1.40980938e+00 
 4.24000000e-01  4.24000000e-01  1.41039319e+00 
 4.25000000e-01  4.25000000e-01  1.41096664e+00 
 4.26000000e-01  4.26000000e-01  1.41153111e+00 
 4.27000000e-01  4.27000000e-01  1.41208560e+00 
 4.28000000e-01  4.28000000e-01  1.41263168e+00 
 4.29000000e-01  4.29000000e-01  1.41316894e+00 
 4.30000000e-01  4.30000000e-01  1.41369754e+00 
 4.31000000e-01  4.31000000e-01  1.41421760e+00 
 4.32000000e-01  4.32000000e-01  1.41473070e+00 
 4.33000000e-01  4.33000000e-01  1.41523473e+00 
 4.34000000e-01  4.34000000e-01  1.41573202e+00 
 4.35000000e-01  4.35000000e-01  1.41622113e+00 
 4.36000000e-01  4.36000000e-01  1.41670378e+00 
 4.37000000e-01  4.37000000e-01  1.41717870e+00 
 4.38000000e-01  4.38000000e-01  1.41764722e+00 
 4.39000000e-01  4.39000000e-01  1.41810857e+00 
 4.40000000e-01  4.40000000e-01  1.41856384e+00 
 4.41000000e-01  4.41000000e-01  1.41901233e+00 
 4.42000000e-01  4.42000000e-01  1.41945455e+00 
 4.43000000e-01  4.43000000e-01  1.41989101e+00 
 4.44000000e-01  4.44000000e-01  1.42032093e+00 
 4.45000000e-01  4.45000000e-01  1.42074552e+00 
 4.46000000e-01  4.46000000e-01  1.42116435e+00 
 4.47000000e-01  4.47000000e-01  1.42157753e+00 
 4.48000000e-01  4.48000000e-01  1.42198507e+00 
 4.49000000e-01  4.49000000e-01  1.42238774e+00 
 4.50000000e-01  4.50000000e-01  1.42278444e+00 
 4.51000000e-01  4.51000000e-01  1.42317666e+00 
 4.52000000e-01  4.52000000e-01  1.42356351e+00 
 4.53000000e-01  4.53000000e-01  1.42394608e+00 
 4.54000000e-01  4.54000000e-01  1.42432334e+00 
 4.55000000e-01  4.55000000e-01  1.42469593e+00 
 4.56000000e-01  4.56000000e-01  1.42506378e+00 
