 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 1.50840000e-03  4.06053985e-03  1.79090904e-01  3.47030270e-01  3.42969730e-01  8.38801129e-01  6.59710225e-01 
 1.53840000e-03  4.11480950e-03  1.81786756e-01  3.47057405e-01  3.42942595e-01  8.40153349e-01  6.58366593e-01 
 1.56840000e-03  4.16761719e-03  1.84417914e-01  3.47083809e-01  3.42916191e-01  8.41471882e-01  6.57053968e-01 
 1.59840000e-03  4.21894414e-03  1.86983421e-01  3.47109472e-01  3.42890528e-01  8.42755692e-01  6.55772272e-01 
 1.62840000e-03  4.26877211e-03  1.89482373e-01  3.47134386e-01  3.42865614e-01  8.44006325e-01  6.54523953e-01 
 1.65840000e-03  4.31708342e-03  1.91913922e-01  3.47158542e-01  3.42841458e-01  8.45224764e-01  6.53310842e-01 
 1.68840000e-03  4.36386088e-03  1.94277240e-01  3.47181930e-01  3.42818070e-01  8.46409629e-01  6.52132389e-01 
 1.71840000e-03  4.40908789e-03  1.96571491e-01  3.47204544e-01  3.42795456e-01  8.47559152e-01  6.50987661e-01 
 1.74840000e-03  4.45274836e-03  1.98795843e-01  3.47226374e-01  3.42773626e-01  8.48672621e-01  6.49876777e-01 
 1.77840000e-03  4.49482680e-03  2.00949505e-01  3.47247413e-01  3.42752587e-01  8.49750712e-01  6.48801207e-01 
 1.80840000e-03  4.53530825e-03  2.03031740e-01  3.47267654e-01  3.42732346e-01  8.50793646e-01  6.47761906e-01 
 1.83840000e-03  4.57417832e-03  2.05041836e-01  3.47287089e-01  3.42712911e-01  8.51800357e-01  6.46758521e-01 
 1.86840000e-03  4.61142321e-03  2.06979075e-01  3.47305712e-01  3.42694288e-01  8.52770322e-01  6.45791247e-01 
 1.89840000e-03  4.64702968e-03  2.08842782e-01  3.47323515e-01  3.42676485e-01  8.53704127e-01  6.44861345e-01 
 1.92840000e-03  4.68098509e-03  2.10632316e-01  3.47340493e-01  3.42659507e-01  8.54601968e-01  6.43969652e-01 
 1.95840000e-03  4.71327736e-03  2.12347061e-01  3.47356639e-01  3.42643361e-01  8.55461848e-01  6.43114787e-01 
 1.98840000e-03  4.74389503e-03  2.13986404e-01  3.47371948e-01  3.42628052e-01  8.56281451e-01  6.42295047e-01 
 2.01840000e-03  4.77282722e-03  2.15549740e-01  3.47386414e-01  3.42613586e-01  8.57062105e-01  6.41512364e-01 
 2.04840000e-03  4.80006364e-03  2.17036538e-01  3.47400032e-01  3.42599968e-01  8.57806799e-01  6.40770260e-01 
 2.07840000e-03  4.82559462e-03  2.18446323e-01  3.47412797e-01  3.42587203e-01  8.58515833e-01  6.40069510e-01 
 2.10840000e-03  4.84941109e-03  2.19778634e-01  3.47424706e-01  3.42575294e-01  8.59186933e-01  6.39408299e-01 
 2.13840000e-03  4.87150459e-03  2.21032996e-01  3.47435752e-01  3.42564248e-01  8.59818463e-01  6.38785467e-01 
 2.16840000e-03  4.89186727e-03  2.22208945e-01  3.47445934e-01  3.42554066e-01  8.60408655e-01  6.38199710e-01 
 2.19840000e-03  4.91049189e-03  2.23306040e-01  3.47455246e-01  3.42544754e-01  8.60957436e-01  6.37651396e-01 
 2.22840000e-03  4.92737184e-03  2.24323902e-01  3.47463686e-01  3.42536314e-01  8.61467739e-01  6.37143837e-01 
 2.25840000e-03  4.94250111e-03  2.25262193e-01  3.47471251e-01  3.42528749e-01  8.61938011e-01  6.36675818e-01 
 2.28840000e-03  4.95587434e-03  2.26120579e-01  3.47477937e-01  3.42522063e-01  8.62367468e-01  6.36246889e-01 
 2.31840000e-03  4.96748676e-03  2.26898770e-01  3.47483743e-01  3.42516257e-01  8.62758165e-01  6.35859396e-01 
 2.34840000e-03  4.97733427e-03  2.27596516e-01  3.47488667e-01  3.42511333e-01  8.63109402e-01  6.35512886e-01 
 2.37840000e-03  4.98541335e-03  2.28213578e-01  3.47492707e-01  3.42507293e-01  8.63419890e-01  6.35206312e-01 
 2.40840000e-03  4.99172113e-03  2.28749728e-01  3.47495861e-01  3.42504139e-01  8.63688717e-01  6.34938989e-01 
