 time            v(clk)          v(voutp)        v(voutn)        v(vinp)         v(vinn)        
 1.27037279e-07  1.50000000e+00 -7.29457569e-02 -7.29677792e-02  7.25625186e-01  7.50000000e-01 
 1.27059582e-07  1.50000000e+00 -7.30873248e-02 -7.31311349e-02  7.25625298e-01  7.50000000e-01 
 1.27104189e-07  1.50000000e+00 -7.33431810e-02 -7.34303093e-02  7.25625521e-01  7.50000000e-01 
 1.27193402e-07  1.50000000e+00 -7.38558206e-02 -7.40295492e-02  7.25625967e-01  7.50000000e-01 
 1.27371830e-07  1.50000000e+00 -7.48811629e-02 -7.52274159e-02  7.25626859e-01  7.50000000e-01 
 1.27728684e-07  1.50000000e+00 -7.69127677e-02 -7.75911483e-02  7.25628643e-01  7.50000000e-01 
 1.28442393e-07  1.50000000e+00 -8.02908886e-02 -8.06361255e-02  7.25632212e-01  7.50000000e-01 
 1.29096157e-07  1.50000000e+00 -7.52003305e-02 -5.69124513e-02  7.25635481e-01  7.50000000e-01 
 1.29662190e-07  1.50000000e+00 -2.91076000e-02  7.80505974e-02  7.25638311e-01  7.50000000e-01 
 1.30258359e-07  1.50000000e+00  1.19038301e-01  4.70219662e-01  7.25641292e-01  7.50000000e-01 
 1.30685883e-07  1.50000000e+00  2.23362504e-02  9.10290921e-01  7.25643429e-01  7.50000000e-01 
 1.31125001e-07  1.50000000e+00  1.71995570e-03  1.39450799e+00  7.25645625e-01  7.50000000e-01 
 1.31520597e-07  1.50000000e+00 -3.46113139e-05  1.50430325e+00  7.25647603e-01  7.50000000e-01 
 1.31895939e-07  1.50000000e+00 -1.00804119e-04  1.50512908e+00  7.25649480e-01  7.50000000e-01 
 1.32387955e-07  1.50000000e+00 -4.66418713e-06  1.49989983e+00  7.25651940e-01  7.50000000e-01 
 1.32984169e-07  1.50000000e+00  2.70468903e-05  1.49909777e+00  7.25654921e-01  7.50000000e-01 
 1.34176598e-07  1.50000000e+00  3.44583532e-05  1.49930860e+00  7.25660883e-01  7.50000000e-01 
 1.36561455e-07  1.50000000e+00  3.06543559e-05  1.49956496e+00  7.25672807e-01  7.50000000e-01 
 1.38332451e-07  1.50000000e+00  2.41186361e-05  1.49981241e+00  7.25681662e-01  7.50000000e-01 
 1.39547132e-07  1.50000000e+00  2.31305354e-05  1.49991841e+00  7.25687736e-01  7.50000000e-01 
 1.40321048e-07  1.50000000e+00  2.17446092e-05  1.49995138e+00  7.25691605e-01  7.50000000e-01 
 1.41171746e-07  1.50000000e+00  1.86670827e-05  1.49997154e+00  7.25695859e-01  7.50000000e-01 
 1.41967283e-07  1.50000000e+00  1.53987961e-05  1.49998220e+00  7.25699836e-01  7.50000000e-01 
 1.42868735e-07  1.50000000e+00  1.21991953e-05  1.49998887e+00  7.25704344e-01  7.50000000e-01 
