 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 5.31550000e-04  3.27808265e-04  2.34687187e-02  7.50163904e-01  7.49836096e-01  3.58785172e-01  3.35316453e-01 
 5.41550000e-04  3.33737759e-04  2.39790613e-02  7.50166869e-01  7.49833131e-01  3.59040360e-01  3.35061299e-01 
 5.51550000e-04  3.39654077e-04  2.44886396e-02  7.50169827e-01  7.49830173e-01  3.59295267e-01  3.34806627e-01 
 5.61550000e-04  3.45556987e-04  2.49973069e-02  7.50172778e-01  7.49827222e-01  3.59549586e-01  3.34552279e-01 
 5.71550000e-04  3.51446254e-04  2.55050649e-02  7.50175723e-01  7.49824277e-01  3.59803379e-01  3.34298314e-01 
 5.81550000e-04  3.57321647e-04  2.60118619e-02  7.50178661e-01  7.49821339e-01  3.60056634e-01  3.34044772e-01 
 5.91550000e-04  3.63182933e-04  2.65177580e-02  7.50181591e-01  7.49818409e-01  3.60309364e-01  3.33791606e-01 
 6.01550000e-04  3.69029881e-04  2.70226085e-02  7.50184515e-01  7.49815485e-01  3.60561608e-01  3.33539000e-01 
 6.11550000e-04  3.74862261e-04  2.75264375e-02  7.50187431e-01  7.49812569e-01  3.60813574e-01  3.33287136e-01 
 6.21550000e-04  3.80679842e-04  2.80292225e-02  7.50190340e-01  7.49809660e-01  3.61065162e-01  3.33035939e-01 
 6.31550000e-04  3.86482394e-04  2.85310247e-02  7.50193241e-01  7.49806759e-01  3.61316115e-01  3.32785091e-01 
 6.41550000e-04  3.92269689e-04  2.90316666e-02  7.50196135e-01  7.49803865e-01  3.61566483e-01  3.32534816e-01 
 6.51550000e-04  3.98041498e-04  2.95312143e-02  7.50199021e-01  7.49800979e-01  3.61816379e-01  3.32285165e-01 
 6.61550000e-04  4.03797592e-04  3.00296191e-02  7.50201899e-01  7.49798101e-01  3.62065727e-01  3.32036108e-01 
 6.71550000e-04  4.09537745e-04  3.05269148e-02  7.50204769e-01  7.49795231e-01  3.62314457e-01  3.31787543e-01 
 6.81550000e-04  4.15261731e-04  3.10229751e-02  7.50207631e-01  7.49792369e-01  3.62562492e-01  3.31539517e-01 
 6.91550000e-04  4.20969322e-04  3.15178587e-02  7.50210485e-01  7.49789515e-01  3.62809923e-01  3.31292064e-01 
 7.01550000e-04  4.26660295e-04  3.20114868e-02  7.50213330e-01  7.49786670e-01  3.63056781e-01  3.31045294e-01 
 7.11550000e-04  4.32334424e-04  3.25038914e-02  7.50216167e-01  7.49783833e-01  3.63303102e-01  3.30799211e-01 
 7.21550000e-04  4.37991484e-04  3.29950129e-02  7.50218996e-01  7.49781004e-01  3.63548823e-01  3.30553811e-01 
 7.31550000e-04  4.43631254e-04  3.34848555e-02  7.50221816e-01  7.49778184e-01  3.63793923e-01  3.30309068e-01 
 7.41550000e-04  4.49253510e-04  3.39733307e-02  7.50224627e-01  7.49775373e-01  3.64038316e-01  3.30064985e-01 
 7.51550000e-04  4.54858030e-04  3.44605526e-02  7.50227429e-01  7.49772571e-01  3.64282192e-01  3.29821639e-01 
 7.61550000e-04  4.60444593e-04  3.49464032e-02  7.50230222e-01  7.49769778e-01  3.64525422e-01  3.29579019e-01 
 7.71550000e-04  4.66012979e-04  3.54308713e-02  7.50233006e-01  7.49766994e-01  3.64767914e-01  3.29337043e-01 
 7.81550000e-04  4.71562967e-04  3.59139984e-02  7.50235781e-01  7.49764219e-01  3.65009704e-01  3.29095706e-01 
 7.91550000e-04  4.77094338e-04  3.63956900e-02  7.50238547e-01  7.49761453e-01  3.65250653e-01  3.28854963e-01 
 8.01550000e-04  4.82606875e-04  3.68759562e-02  7.50241303e-01  7.49758697e-01  3.65490754e-01  3.28614798e-01 
 8.11550000e-04  4.88100359e-04  3.73547043e-02  7.50244050e-01  7.49755950e-01  3.65730011e-01  3.28375307e-01 
 8.21550000e-04  4.93574574e-04  3.78320181e-02  7.50246787e-01  7.49753213e-01  3.65968686e-01  3.28136667e-01 
 8.31550000e-04  4.99029304e-04  3.83078339e-02  7.50249515e-01  7.49750485e-01  3.66206609e-01  3.27898776e-01 
 8.41550000e-04  5.04464332e-04  3.87821591e-02  7.50252232e-01  7.49747768e-01  3.66443836e-01  3.27661677e-01 
 8.51550000e-04  5.09879445e-04  3.92549227e-02  7.50254940e-01  7.49745060e-01  3.66680283e-01  3.27425360e-01 
 8.61550000e-04  5.15274430e-04  3.97261788e-02  7.50257637e-01  7.49742363e-01  3.66916021e-01  3.27189842e-01 
 8.71550000e-04  5.20649071e-04  4.01958458e-02  7.50260325e-01  7.49739675e-01  3.67151030e-01  3.26955184e-01 
 8.81550000e-04  5.26003159e-04  4.06639507e-02  7.50263002e-01  7.49736998e-01  3.67385315e-01  3.26721365e-01 
 8.82800000e-04  5.26670964e-04  4.07223593e-02  7.50263335e-01  7.49736665e-01  3.67414557e-01  3.26692198e-01 
 8.85300000e-04  5.28005599e-04  4.08390632e-02  7.50264003e-01  7.49735997e-01  3.67472943e-01  3.26633880e-01 
 8.90300000e-04  5.30670958e-04  4.10721990e-02  7.50265335e-01  7.49734665e-01  3.67589638e-01  3.26517439e-01 
 9.00300000e-04  5.35985938e-04  4.15372456e-02  7.50267993e-01  7.49732007e-01  3.67822556e-01  3.26285310e-01 
