 frequency       v(PSRR_dB)     
 6.33840810e+01  6.58035867e+01 
 6.48457008e+01  6.57970700e+01 
 6.63410251e+01  6.57902612e+01 
 6.78708313e+01  6.57831478e+01 
 6.94359143e+01  6.57757167e+01 
 7.10370877e+01  6.57679547e+01 
 7.26751838e+01  6.57598474e+01 
 7.43510539e+01  6.57513802e+01 
 7.60655691e+01  6.57425384e+01 
 7.78196206e+01  6.57333058e+01 
 7.96141200e+01  6.57236669e+01 
 8.14500001e+01  6.57136042e+01 
 8.33282151e+01  6.57031003e+01 
 8.52497412e+01  6.56921380e+01 
 8.72155772e+01  6.56820411e+01 
 8.92267449e+01  6.56701000e+01 
 9.12842895e+01  6.56576416e+01 
 9.33892805e+01  6.56446465e+01 
 9.55428121e+01  6.56310921e+01 
 9.77460036e+01  6.56169573e+01 
 1.00000000e+02  6.56022192e+01 
 1.02305973e+02  6.55868546e+01 
 1.04665121e+02  6.55708400e+01 
 1.07078670e+02  6.55541506e+01 
 1.09547876e+02  6.55367609e+01 
 1.12074020e+02  6.55186450e+01 
 1.14658417e+02  6.54997769e+01 
 1.17302409e+02  6.54801292e+01 
 1.20007371e+02  6.54622228e+01 
 1.22774708e+02  6.54409177e+01 
 1.25605860e+02  6.54187479e+01 
 1.28502297e+02  6.53956820e+01 
 1.31465525e+02  6.53716905e+01 
 1.34497085e+02  6.53467427e+01 
 1.37598551e+02  6.53208069e+01 
 1.40771537e+02  6.52938517e+01 
 1.44017690e+02  6.52658457e+01 
 1.47338699e+02  6.52367547e+01 
 1.50736290e+02  6.52065470e+01 
 1.54212228e+02  6.51751891e+01 
 1.57768320e+02  6.51426475e+01 
 1.61406415e+02  6.51088887e+01 
 1.65128404e+02  6.50738791e+01 
 1.68936220e+02  6.50375853e+01 
 1.72831844e+02  6.49999737e+01 
 1.76817299e+02  6.49610114e+01 
 1.80894658e+02  6.49206648e+01 
 1.85066040e+02  6.48789007e+01 
 1.89333613e+02  6.48356882e+01 
 1.93699595e+02  6.47909943e+01 
 1.98166255e+02  6.47447878e+01 
 2.02735916e+02  6.46970392e+01 
 2.07410951e+02  6.46477193e+01 
 2.12193792e+02  6.45967981e+01 
 2.17086923e+02  6.45442502e+01 
 2.22092889e+02  6.44900471e+01 
 2.27214291e+02  6.44341658e+01 
 2.32453791e+02  6.43765828e+01 
 2.37814113e+02  6.43172759e+01 
 2.43298042e+02  6.42562263e+01 
 2.48908429e+02  6.41934144e+01 
 2.54648190e+02  6.41288254e+01 
 2.60520309e+02  6.40742772e+01 
 2.66527837e+02  6.40058979e+01 
 2.72673897e+02  6.39357033e+01 
 2.78961683e+02  6.38645523e+01 
 2.85394464e+02  6.37906934e+01 
 2.91975583e+02  6.37166754e+01 
 2.98708461e+02  6.36391293e+01 
 3.05596598e+02  6.35597604e+01 
 3.12643573e+02  6.34809354e+01 
 3.19853049e+02  6.33978930e+01 
 3.27228774e+02  6.33130552e+01 
 3.34774581e+02  6.32264372e+01 
 3.42494392e+02  6.31380580e+01 
 3.50392221e+02  6.30479386e+01 
 3.58472171e+02  6.29561034e+01 
 3.66738442e+02  6.28693414e+01 
 3.75195331e+02  6.27740041e+01 
 3.83847234e+02  6.26776886e+01 
 3.92698648e+02  6.25791264e+01 
 4.01754173e+02  6.24790198e+01 
 4.11018515e+02  6.23774089e+01 
 4.20496491e+02  6.22743399e+01 
 4.30193027e+02  6.21709988e+01 
 4.40113162e+02  6.20651333e+01 
 4.50262052e+02  6.19622705e+01 
 4.60644974e+02  6.18542608e+01 
 4.71267322e+02  6.17445252e+01 
 4.82134619e+02  6.16346532e+01 
 4.93252513e+02  6.15227000e+01 
 5.04626783e+02  6.14102171e+01 
 5.16263340e+02  6.12963222e+01 
 5.28168234e+02  6.11890667e+01 
 5.40347650e+02  6.10737306e+01 
 5.52807921e+02  6.09576559e+01 
 5.65555523e+02  6.08409182e+01 
 5.78597080e+02  6.07232020e+01 
 5.91939372e+02  6.06057574e+01 
 6.05589334e+02  6.04871230e+01 
 6.19554061e+02  6.03681584e+01 
 6.33840810e+02  6.02548083e+01 
 6.48457008e+02  6.01362410e+01 
 6.63410251e+02  6.00168787e+01 
 6.78708313e+02  5.98987443e+01 
 6.94359143e+02  5.97818001e+01 
 7.10370877e+02  5.96630797e+01 
 7.26751838e+02  5.95436907e+01 
 7.43510539e+02  5.94273758e+01 
 7.60655691e+02  5.93088903e+01 
 7.78196206e+02  5.91911303e+01 
 7.96141200e+02  5.90744003e+01 
 8.14500001e+02  5.89577633e+01 
 8.33282151e+02  5.88446179e+01 
 8.52497412e+02  5.87293455e+01 
 8.72155772e+02  5.86186336e+01 
 8.92267449e+02  5.85045836e+01 
 9.12842895e+02  5.83931940e+01 
 9.33892805e+02  5.82837818e+01 
 9.55428121e+02  5.81734516e+01 
 9.77460036e+02  5.80656156e+01 
 1.00000000e+03  5.79584204e+01 
 1.02305973e+03  5.78518114e+01 
 1.04665121e+03  5.77494533e+01 
 1.07078670e+03  5.76451050e+01 
 1.09547876e+03  5.75435601e+01 
 1.12074020e+03  5.74441407e+01 
 1.14658417e+03  5.73466971e+01 
 1.17302409e+03  5.72521016e+01 
 1.20007371e+03  5.71563961e+01 
 1.22774708e+03  5.70627048e+01 
 1.25605860e+03  5.69730091e+01 
 1.28502297e+03  5.68834688e+01 
 1.31465525e+03  5.67962347e+01 
 1.34497085e+03  5.67117762e+01 
 1.37598551e+03  5.66272630e+01 
 1.40771537e+03  5.65454791e+01 
 1.44017690e+03  5.64671492e+01 
 1.47338699e+03  5.63889806e+01 
 1.50736290e+03  5.63132095e+01 
 1.54212228e+03  5.62395183e+01 
 1.57768320e+03  5.61694807e+01 
 1.61406415e+03  5.60990788e+01 
 1.65128404e+03  5.60325850e+01 
 1.68936220e+03  5.59672473e+01 
 1.72831844e+03  5.59045449e+01 
 1.76817299e+03  5.58439229e+01 
 1.80894658e+03  5.57846298e+01 
 1.85066040e+03  5.57279396e+01 
 1.89333613e+03  5.56738897e+01 
 1.93699595e+03  5.56215807e+01 
 1.98166255e+03  5.55711789e+01 
 2.02735916e+03  5.55231312e+01 
 2.07410951e+03  5.54768994e+01 
 2.12193792e+03  5.54334791e+01 
 2.17086923e+03  5.53914219e+01 
