 v-sweep         v(Vbiasc)       v(Vbias)        v(Ix)           v(Iout)         v(Iref)        
 1.04500000e+00  2.74845815e-01  1.28267078e-01  9.91197437e-09  9.98717372e-09  1.00765514e-08 
 1.05000000e+00  2.74851220e-01  1.28269602e-01  9.91290238e-09  9.98794937e-09  1.00770646e-08 
 1.05500000e+00  2.74855052e-01  1.28271416e-01  9.91361167e-09  9.98848687e-09  1.00774767e-08 
 1.06000000e+00  2.74861233e-01  1.28274327e-01  9.91465539e-09  9.98936690e-09  1.00780421e-08 
 1.06500000e+00  2.74866730e-01  1.28276900e-01  9.91559506e-09  9.99015455e-09  1.00785594e-08 
 1.07000000e+00  2.74871877e-01  1.28279311e-01  9.91648377e-09  9.99088977e-09  1.00790529e-08 
 1.07500000e+00  2.74876295e-01  1.28281394e-01  9.91727090e-09  9.99151425e-09  1.00794993e-08 
 1.08000000e+00  2.74880368e-01  1.28283299e-01  9.91800259e-09  9.99209374e-09  1.00799200e-08 
 1.08500000e+00  2.74882827e-01  1.28284460e-01  9.91850524e-09  9.99243467e-09  1.00802351e-08 
 1.09000000e+00  2.74887794e-01  1.28286781e-01  9.91936234e-09  9.99314530e-09  1.00807127e-08 
 1.09500000e+00  2.74897318e-01  1.28291260e-01  9.92087883e-09  9.99450859e-09  1.00814925e-08 
 1.10000000e+00  2.74903356e-01  1.28294101e-01  9.92189332e-09  9.99536826e-09  1.00820417e-08 
 1.10500000e+00  2.74906420e-01  1.28295540e-01  9.92247668e-09  9.99579645e-09  1.00823924e-08 
 1.11000000e+00  2.74910521e-01  1.28297469e-01  9.92320989e-09  9.99637669e-09  1.00828119e-08 
 1.11500000e+00  2.74919260e-01  1.28301588e-01  9.92461193e-09  9.99762283e-09  1.00835375e-08 
 1.12000000e+00  2.74922747e-01  1.28303220e-01  9.92525169e-09  9.99811507e-09  1.00839135e-08 
 1.12500000e+00  2.74930921e-01  1.28307074e-01  9.92657126e-09  9.99927906e-09  1.00846008e-08 
 1.13000000e+00  2.74933288e-01  1.28308169e-01  9.92704464e-09  9.99961195e-09  1.00848999e-08 
 1.13500000e+00  2.74940554e-01  1.28311584e-01  9.92822818e-09  1.00006489e-08  1.00855243e-08 
 1.14000000e+00  2.74941538e-01  1.28312049e-01  9.92850658e-09  1.00007745e-08  1.00857334e-08 
 1.14500000e+00  2.74943324e-01  1.28312885e-01  9.92889781e-09  1.00010171e-08  1.00859940e-08 
 1.15000000e+00  2.74948998e-01  1.28315549e-01  9.92984833e-09  1.00018229e-08  1.00865108e-08 
 1.15500000e+00  2.74954563e-01  1.28318171e-01  9.93078498e-09  1.00026113e-08  1.00870210e-08 
 1.16000000e+00  2.74956950e-01  1.28319288e-01  9.93125976e-09  1.00029406e-08  1.00873192e-08 
 1.16500000e+00  2.74967848e-01  1.28324399e-01  9.93295793e-09  1.00045053e-08  1.00881781e-08 
 1.17000000e+00  2.74972938e-01  1.28326801e-01  9.93382467e-09  1.00052211e-08  1.00886554e-08 
 1.17500000e+00  2.74976586e-01  1.28328515e-01  9.93447989e-09  1.00057321e-08  1.00890357e-08 
 1.18000000e+00  2.74983230e-01  1.28331625e-01  9.93556213e-09  1.00066803e-08  1.00896115e-08 
 1.18500000e+00  2.74982870e-01  1.28331467e-01  9.93564155e-09  1.00066048e-08  1.00897275e-08 
 1.19000000e+00  2.74988488e-01  1.28334101e-01  9.93657661e-09  1.00074032e-08  1.00902354e-08 
 1.19500000e+00  2.74995558e-01  1.28337419e-01  9.93772048e-09  1.00084080e-08  1.00908388e-08 
 1.20000000e+00  2.75001193e-01  1.28340073e-01  9.93865988e-09  1.00092035e-08  1.00913483e-08 
 1.20500000e+00  2.75011059e-01  1.28344697e-01  9.94020297e-09  1.00106175e-08  1.00921343e-08 
 1.21000000e+00  2.75015360e-01  1.28346722e-01  9.94094816e-09  1.00112188e-08  1.00925545e-08 
 1.21500000e+00  2.75018494e-01  1.28348199e-01  9.94152459e-09  1.00116499e-08  1.00928972e-08 
