 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 1.24030000e-04  3.79866280e-05  6.57432788e-03  7.50018993e-01  7.49981007e-01  7.40132514e-01  7.33558186e-01 
 1.25030000e-04  3.82770504e-05  6.68041798e-03  7.50019139e-01  7.49980861e-01  7.40185561e-01  7.33505143e-01 
 1.26030000e-04  3.85670950e-05  6.78730645e-03  7.50019284e-01  7.49980716e-01  7.40239023e-01  7.33451717e-01 
 1.27030000e-04  3.88567590e-05  6.89499077e-03  7.50019428e-01  7.49980572e-01  7.40292891e-01  7.33397900e-01 
 1.28030000e-04  3.91460395e-05  7.00346639e-03  7.50019573e-01  7.49980427e-01  7.40347156e-01  7.33343690e-01 
 1.29030000e-04  3.94349336e-05  7.11273064e-03  7.50019717e-01  7.49980283e-01  7.40401806e-01  7.33289076e-01 
 1.30030000e-04  3.97234385e-05  7.22278470e-03  7.50019862e-01  7.49980138e-01  7.40456837e-01  7.33234052e-01 
 1.31030000e-04  4.00115514e-05  7.33362720e-03  7.50020006e-01  7.49979994e-01  7.40512244e-01  7.33178617e-01 
 1.32030000e-04  4.02992693e-05  7.44525529e-03  7.50020150e-01  7.49979850e-01  7.40568036e-01  7.33122781e-01 
 1.33030000e-04  4.05865896e-05  7.55766818e-03  7.50020293e-01  7.49979707e-01  7.40624226e-01  7.33066558e-01 
 1.34030000e-04  4.08735092e-05  7.67086547e-03  7.50020437e-01  7.49979563e-01  7.40680824e-01  7.33009958e-01 
 1.35030000e-04  4.11600255e-05  7.78484676e-03  7.50020580e-01  7.49979420e-01  7.40737837e-01  7.32952990e-01 
 1.36030000e-04  4.14461355e-05  7.89961595e-03  7.50020723e-01  7.49979277e-01  7.40795257e-01  7.32895642e-01 
 1.37030000e-04  4.17318364e-05  8.01517051e-03  7.50020866e-01  7.49979134e-01  7.40853069e-01  7.32837899e-01 
 1.38030000e-04  4.20171255e-05  8.13150494e-03  7.50021009e-01  7.49978991e-01  7.40911259e-01  7.32779754e-01 
 1.39030000e-04  4.23019999e-05  8.24861513e-03  7.50021151e-01  7.49978849e-01  7.40969821e-01  7.32721206e-01 
 1.40030000e-04  4.25864568e-05  8.36650147e-03  7.50021293e-01  7.49978707e-01  7.41028750e-01  7.32662249e-01 
