 time            v(vind)         v(vinp)         v(vinn)         v(voutp)        v(voutn)        v(vout)         v(Vbias)        v(Vbiasc)      
 1.66600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38633063e-01  7.38614457e-01  1.86056033e-05  1.28388356e-01  2.75157555e-01 
 1.67850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38631436e-01  7.38612834e-01  1.86024267e-05  1.28388428e-01  2.75157680e-01 
 1.69100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38629811e-01  7.38611212e-01  1.85993838e-05  1.28388499e-01  2.75157806e-01 
 1.70350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38628187e-01  7.38609590e-01  1.85963051e-05  1.28388571e-01  2.75157931e-01 
 1.71600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38626563e-01  7.38607970e-01  1.85931442e-05  1.28388642e-01  2.75158056e-01 
 1.72850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38624940e-01  7.38606350e-01  1.85898674e-05  1.28388714e-01  2.75158181e-01 
 1.74100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38623318e-01  7.38604731e-01  1.85865745e-05  1.28388785e-01  2.75158305e-01 
 1.75350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38621697e-01  7.38603114e-01  1.85832831e-05  1.28388857e-01  2.75158430e-01 
 1.76600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38620076e-01  7.38601496e-01  1.85798938e-05  1.28388928e-01  2.75158554e-01 
 1.77850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38618457e-01  7.38599880e-01  1.85763782e-05  1.28388999e-01  2.75158679e-01 
 1.79100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38616838e-01  7.38598265e-01  1.85727177e-05  1.28389070e-01  2.75158803e-01 
 1.80350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38615221e-01  7.38596652e-01  1.85691435e-05  1.28389141e-01  2.75158928e-01 
 1.81600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38613604e-01  7.38595039e-01  1.85655926e-05  1.28389212e-01  2.75159052e-01 
 1.82850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38611989e-01  7.38593427e-01  1.85622031e-05  1.28389283e-01  2.75159176e-01 
 1.84100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38610375e-01  7.38591816e-01  1.85588167e-05  1.28389354e-01  2.75159300e-01 
 1.85350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38608762e-01  7.38590207e-01  1.85555082e-05  1.28389425e-01  2.75159424e-01 
 1.86600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38607151e-01  7.38588598e-01  1.85521577e-05  1.28389495e-01  2.75159547e-01 
 1.87850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38605540e-01  7.38586991e-01  1.85487438e-05  1.28389566e-01  2.75159671e-01 
 1.89100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38603930e-01  7.38585385e-01  1.85453360e-05  1.28389637e-01  2.75159794e-01 
 1.90350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38602322e-01  7.38583780e-01  1.85419504e-05  1.28389707e-01  2.75159917e-01 
 1.91600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38600716e-01  7.38582177e-01  1.85386453e-05  1.28389777e-01  2.75160040e-01 
 1.92850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38599111e-01  7.38580575e-01  1.85351616e-05  1.28389848e-01  2.75160164e-01 
 1.94100000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38597507e-01  7.38578976e-01  1.85316371e-05  1.28389918e-01  2.75160287e-01 
 1.95350000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38595905e-01  7.38577377e-01  1.85280804e-05  1.28389988e-01  2.75160410e-01 
 1.96600000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38594305e-01  7.38575780e-01  1.85247223e-05  1.28390058e-01  2.75160532e-01 
 1.97850000e-05  0.00000000e+00  7.50000000e-01  7.50000000e-01  7.38592707e-01  7.38574186e-01  1.85213339e-05  1.28390128e-01  2.75160655e-01 
