 frequency       v(Cinp)         v(Cinp)         v(Cinn)         v(Cinn)        
 1.57768320e+01  1.26851518e-14  0.00000000e+00  1.66696552e-13  0.00000000e+00 
 1.61406415e+01  1.23992189e-14  0.00000000e+00  1.63221993e-13  0.00000000e+00 
 1.65128404e+01  1.21197346e-14  0.00000000e+00  1.59830533e-13  0.00000000e+00 
 1.68936220e+01  1.18465568e-14  0.00000000e+00  1.56520303e-13  0.00000000e+00 
 1.72831844e+01  1.15795464e-14  0.00000000e+00  1.53289460e-13  0.00000000e+00 
 1.76817299e+01  1.13185519e-14  0.00000000e+00  1.50136240e-13  0.00000000e+00 
 1.80894658e+01  1.10634565e-14  0.00000000e+00  1.47058869e-13  0.00000000e+00 
 1.85066040e+01  1.08141154e-14  0.00000000e+00  1.44055619e-13  0.00000000e+00 
 1.89333613e+01  1.05704024e-14  0.00000000e+00  1.41124770e-13  0.00000000e+00 
 1.93699595e+01  1.03321942e-14  0.00000000e+00  1.38264702e-13  0.00000000e+00 
 1.98166255e+01  1.00993561e-14  0.00000000e+00  1.35473772e-13  0.00000000e+00 
 2.02735916e+01  9.87178482e-15  0.00000000e+00  1.32750349e-13  0.00000000e+00 
 2.07410951e+01  9.64935161e-15  0.00000000e+00  1.30092868e-13  0.00000000e+00 
 2.12193792e+01  9.43193160e-15  0.00000000e+00  1.27499786e-13  0.00000000e+00 
 2.17086923e+01  9.21944151e-15  0.00000000e+00  1.24969568e-13  0.00000000e+00 
 2.22092889e+01  9.01173627e-15  0.00000000e+00  1.22500716e-13  0.00000000e+00 
 2.27214291e+01  8.80873702e-15  0.00000000e+00  1.20091777e-13  0.00000000e+00 
 2.32453791e+01  8.61032950e-15  0.00000000e+00  1.17741275e-13  0.00000000e+00 
 2.37814113e+01  8.41639126e-15  0.00000000e+00  1.15447788e-13  0.00000000e+00 
 2.43298042e+01  8.22684924e-15  0.00000000e+00  1.13209920e-13  0.00000000e+00 
 2.48908429e+01  8.04159732e-15  0.00000000e+00  1.11026282e-13  0.00000000e+00 
 2.54648190e+01  7.86053248e-15  0.00000000e+00  1.08895499e-13  0.00000000e+00 
 2.60520309e+01  7.68356523e-15  0.00000000e+00  1.06816231e-13  0.00000000e+00 
 2.66527837e+01  7.51059775e-15  0.00000000e+00  1.04787149e-13  0.00000000e+00 
 2.72673897e+01  7.34156519e-15  0.00000000e+00  1.02806948e-13  0.00000000e+00 
 2.78961683e+01  7.17634382e-15  0.00000000e+00  1.00874338e-13  0.00000000e+00 
 2.85394464e+01  7.01487289e-15  0.00000000e+00  9.89880532e-14  0.00000000e+00 
 2.91975583e+01  6.85707290e-15  0.00000000e+00  9.71468440e-14  0.00000000e+00 
 2.98708461e+01  6.70283858e-15  0.00000000e+00  9.53494495e-14  0.00000000e+00 
 3.05596598e+01  6.55211362e-15  0.00000000e+00  9.35946733e-14  0.00000000e+00 
 3.12643573e+01  6.40480671e-15  0.00000000e+00  9.18812929e-14  0.00000000e+00 
 3.19853049e+01  6.26084683e-15  0.00000000e+00  9.02081410e-14  0.00000000e+00 
 3.27228774e+01  6.12016448e-15  0.00000000e+00  8.85740288e-14  0.00000000e+00 
 3.34774581e+01  5.98268352e-15  0.00000000e+00  8.69777995e-14  0.00000000e+00 
 3.42494392e+01  5.84833004e-15  0.00000000e+00  8.54183280e-14  0.00000000e+00 
 3.50392221e+01  5.71704007e-15  0.00000000e+00  8.38944822e-14  0.00000000e+00 
 3.58472171e+01  5.58875100e-15  0.00000000e+00  8.24051649e-14  0.00000000e+00 
 3.66738442e+01  5.46338676e-15  0.00000000e+00  8.09492761e-14  0.00000000e+00 
 3.75195331e+01  5.34089570e-15  0.00000000e+00  7.95257529e-14  0.00000000e+00 
 3.83847234e+01  5.22120555e-15  0.00000000e+00  7.81335342e-14  0.00000000e+00 
 3.92698648e+01  5.10425352e-15  0.00000000e+00  7.67715839e-14  0.00000000e+00 
 4.01754173e+01  4.98999218e-15  0.00000000e+00  7.54388921e-14  0.00000000e+00 
 4.11018515e+01  4.87835484e-15  0.00000000e+00  7.41344497e-14  0.00000000e+00 
 4.20496491e+01  4.76929009e-15  0.00000000e+00  7.28572839e-14  0.00000000e+00 
 4.30193027e+01  4.66274766e-15  0.00000000e+00  7.16064328e-14  0.00000000e+00 
 4.40113162e+01  4.55865988e-15  0.00000000e+00  7.03809600e-14  0.00000000e+00 
 4.50262052e+01  4.45698594e-15  0.00000000e+00  6.91799438e-14  0.00000000e+00 
 4.60644974e+01  4.35767959e-15  0.00000000e+00  6.80024907e-14  0.00000000e+00 
 4.71267322e+01  4.26067843e-15  0.00000000e+00  6.68477359e-14  0.00000000e+00 
 4.82134619e+01  4.16594502e-15  0.00000000e+00  6.57148272e-14  0.00000000e+00 
 4.93252513e+01  4.07342595e-15  0.00000000e+00  6.46029274e-14  0.00000000e+00 
 5.04626783e+01  3.98308577e-15  0.00000000e+00  6.35112525e-14  0.00000000e+00 
 5.16263340e+01  3.89486863e-15  0.00000000e+00  6.24390286e-14  0.00000000e+00 
 5.28168234e+01  3.80874132e-15  0.00000000e+00  6.13854990e-14  0.00000000e+00 
 5.40347650e+01  3.72465616e-15  0.00000000e+00  6.03499548e-14  0.00000000e+00 
 5.52807921e+01  3.64257690e-15  0.00000000e+00  5.93316947e-14  0.00000000e+00 
 5.65555523e+01  3.56246339e-15  0.00000000e+00  5.83300503e-14  0.00000000e+00 
 5.78597080e+01  3.48427673e-15  0.00000000e+00  5.73443950e-14  0.00000000e+00 
 5.91939372e+01  3.40798368e-15  0.00000000e+00  5.63741191e-14  0.00000000e+00 
 6.05589334e+01  3.33354303e-15  0.00000000e+00  5.54186352e-14  0.00000000e+00 
 6.19554061e+01  3.26092365e-15  0.00000000e+00  5.44774047e-14  0.00000000e+00 
 6.33840810e+01  3.19009513e-15  0.00000000e+00  5.35498997e-14  0.00000000e+00 
 6.48457008e+01  3.12101959e-15  0.00000000e+00  5.26356377e-14  0.00000000e+00 
 6.63410251e+01  3.05367250e-15  0.00000000e+00  5.17341543e-14  0.00000000e+00 
 6.78708313e+01  2.98801416e-15  0.00000000e+00  5.08450108e-14  0.00000000e+00 
 6.94359143e+01  2.92402541e-15  0.00000000e+00  4.99678159e-14  0.00000000e+00 
 7.10370877e+01  2.86166862e-15  0.00000000e+00  4.91021884e-14  0.00000000e+00 
 7.26751838e+01  2.80092212e-15  0.00000000e+00  4.82477901e-14  0.00000000e+00 
 7.43510539e+01  2.74175746e-15  0.00000000e+00  4.74042973e-14  0.00000000e+00 
 7.60655691e+01  2.68415386e-15  0.00000000e+00  4.65714223e-14  0.00000000e+00 
 7.78196206e+01  2.62807746e-15  0.00000000e+00  4.57489052e-14  0.00000000e+00 
 7.96141200e+01  2.57351202e-15  0.00000000e+00  4.49365024e-14  0.00000000e+00 
 8.14500001e+01  2.52042852e-15  0.00000000e+00  4.41339996e-14  0.00000000e+00 
 8.33282151e+01  2.46881123e-15  0.00000000e+00  4.33412106e-14  0.00000000e+00 
 8.52497412e+01  2.41863229e-15  0.00000000e+00  4.25579681e-14  0.00000000e+00 
 8.72155772e+01  2.36987353e-15  0.00000000e+00  4.17841247e-14  0.00000000e+00 
 8.92267449e+01  2.32251117e-15  0.00000000e+00  4.10195575e-14  0.00000000e+00 
 9.12842895e+01  2.27652752e-15  0.00000000e+00  4.02641593e-14  0.00000000e+00 
 9.33892805e+01  2.23190220e-15  0.00000000e+00  3.95178385e-14  0.00000000e+00 
 9.55428121e+01  2.18862023e-15  0.00000000e+00  3.87805309e-14  0.00000000e+00 
 9.77460036e+01  2.14665628e-15  0.00000000e+00  3.80521754e-14  0.00000000e+00 
 1.00000000e+02  2.10599303e-15  0.00000000e+00  3.73327342e-14  0.00000000e+00 
 1.02305973e+02  2.06661544e-15  0.00000000e+00  3.66221746e-14  0.00000000e+00 
 1.04665121e+02  2.02850110e-15  0.00000000e+00  3.59204754e-14  0.00000000e+00 
 1.07078670e+02  1.99163690e-15  0.00000000e+00  3.52276352e-14  0.00000000e+00 
 1.09547876e+02  1.95600032e-15  0.00000000e+00  3.45436560e-14  0.00000000e+00 
 1.12074020e+02  1.92157751e-15  0.00000000e+00  3.38685358e-14  0.00000000e+00 
 1.14658417e+02  1.88834573e-15  0.00000000e+00  3.32022980e-14  0.00000000e+00 
 1.17302409e+02  1.85629028e-15  0.00000000e+00  3.25449591e-14  0.00000000e+00 
 1.20007371e+02  1.82539186e-15  0.00000000e+00  3.18965441e-14  0.00000000e+00 
 1.22774708e+02  1.79563086e-15  0.00000000e+00  3.12570783e-14  0.00000000e+00 
 1.25605860e+02  1.76698726e-15  0.00000000e+00  3.06265878e-14  0.00000000e+00 
 1.28502297e+02  1.73944589e-15  0.00000000e+00  3.00051021e-14  0.00000000e+00 
 1.31465525e+02  1.71298380e-15  0.00000000e+00  2.93926510e-14  0.00000000e+00 
 1.34497085e+02  1.68758275e-15  0.00000000e+00  2.87892625e-14  0.00000000e+00 
 1.37598551e+02  1.66321899e-15  0.00000000e+00  2.81949589e-14  0.00000000e+00 
 1.40771537e+02  1.63987610e-15  0.00000000e+00  2.76097673e-14  0.00000000e+00 
 1.44017690e+02  1.61752775e-15  0.00000000e+00  2.70337031e-14  0.00000000e+00 
 1.47338699e+02  1.59615465e-15  0.00000000e+00  2.64667830e-14  0.00000000e+00 
 1.50736290e+02  1.57573387e-15  0.00000000e+00  2.59090204e-14  0.00000000e+00 
 1.54212228e+02  1.55624196e-15  0.00000000e+00  2.53604231e-14  0.00000000e+00 
 1.57768320e+02  1.53765622e-15  0.00000000e+00  2.48209869e-14  0.00000000e+00 
 1.61406415e+02  1.51995217e-15  0.00000000e+00  2.42907114e-14  0.00000000e+00 
 1.65128404e+02  1.50310372e-15  0.00000000e+00  2.37695869e-14  0.00000000e+00 
 1.68936220e+02  1.48708688e-15  0.00000000e+00  2.32575955e-14  0.00000000e+00 
