vin,Ron_1u_0_13u_wo_dummy,Ron_2u_0_13u_wo_dummy,Ron_2u_0_13u_w_dummy,Ron_2u_0_50u_wo_dummy
9.200000000000000400e-01,3.125931140000000052e+00,1.537074869999999871e+00,1.537076250000000144e+00,2.531778699999999827e+00
9.399999999999999467e-01,3.102056450000000076e+00,1.541104819999999931e+00,1.541106630000000033e+00,2.686555220000000244e+00
9.599999999999999645e-01,3.047468530000000175e+00,1.527767790000000181e+00,1.527770000000000072e+00,2.854230579999999851e+00
9.799999999999999822e-01,2.971309470000000008e+00,1.499142200000000091e+00,1.499144749999999915e+00,3.035354789999999969e+00
1.000000000000000000e+00,2.875738169999999982e+00,1.460568770000000072e+00,1.460571609999999909e+00,3.225071859999999901e+00
1.020000000000000018e+00,2.773436279999999865e+00,1.413898059999999957e+00,1.413901139999999890e+00,3.419711719999999566e+00
1.040000000000000036e+00,2.671247609999999995e+00,1.365168989999999916e+00,1.365172269999999966e+00,3.607339500000000143e+00
1.060000000000000053e+00,2.573223000000000038e+00,1.317232430000000010e+00,1.317235879999999915e+00,3.782719970000000043e+00
1.080000000000000071e+00,2.481237799999999716e+00,1.271599660000000132e+00,1.271603260000000013e+00,3.927695380000000291e+00
1.100000000000000089e+00,2.395855410000000241e+00,1.228891659999999941e+00,1.228895400000000082e+00,4.026805010000000351e+00
1.120000000000000107e+00,2.316967680000000307e+00,1.189239070000000176e+00,1.189242950000000132e+00,4.070622550000000395e+00
1.139999999999999902e+00,2.244169310000000195e+00,1.152535939999999925e+00,1.152539949999999980e+00,4.061504590000000192e+00
1.159999999999999920e+00,2.176951499999999928e+00,1.118577749999999815e+00,1.118581889999999968e+00,4.016289600000000348e+00
1.179999999999999938e+00,2.114794199999999957e+00,1.087130139999999967e+00,1.087134420000000157e+00,3.942143570000000263e+00
1.199999999999999956e+00,2.057206139999999905e+00,1.057960819999999913e+00,1.057965220000000039e+00,3.857935080000000294e+00
1.219999999999999973e+00,2.003739659999999922e+00,1.030852920000000061e+00,1.030857469999999942e+00,3.771424149999999642e+00
1.239999999999999991e+00,1.953993649999999915e+00,1.005609630000000143e+00,1.005614320000000061e+00,3.686479830000000124e+00
1.260000000000000009e+00,1.907611490000000076e+00,9.820546010000000825e-01,9.820594419999999491e-01,3.604792400000000008e+00
1.280000000000000027e+00,1.864276980000000083e+00,9.600308079999999578e-01,9.600358059999999361e-01,3.526966440000000258e+00
1.300000000000000044e+00,1.823709819999999926e+00,9.393986370000000363e-01,9.394038020000000655e-01,3.453100590000000025e+00
1.320000000000000062e+00,1.785661229999999877e+00,9.200339469999999631e-01,9.200392890000000934e-01,3.383071890000000081e+00
1.340000000000000080e+00,1.749910000000000077e+00,9.018261949999999416e-01,9.018317270000000274e-01,3.316669649999999692e+00
1.360000000000000098e+00,1.716258970000000161e+00,8.846767579999998965e-01,8.846824939999999859e-01,3.253656820000000227e+00
1.379999999999999893e+00,1.684531989999999979e+00,8.684974489999999214e-01,8.685034060000000888e-01,3.193797060000000076e+00
1.399999999999999911e+00,1.654571330000000007e+00,8.532092259999999317e-01,8.532154259999999990e-01,3.136865910000000035e+00
1.419999999999999929e+00,1.626235349999999968e+00,8.387410790000000560e-01,8.387475490000000367e-01,3.082654840000000007e+00
1.439999999999999947e+00,1.599396590000000007e+00,8.250290609999999525e-01,8.250358309999999973e-01,3.030971880000000063e+00
1.459999999999999964e+00,1.573940090000000014e+00,8.120154520000000264e-01,8.120225549999999792e-01,2.981641029999999581e+00
1.479999999999999982e+00,1.549761900000000026e+00,7.996480380000000610e-01,7.996555080000000704e-01,2.934501069999999601e+00
1.500000000000000000e+00,1.526767820000000109e+00,7.878794820000000199e-01,7.878873579999999821e-01,2.889404269999999997e+00
