time,a_1V5,x1t,b_3V3
4.655993220000000044e+00,1.500000000000000000e+00,2.920383439999999788e-04,1.916663910000000026e+00
4.755993219999999688e+00,1.500000000000000000e+00,2.962088579999999942e-04,1.961397209999999891e+00
4.855993219999999333e+00,1.500000000000000000e+00,3.003761950000000190e-04,2.005470279999999939e+00
4.955993219999999866e+00,1.500000000000000000e+00,3.041769309999999894e-04,2.048856100000000069e+00
5.055993219999999511e+00,1.500000000000000000e+00,3.078727079999999858e-04,2.091527899999999995e+00
5.155993220000000044e+00,1.500000000000000000e+00,3.111035700000000189e-04,2.133459279999999847e+00
5.255993219999999688e+00,1.500000000000000000e+00,3.141265980000000168e-04,2.174624469999999921e+00
5.355993220000000221e+00,1.500000000000000000e+00,3.165868200000000244e-04,2.214998539999999849e+00
5.455993219999999866e+00,1.500000000000000000e+00,3.187429040000000252e-04,2.254557639999999807e+00
5.555993220000000399e+00,1.500000000000000000e+00,3.202480700000000192e-04,2.293279179999999862e+00
5.655993220000000044e+00,1.500000000000000000e+00,3.213680180000000265e-04,2.331142100000000106e+00
5.755993220000000576e+00,1.500000000000000000e+00,3.217678070000000120e-04,2.368127040000000072e+00
5.855993219999999333e+00,1.500000000000000000e+00,3.217245869999999972e-04,2.404216569999999997e+00
5.955993219999999866e+00,1.500000000000000000e+00,3.209182889999999898e-04,2.439395310000000094e+00
6.055993219999999511e+00,1.500000000000000000e+00,3.196404050000000037e-04,2.473650140000000164e+00
6.155993220000000044e+00,1.500000000000000000e+00,3.175873980000000160e-04,2.506970279999999995e+00
6.255993219999999688e+00,1.500000000000000000e+00,3.150661090000000204e-04,2.539347400000000032e+00
6.355993220000000221e+00,1.500000000000000000e+00,3.117894199999999812e-04,2.570775690000000058e+00
6.455993219999999866e+00,1.500000000000000000e+00,3.080785979999999826e-04,2.601251860000000082e+00
6.555993220000000399e+00,1.500000000000000000e+00,3.036610979999999796e-04,2.630775159999999779e+00
6.655993220000000044e+00,1.500000000000000000e+00,2.988700570000000058e-04,2.659347340000000059e+00
6.755993220000000576e+00,1.500000000000000000e+00,2.934443359999999766e-04,2.686972589999999883e+00
6.855993220000000221e+00,1.500000000000000000e+00,2.877253079999999761e-04,2.713657430000000037e+00
6.955993220000000754e+00,1.500000000000000000e+00,2.814593640000000261e-04,2.739410630000000069e+00
7.055993219999999511e+00,1.500000000000000000e+00,2.749920780000000126e-04,2.764243040000000207e+00
7.155993220000000044e+00,1.500000000000000000e+00,2.680734200000000223e-04,2.788167459999999931e+00
7.255993219999999688e+00,1.500000000000000000e+00,2.610493349999999766e-04,2.811198479999999833e+00
7.355993220000000221e+00,1.500000000000000000e+00,2.536698760000000098e-04,2.833352290000000107e+00
7.455993219999999866e+00,1.500000000000000000e+00,2.462781580000000217e-04,2.854646520000000187e+00
7.555993220000000399e+00,1.500000000000000000e+00,2.386216079999999874e-04,2.875100059999999846e+00
7.655993220000000044e+00,1.500000000000000000e+00,2.310381649999999974e-04,2.894732869999999902e+00
7.755993219999999688e+00,1.500000000000000000e+00,2.232708139999999952e-04,2.913565830000000023e+00
