time,Vclk,Vs,Vcpp,Vcpn,Voutp,Voutn
3.200447679999999906e+01,1.500000000000000000e+00,-8.136596419999999667e-07,-3.799010569999999979e-06,-4.565147440000000063e-07,1.499997950000000024e+00,2.244880200000000059e-06
3.232447679999999934e+01,1.500000000000000000e+00,-7.880189200000000377e-07,-3.726889619999999881e-06,-4.404771610000000091e-07,1.499997969999999903e+00,2.208966089999999965e-06
3.264447679999999963e+01,1.500000000000000000e+00,-7.638439080000000308e-07,-3.657243779999999892e-06,-4.250137310000000002e-07,1.499997999999999942e+00,2.174246730000000186e-06
3.296447679999999991e+01,1.500000000000000000e+00,-7.410245360000000438e-07,-3.589948530000000208e-06,-4.100949579999999739e-07,1.499998020000000043e+00,2.140662959999999996e-06
3.328447680000000020e+01,1.500000000000000000e+00,-7.194598040000000417e-07,-3.524887340000000152e-06,-3.956930879999999966e-07,1.499998050000000083e+00,2.108159429999999996e-06
3.360447680000000048e+01,1.500000000000000000e+00,-6.990570209999999546e-07,-3.461951050000000157e-06,-3.817820590000000258e-07,1.499998069999999961e+00,2.076684350000000147e-06
3.392447680000000076e+01,1.500000000000000000e+00,-6.797311049999999974e-07,-3.401037410000000101e-06,-3.683374079999999958e-07,1.499998100000000001e+00,2.046189169999999882e-06
3.424447680000000105e+01,1.500000000000000000e+00,-6.614039380000000244e-07,-3.342050519999999814e-06,-3.553361900000000007e-07,1.499998120000000101e+00,2.016628379999999920e-06
3.456447679999999423e+01,1.500000000000000000e+00,-6.440037690000000099e-07,-3.284900380000000201e-06,-3.427568779999999842e-07,1.499998139999999980e+00,1.987959239999999806e-06
3.488447680000000162e+01,1.500000000000000000e+00,-6.274646790000000142e-07,-3.229502510000000165e-06,-3.305792760000000070e-07,1.499998160000000080e+00,1.960141580000000148e-06
3.520447680000000190e+01,1.500000000000000000e+00,-6.117260809999999576e-07,-3.175777469999999954e-06,-3.187844299999999759e-07,1.499998179999999959e+00,1.933137630000000096e-06
3.552447680000000219e+01,1.500000000000000000e+00,-5.967322649999999813e-07,-3.123650539999999995e-06,-3.073545390000000102e-07,1.499998200000000059e+00,1.906911820000000005e-06
3.584447680000000247e+01,1.500000000000000000e+00,-5.824319880000000198e-07,-3.073051389999999913e-06,-2.962728759999999956e-07,1.499998219999999938e+00,1.881430630000000042e-06
3.616447679999999565e+01,1.500000000000000000e+00,-5.687780909999999986e-07,-3.023913730000000008e-06,-2.855237119999999971e-07,1.499998240000000038e+00,1.856662469999999964e-06
3.648447679999999593e+01,1.500000000000000000e+00,-5.557271569999999712e-07,-2.976175079999999794e-06,-2.750922490000000157e-07,1.499998259999999917e+00,1.832577499999999947e-06
3.680447680000000332e+01,1.500000000000000000e+00,-5.432391900000000124e-07,-2.929776439999999971e-06,-2.649645489999999958e-07,1.499998280000000017e+00,1.809147530000000011e-06
3.712447680000000361e+01,1.500000000000000000e+00,-5.312773310000000360e-07,-2.884662099999999833e-06,-2.551274739999999778e-07,1.499998299999999896e+00,1.786345939999999941e-06
3.744447680000000389e+01,1.500000000000000000e+00,-5.198075929999999976e-07,-2.840779389999999962e-06,-2.455686369999999738e-07,1.499998310000000057e+00,1.764147519999999982e-06
3.776447679999999707e+01,1.500000000000000000e+00,-5.087986209999999772e-07,-2.798078479999999806e-06,-2.362763439999999948e-07,1.499998329999999935e+00,1.742528409999999976e-06
3.808447679999999735e+01,1.500000000000000000e+00,-4.982214690000000055e-07,-2.756512220000000064e-06,-2.272395460000000094e-07,1.499998350000000036e+00,1.721465979999999998e-06
3.840447679999999764e+01,1.500000000000000000e+00,-4.880494039999999881e-07,-2.716035900000000123e-06,-2.184477999999999876e-07,1.499998359999999975e+00,1.700938820000000097e-06
3.872447680000000503e+01,1.500000000000000000e+00,-4.782577209999999873e-07,-2.676607169999999883e-06,-2.098912240000000018e-07,1.499998380000000076e+00,1.680926550000000036e-06
3.904447680000000531e+01,1.500000000000000000e+00,-4.688235710000000219e-07,-2.638185809999999983e-06,-2.015604629999999983e-07,1.499998390000000015e+00,1.661409879999999934e-06
3.936447679999999849e+01,1.500000000000000000e+00,-4.597258170000000211e-07,-2.600733680000000136e-06,-1.934466569999999982e-07,1.499998409999999893e+00,1.642370430000000033e-06
3.968447679999999878e+01,1.500000000000000000e+00,-4.509448820000000143e-07,-2.564214500000000028e-06,-1.855413930000000031e-07,1.499998420000000054e+00,1.623790780000000034e-06
4.000447679999999906e+01,1.500000000000000000e+00,-4.424626329999999752e-07,-2.528593800000000192e-06,-1.778367010000000068e-07,1.499998439999999933e+00,1.605654289999999926e-06
4.032447679999999934e+01,1.500000000000000000e+00,-4.342622560000000033e-07,-2.493838810000000126e-06,-1.703250079999999875e-07,1.499998450000000094e+00,1.587945190000000103e-06
4.064447679999999963e+01,1.500000000000000000e+00,-4.263281509999999962e-07,-2.459918299999999836e-06,-1.629991189999999975e-07,1.499998460000000033e+00,1.570648379999999999e-06
4.096447679999999991e+01,1.500000000000000000e+00,-4.186458349999999859e-07,-2.426802549999999932e-06,-1.558521960000000078e-07,1.499998479999999912e+00,1.553749550000000009e-06
4.128447680000000020e+01,1.500000000000000000e+00,-4.112018529999999747e-07,-2.394463229999999926e-06,-1.488777280000000107e-07,1.499998490000000073e+00,1.537234979999999915e-06
4.160447680000000048e+01,1.500000000000000000e+00,-4.039836919999999940e-07,-2.362873320000000061e-06,-1.420695239999999948e-07,1.499998500000000012e+00,1.521091620000000024e-06
