time,Vclk,Vs,Vctail,Vcpp,Vcpn,Voutp,Voutn
1.598273050000000062e+01,1.500000000000000000e+00,3.182606729999999939e-01,3.165419700000000058e-01,1.210506379999999993e+00,1.175627500000000047e+00,7.506658260000000082e-02,-4.649230989999999912e-04
1.630273049999999913e+01,1.500000000000000000e+00,3.193788129999999836e-01,3.177086259999999940e-01,1.209469600000000034e+00,1.174366049999999939e+00,8.410530639999999614e-02,4.002057269999999625e-03
1.662273049999999941e+01,1.500000000000000000e+00,3.204641999999999769e-01,3.188400419999999902e-01,1.208465129999999998e+00,1.173143360000000079e+00,9.335281739999999606e-02,8.571087990000000184e-03
1.694273049999999969e+01,1.500000000000000000e+00,3.215185340000000225e-01,3.199380960000000051e-01,1.207491230000000026e+00,1.171957399999999927e+00,1.028026429999999991e-01,1.323979089999999942e-02
1.726273049999999998e+01,1.500000000000000000e+00,3.225433930000000116e-01,3.210045289999999829e-01,1.206546300000000072e+00,1.170806299999999966e+00,1.124482640000000061e-01,1.800575750000000044e-02
1.758273050000000026e+01,1.500000000000000000e+00,3.235402459999999758e-01,3.220409539999999904e-01,1.205628829999999985e+00,1.169688300000000014e+00,1.222831280000000048e-01,2.286654319999999879e-02
1.790273050000000055e+01,1.500000000000000000e+00,3.245104569999999744e-01,3.230488739999999859e-01,1.204737450000000099e+00,1.168601790000000085e+00,1.323006700000000091e-01,2.781965659999999924e-02
1.822273049999999728e+01,1.500000000000000000e+00,3.254553029999999736e-01,3.240296859999999834e-01,1.203870849999999937e+00,1.167545239999999929e+00,1.424943220000000066e-01,3.286254420000000315e-02
1.854273050000000111e+01,1.500000000000000000e+00,3.263759709999999870e-01,3.249846929999999912e-01,1.203027840000000070e+00,1.166517250000000061e+00,1.528575299999999915e-01,3.799256649999999819e-02
1.886273050000000140e+01,1.500000000000000000e+00,3.272735760000000105e-01,3.259151109999999796e-01,1.202207299999999979e+00,1.165516479999999966e+00,1.633837609999999885e-01,4.320696319999999674e-02
1.918273049999999813e+01,1.500000000000000000e+00,3.281491570000000246e-01,3.268220760000000169e-01,1.201408170000000109e+00,1.164541709999999952e+00,1.740665100000000076e-01,4.850280319999999978e-02
1.950273050000000197e+01,1.500000000000000000e+00,3.290036909999999870e-01,3.277066530000000144e-01,1.200629479999999916e+00,1.163591770000000025e+00,1.848993120000000101e-01,5.387691210000000036e-02
1.982273049999999870e+01,1.500000000000000000e+00,3.298380920000000271e-01,3.285698369999999757e-01,1.199870299999999945e+00,1.162665569999999926e+00,1.958757339999999958e-01,5.932576900000000042e-02
2.014273049999999898e+01,1.500000000000000000e+00,3.306532209999999972e-01,3.294125620000000199e-01,1.199129780000000034e+00,1.161762100000000020e+00,2.069893810000000001e-01,6.484535880000000252e-02
2.046273050000000282e+01,1.500000000000000000e+00,3.314498860000000269e-01,3.302357080000000167e-01,1.198407089999999897e+00,1.160880389999999984e+00,2.182338819999999902e-01,7.043096120000000293e-02
2.078273049999999955e+01,1.500000000000000000e+00,3.322288469999999938e-01,3.310400969999999776e-01,1.197701480000000096e+00,1.160019539999999960e+00,2.296028780000000102e-01,7.607684939999999341e-02
2.110273049999999984e+01,1.500000000000000000e+00,3.329908229999999913e-01,3.318265069999999928e-01,1.197012219999999960e+00,1.159178690000000067e+00,2.410899930000000024e-01,8.177586050000000550e-02
2.142273050000000012e+01,1.500000000000000000e+00,3.337364910000000240e-01,3.325956700000000099e-01,1.196338619999999908e+00,1.158357040000000060e+00,2.526888010000000184e-01,8.751877449999999337e-02
2.174273050000000040e+01,1.500000000000000000e+00,3.344664829999999811e-01,3.333482740000000000e-01,1.195680019999999955e+00,1.157553829999999895e+00,2.643927429999999856e-01,9.329346239999999901e-02
2.206273049999999714e+01,1.500000000000000000e+00,3.351814089999999857e-01,3.340849699999999811e-01,1.195035810000000032e+00,1.156768339999999951e+00,2.761950559999999943e-01,9.908363539999999470e-02
2.238273050000000097e+01,1.500000000000000000e+00,3.358818359999999892e-01,3.348063720000000187e-01,1.194405359999999972e+00,1.155999889999999919e+00,2.880886550000000268e-01,1.048670589999999986e-01
2.270273050000000126e+01,1.500000000000000000e+00,3.365683059999999838e-01,3.355130640000000275e-01,1.193788089999999968e+00,1.155247829999999976e+00,3.000659339999999786e-01,1.106131080000000017e-01
2.302273049999999799e+01,1.500000000000000000e+00,3.372413289999999786e-01,3.362055930000000248e-01,1.193183399999999894e+00,1.154511550000000053e+00,3.121185240000000083e-01,1.162792960000000042e-01
2.334273050000000183e+01,1.500000000000000000e+00,3.379013909999999954e-01,3.368844830000000123e-01,1.192590669999999964e+00,1.153790450000000023e+00,3.242369500000000238e-01,1.218065299999999962e-01
2.366273049999999856e+01,1.500000000000000000e+00,3.385489529999999858e-01,3.375502269999999805e-01,1.192009290000000110e+00,1.153083990000000059e+00,3.364100620000000097e-01,1.271123299999999956e-01
