time,VDD,Vbiasc,Vbias,Vsu,Vres
5.600011159999999932e-02,8.250016739999999800e+02,4.723318619999999868e+01,1.528212949999999992e+01,2.373247819999999990e+02,1.430217919999999809e+00
5.602622360000000107e-02,8.253933540000000448e+02,4.722724009999999595e+01,1.532476739999999893e+01,2.374177349999999933e+02,9.440184400000000142e-01
5.683472440000000153e-02,8.375208659999999554e+02,4.705923349999999772e+01,1.668614610000000198e+01,2.403061079999999947e+02,1.071067400000000003e+00
5.783472440000000242e-02,8.525208659999999554e+02,4.690396859999999890e+01,1.842021259999999927e+01,2.438912920000000213e+02,1.227973399999999993e+00
5.883472439999999637e-02,8.675208659999999554e+02,4.680364610000000170e+01,2.020833269999999970e+01,2.474900749999999903e+02,1.386535850000000014e+00
5.983472439999999726e-02,8.825208660000000691e+02,4.675298159999999825e+01,2.204963779999999929e+01,2.511024640000000261e+02,1.547415759999999807e+00
6.083472439999999815e-02,8.975208660000000691e+02,4.674822440000000512e+01,2.394326340000000286e+01,2.547283209999999940e+02,1.710906590000000005e+00
6.183472440000000597e-02,9.125208660000000691e+02,4.678630310000000492e+01,2.588821760000000083e+01,2.583672770000000014e+02,1.877186859999999902e+00
6.283472439999999992e-02,9.275208660000000691e+02,4.686447540000000345e+01,2.788333850000000069e+01,2.620187020000000189e+02,2.046398400000000173e+00
6.383472440000000081e-02,9.425208659999999554e+02,4.698020800000000463e+01,2.992727849999999989e+01,2.656816929999999957e+02,2.218670299999999873e+00
6.387502560000000995e-02,9.431253840000000537e+02,4.698560210000000126e+01,3.000991449999999716e+01,2.658293679999999881e+02,1.751529219999999887e+00
6.387665759999999748e-02,9.431498639999999796e+02,4.698583320000000185e+01,3.001356100000000282e+01,2.658354370000000131e+02,1.927573990000000181e+00
6.400000100000000081e-02,9.450000149999999621e+02,4.700264400000000364e+01,3.026893719999999988e+01,2.662877000000000294e+02,1.987871689999999747e+00
6.400003479999999412e-02,9.450005219999999326e+02,4.700265989999999761e+01,3.026936410000000066e+01,2.662879009999999766e+02,2.216518910000000009e+00
6.400656279999999976e-02,9.450984420000000910e+02,4.700352219999999903e+01,3.028156859999999995e+01,2.663115290000000073e+02,1.392399100000000001e+00
6.458472440000000148e-02,9.537708660000000691e+02,4.708267859999999416e+01,3.148698839999999777e+01,2.684330429999999978e+02,1.500103399999999976e+00
6.558472440000000236e-02,9.687708659999999554e+02,4.725118360000000450e+01,3.361153239999999442e+01,2.721125380000000291e+02,1.684364729999999977e+00
6.658472440000000325e-02,9.837708659999999554e+02,4.745712850000000316e+01,3.578100779999999759e+01,2.758002239999999574e+02,1.870195870000000093e+00
6.758472439999999026e-02,9.987708659999999554e+02,4.769357750000000351e+01,3.799259889999999729e+01,2.794935980000000200e+02,2.059281259999999669e+00
6.858472440000000503e-02,1.013770870000000059e+03,4.795764609999999806e+01,4.024385329999999783e+01,2.831902379999999653e+02,2.252011410000000158e+00
6.958472440000000592e-02,1.028770870000000059e+03,4.824736930000000257e+01,4.253219839999999863e+01,2.868874670000000151e+02,2.448536729999999828e+00
7.058472440000000681e-02,1.043770869999999832e+03,4.856101519999999994e+01,4.485485359999999844e+01,2.905822810000000231e+02,2.648962050000000179e+00
7.158472439999999382e-02,1.058770870000000059e+03,4.889696679999999418e+01,4.720881350000000509e+01,2.942713370000000168e+02,2.853380019999999906e+00
7.187502079999999460e-02,1.063125309999999899e+03,4.899840019999999896e+01,4.789667560000000179e+01,2.953404310000000237e+02,2.424234150000000199e+00
