t_phantom,phantom_spikes
2.131226120000000002e+00,-1.000000000000000000e+00
2.181048200000000215e+00,1.000000000000000000e+00
2.181058339999999873e+00,1.000000000000000000e+00
2.230466859999999940e+00,-1.000000000000000000e+00
2.231227399999999861e+00,-1.000000000000000000e+00
2.280662920000000149e+00,1.000000000000000000e+00
2.281019039999999887e+00,1.000000000000000000e+00
2.330467679999999930e+00,-1.000000000000000000e+00
2.331230539999999962e+00,-1.000000000000000000e+00
2.380277640000000083e+00,1.000000000000000000e+00
2.381012339999999838e+00,1.000000000000000000e+00
2.430471520000000218e+00,-1.000000000000000000e+00
2.431229019999999963e+00,-1.000000000000000000e+00
2.480212299999999814e+00,1.000000000000000000e+00
2.481024259999999870e+00,1.000000000000000000e+00
2.530475360000000062e+00,-1.000000000000000000e+00
2.531228920000000215e+00,-1.000000000000000000e+00
2.580220380000000091e+00,1.000000000000000000e+00
2.581020000000000092e+00,1.000000000000000000e+00
2.621450119999999995e+00,1.000000000000000000e+00
2.621460260000000098e+00,1.000000000000000000e+00
2.673878919999999937e+00,-1.000000000000000000e+00
2.673889060000000040e+00,-1.000000000000000000e+00
2.731550599999999829e+00,-1.000000000000000000e+00
2.731560739999999932e+00,-1.000000000000000000e+00
2.780213600000000174e+00,1.000000000000000000e+00
2.781012340000000194e+00,1.000000000000000000e+00
2.831165320000000207e+00,-1.000000000000000000e+00
2.831234600000000157e+00,-1.000000000000000000e+00
2.880212320000000048e+00,1.000000000000000000e+00
2.881021280000000129e+00,1.000000000000000000e+00
2.930780040000000142e+00,-1.000000000000000000e+00
2.931222860000000097e+00,-1.000000000000000000e+00
2.980221279999999862e+00,1.000000000000000000e+00
2.981019980000000125e+00,1.000000000000000000e+00
