t_analog,t_recon,analog_signal,spikes,recon
1.697438951756998334e-05,1.032357599999999959e-01,1.755846291976310924e+00,2.500000000000000000e-01,1.959374999999999645e+00
1.727218582489577103e-05,1.043722599999999945e-01,1.757674249689859192e+00,2.500000000000000000e-01,2.062499999999999556e+00
1.756998213222156212e-05,1.055269199999999963e-01,1.759500699513300903e+00,2.500000000000000000e-01,2.165624999999999467e+00
1.786777843954734981e-05,1.067018400000000061e-01,1.761325615868695182e+00,2.500000000000000000e-01,2.268749999999999378e+00
1.816557474687314089e-05,1.079317600000000016e-01,1.763148973199575531e+00,2.500000000000000000e-01,2.371874999999999289e+00
1.846337105419892859e-05,1.092182800000000009e-01,1.764970745971308874e+00,2.500000000000000000e-01,2.474999999999999201e+00
1.876116736152471967e-05,1.105743599999999965e-01,1.766790908671452387e+00,2.500000000000000000e-01,2.578124999999999112e+00
1.905896366885050737e-05,1.120034599999999991e-01,1.768609435810110986e+00,2.500000000000000000e-01,2.681249999999999023e+00
1.935675997617629506e-05,1.135942000000000063e-01,1.770426301920294154e+00,2.500000000000000000e-01,2.784374999999998934e+00
1.965455628350208615e-05,1.153987000000000068e-01,1.772241481558272991e+00,2.500000000000000000e-01,2.887499999999998845e+00
1.995235259082787384e-05,1.175328800000000062e-01,1.774054949303935924e+00,2.500000000000000000e-01,2.990624999999998757e+00
2.025014889815366493e-05,1.205488599999999938e-01,1.775866679761145539e+00,2.500000000000000000e-01,3.093749999999998668e+00
2.054794520547945262e-05,1.325463400000000125e-01,1.777676647558093403e+00,-2.500000000000000000e-01,2.990624999999998757e+00
2.084574151280524371e-05,1.346721200000000063e-01,1.779484827347655562e+00,-2.500000000000000000e-01,2.887499999999998845e+00
2.114353782013103140e-05,1.364377800000000085e-01,1.781291193807748030e+00,-2.500000000000000000e-01,2.784374999999998934e+00
2.144133412745682248e-05,1.380155999999999883e-01,1.783095721641680731e+00,-2.500000000000000000e-01,2.681249999999999023e+00
2.173913043478261018e-05,1.394538800000000023e-01,1.784898385578512103e+00,-2.500000000000000000e-01,2.578124999999999112e+00
2.203692674210839787e-05,1.408068199999999992e-01,1.786699160373402817e+00,-2.500000000000000000e-01,2.474999999999999201e+00
2.233472304943418896e-05,1.420613000000000015e-01,1.788498020807970157e+00,-2.500000000000000000e-01,2.371874999999999289e+00
2.263251935675997665e-05,1.432969000000000048e-01,1.790294941690639297e+00,-2.500000000000000000e-01,2.268749999999999378e+00
2.293031566408576774e-05,1.444616999999999984e-01,1.792089897856998126e+00,-2.500000000000000000e-01,2.165624999999999467e+00
2.322811197141155543e-05,1.456154400000000126e-01,1.793882864170148528e+00,-2.500000000000000000e-01,2.062499999999999556e+00
2.352590827873734652e-05,1.467455400000000076e-01,1.795673815521058758e+00,-2.500000000000000000e-01,1.959374999999999645e+00
2.382370458606313421e-05,1.478430599999999984e-01,1.797462726828914503e+00,-2.500000000000000000e-01,1.856249999999999734e+00
2.412150089338892191e-05,1.489401399999999986e-01,1.799249573041471262e+00,-2.500000000000000000e-01,1.753124999999999822e+00
2.441929720071471299e-05,1.500293199999999938e-01,1.801034329135404288e+00,-2.500000000000000000e-01,1.649999999999999911e+00
2.471709350804050069e-05,1.511216999999999977e-01,1.802816970116658979e+00,-2.500000000000000000e-01,1.546875000000000000e+00
2.501488981536629177e-05,1.522158399999999912e-01,1.804597471020801258e+00,-2.500000000000000000e-01,1.443750000000000089e+00
2.531268612269207946e-05,1.533327600000000124e-01,1.806375806913367299e+00,-2.500000000000000000e-01,1.340625000000000178e+00
2.561048243001787055e-05,1.544485800000000020e-01,1.808151952890212355e+00,-2.500000000000000000e-01,1.237500000000000266e+00
2.590827873734365824e-05,1.555979799999999968e-01,1.809925884077859815e+00,-2.500000000000000000e-01,1.134375000000000355e+00
2.620607504466944594e-05,1.567807599999999912e-01,1.811697575633848922e+00,-2.500000000000000000e-01,1.031250000000000444e+00
2.650387135199523702e-05,1.580108199999999963e-01,1.813467002747083834e+00,-2.500000000000000000e-01,9.281250000000004219e-01
2.680166765932102472e-05,1.592750199999999894e-01,1.815234140638179783e+00,-2.500000000000000000e-01,8.250000000000003997e-01
2.709946396664681580e-05,1.606196599999999974e-01,1.816998964559810803e+00,-2.500000000000000000e-01,7.218750000000003775e-01
2.739726027397260350e-05,1.620512400000000131e-01,1.818761449797056562e+00,-2.500000000000000000e-01,6.187500000000003553e-01
2.769505658129839458e-05,1.636164200000000124e-01,1.820521571667747640e+00,-2.500000000000000000e-01,5.156250000000003331e-01
2.799285288862418227e-05,1.654167199999999893e-01,1.822279305522811921e+00,-2.500000000000000000e-01,4.125000000000003109e-01
2.829064919594997336e-05,1.675380599999999887e-01,1.824034626746619647e+00,-2.500000000000000000e-01,3.093750000000002887e-01
2.858844550327576105e-05,1.705058000000000129e-01,1.825787510757327370e+00,-2.500000000000000000e-01,2.062500000000002942e-01
2.888624181060154875e-05,1.823549799999999999e-01,1.827537933007223225e+00,2.500000000000000000e-01,3.093750000000002887e-01
2.918403811792733983e-05,1.845081199999999977e-01,1.829285868983070662e+00,2.500000000000000000e-01,4.125000000000003109e-01
2.948183442525312753e-05,1.863229600000000097e-01,1.831031294206450610e+00,2.500000000000000000e-01,5.156250000000003331e-01
2.977963073257891861e-05,1.879204200000000047e-01,1.832774184234105652e+00,2.500000000000000000e-01,6.187500000000003553e-01
3.007742703990470631e-05,1.893642600000000065e-01,1.834514514658281525e+00,2.500000000000000000e-01,7.218750000000003775e-01
3.037522334723049739e-05,1.907005800000000084e-01,1.836252261107069073e+00,2.500000000000000000e-01,8.250000000000003997e-01
3.067301965455628508e-05,1.919754599999999867e-01,1.837987399244745523e+00,2.500000000000000000e-01,9.281250000000004219e-01
3.097081596188207617e-05,1.931837600000000099e-01,1.839719904772115555e+00,2.500000000000000000e-01,1.031250000000000444e+00
3.126861226920786048e-05,1.943664999999999976e-01,1.841449753426851244e+00,2.500000000000000000e-01,1.134375000000000355e+00
3.156640857653365156e-05,1.955184799999999945e-01,1.843176920983832456e+00,2.500000000000000000e-01,1.237500000000000266e+00
3.186420488385944264e-05,1.966397599999999968e-01,1.844901383255484806e+00,2.500000000000000000e-01,1.340625000000000178e+00
3.216200119118523373e-05,1.977456999999999965e-01,1.846623116092120043e+00,2.500000000000000000e-01,1.443750000000000089e+00
3.245979749851101803e-05,1.988311200000000001e-01,1.848342095382272898e+00,2.500000000000000000e-01,1.546875000000000000e+00
3.275759380583680912e-05,1.999217000000000077e-01,1.850058297053039702e+00,2.500000000000000000e-01,1.649999999999999911e+00
3.305539011316260020e-05,2.010216200000000120e-01,1.851771697070414779e+00,2.500000000000000000e-01,1.753124999999999822e+00
3.335318642048838451e-05,2.021232799999999885e-01,1.853482271439627294e+00,2.500000000000000000e-01,1.856249999999999734e+00
3.365098272781417559e-05,2.032343400000000133e-01,1.855189996205477421e+00,2.500000000000000000e-01,1.959374999999999645e+00
3.394877903513996667e-05,2.043761000000000050e-01,1.856894847452671860e+00,2.500000000000000000e-01,2.062499999999999556e+00
3.424657534246575776e-05,2.055266199999999932e-01,1.858596801306158230e+00,2.500000000000000000e-01,2.165624999999999467e+00
3.454437164979154206e-05,2.067037800000000036e-01,1.860295833931460141e+00,2.500000000000000000e-01,2.268749999999999378e+00
3.484216795711733315e-05,2.079339000000000048e-01,1.861991921535010697e+00,2.500000000000000000e-01,2.371874999999999289e+00
3.513996426444312423e-05,2.092208799999999980e-01,1.863685040364484902e+00,2.500000000000000000e-01,2.474999999999999201e+00
3.543776057176891532e-05,2.105720600000000053e-01,1.865375166709133836e+00,2.500000000000000000e-01,2.578124999999999112e+00
3.573555687909469962e-05,2.120058200000000115e-01,1.867062276900115503e+00,2.500000000000000000e-01,2.681249999999999023e+00
3.603335318642049071e-05,2.135938800000000137e-01,1.868746347310826783e+00,2.500000000000000000e-01,2.784374999999998934e+00
3.633114949374628179e-05,2.154089200000000037e-01,1.870427354357234506e+00,2.500000000000000000e-01,2.887499999999998845e+00
3.662894580107206610e-05,2.175374399999999986e-01,1.872105274498204519e+00,2.500000000000000000e-01,2.990624999999998757e+00
3.692674210839785718e-05,2.205492199999999903e-01,1.873780084235833199e+00,2.500000000000000000e-01,3.093749999999998668e+00
3.722453841572364826e-05,2.325463200000000008e-01,1.875451760115775190e+00,-2.500000000000000000e-01,2.990624999999998757e+00
3.752233472304943935e-05,2.346699600000000108e-01,1.877120278727572256e+00,-2.500000000000000000e-01,2.887499999999998845e+00
3.782013103037522365e-05,2.364391799999999988e-01,1.878785616704981232e+00,-2.500000000000000000e-01,2.784374999999998934e+00
3.811792733770101474e-05,2.380146999999999957e-01,1.880447750726300882e+00,-2.500000000000000000e-01,2.681249999999999023e+00
3.841572364502680582e-05,2.394537599999999877e-01,1.882106657514699410e+00,-2.500000000000000000e-01,2.578124999999999112e+00
3.871351995235259013e-05,2.408090800000000087e-01,1.883762313838538871e+00,-2.500000000000000000e-01,2.474999999999999201e+00
3.901131625967838121e-05,2.420602000000000031e-01,1.885414696511702015e+00,-2.500000000000000000e-01,2.371874999999999289e+00
3.930911256700417230e-05,2.432951200000000036e-01,1.887063782393916478e+00,-2.500000000000000000e-01,2.268749999999999378e+00
3.960690887432996338e-05,2.444609399999999877e-01,1.888709548391078519e+00,-2.500000000000000000e-01,2.165624999999999467e+00
3.990470518165574769e-05,2.456146200000000057e-01,1.890351971455576541e+00,-2.500000000000000000e-01,2.062499999999999556e+00
4.020250148898153877e-05,2.467454000000000036e-01,1.891991028586614387e+00,-2.500000000000000000e-01,1.959374999999999645e+00
4.050029779630732985e-05,2.478416400000000019e-01,1.893626696830532863e+00,-2.500000000000000000e-01,1.856249999999999734e+00
4.079809410363311416e-05,2.489395399999999869e-01,1.895258953281131253e+00,-2.500000000000000000e-01,1.753124999999999822e+00
4.109589041095890524e-05,2.500310600000000272e-01,1.896887775079988403e+00,-2.500000000000000000e-01,1.649999999999999911e+00
4.139368671828469633e-05,2.511174199999999801e-01,1.898513139416782680e+00,-2.500000000000000000e-01,1.546875000000000000e+00
4.169148302561048741e-05,2.522126000000000090e-01,1.900135023529611278e+00,-2.500000000000000000e-01,1.443750000000000089e+00
4.198927933293627172e-05,2.533323000000000103e-01,1.901753404705308848e+00,-2.500000000000000000e-01,1.340625000000000178e+00
4.228707564026206280e-05,2.544509600000000038e-01,1.903368260279766577e+00,-2.500000000000000000e-01,1.237500000000000266e+00
4.258487194758785388e-05,2.555996799999999958e-01,1.904979567638247939e+00,-2.500000000000000000e-01,1.134375000000000355e+00
4.288266825491364497e-05,2.567798600000000264e-01,1.906587304215706657e+00,-2.500000000000000000e-01,1.031250000000000444e+00
4.318046456223942928e-05,2.580065000000000275e-01,1.908191447497102677e+00,-2.500000000000000000e-01,9.281250000000004219e-01
4.347826086956522036e-05,2.592740800000000179e-01,1.909791975017716581e+00,-2.500000000000000000e-01,8.250000000000003997e-01
4.377605717689101144e-05,2.606175800000000153e-01,1.911388864363465334e+00,-2.500000000000000000e-01,7.218750000000003775e-01
4.407385348421679575e-05,2.620494199999999774e-01,1.912982093171214482e+00,-2.500000000000000000e-01,6.187500000000003553e-01
4.437164979154258683e-05,2.636202799999999846e-01,1.914571639129093672e+00,-2.500000000000000000e-01,5.156250000000003331e-01
4.466944609886837792e-05,2.654129599999999756e-01,1.916157479976807299e+00,-2.500000000000000000e-01,4.125000000000003109e-01
4.496724240619416900e-05,2.675378400000000267e-01,1.917739593505946694e+00,-2.500000000000000000e-01,3.093750000000002887e-01
4.526503871351995331e-05,2.705023400000000078e-01,1.919317957560301657e+00,-2.500000000000000000e-01,2.062500000000002942e-01
4.556283502084574439e-05,2.823536999999999852e-01,1.920892550036169544e+00,2.500000000000000000e-01,3.093750000000002887e-01
4.586063132817153547e-05,2.845092200000000071e-01,1.922463348882666789e+00,2.500000000000000000e-01,4.125000000000003109e-01
4.615842763549731978e-05,2.863181599999999882e-01,1.924030332102035112e+00,2.500000000000000000e-01,5.156250000000003331e-01
4.645622394282311086e-05,2.879140199999999927e-01,1.925593477749952154e+00,2.500000000000000000e-01,6.187500000000003553e-01
4.675402025014890195e-05,2.893680800000000275e-01,1.927152763935837010e+00,2.500000000000000000e-01,7.218750000000003775e-01
4.705181655747469303e-05,2.907005400000000073e-01,1.928708168823157765e+00,2.500000000000000000e-01,8.250000000000003997e-01
4.734961286480047734e-05,2.919690600000000025e-01,1.930259670629736357e+00,2.500000000000000000e-01,9.281250000000004219e-01
4.764740917212626842e-05,2.931828799999999791e-01,1.931807247628055002e+00,2.500000000000000000e-01,1.031250000000000444e+00
4.794520547945205951e-05,2.943651999999999935e-01,1.933350878145558838e+00,2.500000000000000000e-01,1.134375000000000355e+00
4.824300178677784381e-05,2.955171999999999799e-01,1.934890540564960570e+00,2.500000000000000000e-01,1.237500000000000266e+00
