t_analog,t_recon,analog_signal,spikes,recon,th
4.713114754098360787e-05,2.829438400000000020e-01,1.929121861013432415e+00,2.500000000000000000e-01,3.351562499999978240e-01,5.156249999999999722e-02
4.764344262295082166e-05,2.849816000000000016e-01,1.931786660294632529e+00,2.500000000000000000e-01,4.382812499999978462e-01,1.031249999999999944e-01
4.815573770491803546e-05,2.882942399999999794e-01,1.934439781291863447e+00,2.500000000000000000e-01,6.445312499999977796e-01,2.062499999999999889e-01
4.866803278688524925e-05,2.910277199999999898e-01,1.937081114049953978e+00,2.500000000000000000e-01,8.507812499999978240e-01,2.062499999999999889e-01
4.918032786885246304e-05,2.934807999999999861e-01,1.939710549102281689e+00,2.500000000000000000e-01,1.057031249999997868e+00,2.062499999999999889e-01
4.969262295081967683e-05,2.958001599999999787e-01,1.942327977475308831e+00,2.500000000000000000e-01,1.263281249999997913e+00,2.062499999999999889e-01
5.020491803278689062e-05,2.980210999999999832e-01,1.944933290693099170e+00,2.500000000000000000e-01,1.469531249999997957e+00,2.062499999999999889e-01
5.071721311475410442e-05,3.002025400000000177e-01,1.947526380781813504e+00,2.500000000000000000e-01,1.675781249999998002e+00,2.062499999999999889e-01
5.122950819672131821e-05,3.023998399999999753e-01,1.950107140274184081e+00,2.500000000000000000e-01,1.882031249999998046e+00,2.062499999999999889e-01
5.174180327868853200e-05,3.046628800000000248e-01,1.952675462213969038e+00,2.500000000000000000e-01,2.088281249999997868e+00,2.062499999999999889e-01
5.225409836065573901e-05,3.070027000000000172e-01,1.955231240160384631e+00,2.500000000000000000e-01,2.294531249999997691e+00,2.062499999999999889e-01
5.276639344262295281e-05,3.095489399999999947e-01,1.957774368192516823e+00,2.500000000000000000e-01,2.500781249999997513e+00,2.062499999999999889e-01
5.327868852459016660e-05,3.123911799999999905e-01,1.960304740913711319e+00,2.500000000000000000e-01,2.707031249999997335e+00,2.062499999999999889e-01
5.379098360655738039e-05,3.159112000000000031e-01,1.962822253455940302e+00,2.500000000000000000e-01,2.913281249999997158e+00,2.062499999999999889e-01
5.430327868852459418e-05,3.216906400000000277e-01,1.965326801484150510e+00,2.500000000000000000e-01,3.119531249999996980e+00,2.062499999999999889e-01
5.481557377049180797e-05,3.319064800000000037e-01,1.967818281200585107e+00,-2.500000000000000000e-01,3.016406249999996625e+00,2.578124999999999861e-02
5.532786885245902177e-05,3.331300600000000056e-01,1.970296589349087579e+00,-2.500000000000000000e-01,2.964843749999996447e+00,5.156249999999999722e-02
