time,vind,vout_dac_upper,voutp1,voutn1,vout_comp_upper,vout_dac_lower,voutp2,voutn2,vout_comp_lower
4.825051859999999948e+01,8.547880559999999628e-01,2.188341129999999968e-01,8.558912269999999767e-01,6.370571149999999516e-01,1.500003839999999977e+00,-2.469540590000000035e-01,6.223213149999999860e-01,8.692753739999999896e-01,2.068403089999999952e-06
4.826311390000000046e+01,8.549831409999999465e-01,-1.163880420000000006e-02,7.444285349999999468e-01,7.560673390000000049e-01,1.499999379999999993e+00,1.139264119999999943e-02,7.559589599999999576e-01,7.445663190000000320e-01,1.383004860000000037e-07
4.837501999999999924e+01,8.567154729999999496e-01,1.169834240000000011e-04,7.500628489999999760e-01,7.499458650000000448e-01,1.500173030000000018e+00,-1.156783890000000035e-04,7.499457640000000147e-01,7.500614420000000226e-01,2.719900469999999779e-04
4.837520140000000168e+01,8.567182800000000542e-01,-1.112851920000000085e-02,7.466403160000000261e-01,7.577688350000000295e-01,1.500049659999999951e+00,-1.135939140000000007e-02,7.465240920000000280e-01,7.578834840000000517e-01,2.884292420000000013e-05
4.837979899999999844e+01,8.567894150000000542e-01,-1.758121820000000113e-01,6.619279750000000018e-01,8.377401559999999581e-01,1.499999379999999993e+00,-1.761781299999999884e-01,6.617421549999999986e-01,8.379202850000000424e-01,1.380289999999999981e-07
4.887210139999999825e+01,8.643898810000000266e-01,-1.686352150000000050e-01,6.655955679999999708e-01,8.342307839999999475e-01,1.499999379999999993e+00,-1.833171630000000052e-01,6.581814919999999791e-01,8.414986549999999843e-01,1.372108319999999963e-07
4.987210140000000536e+01,8.797263370000000249e-01,-1.541572469999999973e-01,6.729092599999999535e-01,8.270665069999999508e-01,1.499999379999999993e+00,-1.976986759999999899e-01,6.509971020000000497e-01,8.486957779999999563e-01,1.364947610000000122e-07
5.087210139999999825e+01,8.949238739999999526e-01,-1.398377130000000024e-01,6.801216270000000064e-01,8.199593389999999538e-01,1.499999379999999993e+00,-2.119483129999999993e-01,6.438796190000000141e-01,8.558279319999999579e-01,1.363008299999999895e-07
5.187210139999999825e+01,9.099800930000000454e-01,-1.256708990000000026e-01,6.872452690000000475e-01,8.129161689999999663e-01,1.499999379999999993e+00,-2.260635159999999921e-01,6.368302919999999645e-01,8.628938090000000116e-01,1.362709990000000127e-07
5.287210139999999825e+01,9.248926149999999735e-01,-1.116537080000000043e-01,6.942856920000000098e-01,8.059394010000000552e-01,1.499999389999999932e+00,-2.400416870000000036e-01,6.298503600000000535e-01,8.698920470000000016e-01,1.362411619999999876e-07
5.387210139999999825e+01,9.396590849999999495e-01,-9.778466399999999337e-02,7.012459760000000486e-01,7.990306390000000425e-01,1.499999389999999932e+00,-2.538801749999999857e-01,6.229410789999999531e-01,8.768212530000000227e-01,1.362262429999999997e-07
5.487210140000000536e+01,9.542771730000000341e-01,-8.406333039999999701e-02,7.081278909999999538e-01,7.921912209999999455e-01,1.499999389999999932e+00,-2.675762620000000092e-01,6.161037529999999762e-01,8.836800150000000409e-01,1.362262429999999997e-07
5.587210139999999825e+01,9.687445690000000553e-01,-7.048996429999999924e-02,7.149324019999999669e-01,7.854223660000000384e-01,1.499999389999999932e+00,-2.811271510000000196e-01,6.093397529999999840e-01,8.904669039999999480e-01,1.362560830000000092e-07
5.687210140000000536e+01,9.830589899999999659e-01,-5.706529459999999665e-02,7.216599390000000280e-01,7.787252329999999612e-01,1.499999389999999932e+00,-2.945299530000000110e-01,6.026505239999999652e-01,8.971804770000000318e-01,1.362411629999999913e-07
5.787210139999999825e+01,9.972181730000000410e-01,-4.379037790000000346e-02,7.283105709999999622e-01,7.721009490000000364e-01,1.499999389999999932e+00,-3.077816669999999810e-01,5.960375980000000018e-01,9.038192649999999828e-01,1.362560830000000092e-07
5.887210139999999825e+01,1.011219880000000071e+00,-3.066650040000000119e-02,7.348841149999999489e-01,7.655506159999999616e-01,1.499999389999999932e+00,-3.208791859999999829e-01,5.895025889999999658e-01,9.103817749999999487e-01,1.362262429999999997e-07
5.987210139999999825e+01,1.025061910000000021e+00,-1.769511000000000001e-02,7.413802130000000101e-01,7.590753230000000240e-01,1.499999389999999932e+00,-3.338192799999999960e-01,5.830472020000000422e-01,9.168664829999999544e-01,1.362560830000000092e-07
6.087210139999999825e+01,1.038742070000000073e+00,-4.877767479999999684e-03,7.477983799999999848e-01,7.526761469999999621e-01,1.499999389999999932e+00,-3.465985770000000188e-01,5.766732270000000105e-01,9.232718039999999737e-01,1.362560830000000092e-07
6.187210140000000536e+01,1.052258200000000032e+00,7.783889399999999702e-03,7.541380450000000346e-01,7.463541559999999908e-01,1.499999389999999932e+00,-3.592135879999999726e-01,5.703825300000000542e-01,9.295961169999999996e-01,1.362262429999999997e-07
6.287210139999999825e+01,1.065608169999999966e+00,2.028817130000000121e-02,7.603985749999999655e-01,7.401104040000000550e-01,1.499999389999999932e+00,-3.716607109999999770e-01,5.641770409999999902e-01,9.358377530000000499e-01,1.362411629999999913e-07
6.387210139999999825e+01,1.078789860000000100e+00,3.263335650000000199e-02,7.665792890000000526e-01,7.339459320000000231e-01,1.499999389999999932e+00,-3.839362530000000051e-01,5.580587359999999997e-01,9.419949890000000048e-01,1.362411629999999913e-07
6.400001240000000280e+01,1.080463699999999916e+00,3.419567820000000286e-02,7.670594990000000335e-01,7.328638210000000264e-01,1.499934730000000105e+00,-3.854405260000000055e-01,5.569621040000000134e-01,9.424026300000000189e-01,-4.717428900000000325e-05
6.400056759999999656e+01,1.080470959999999980e+00,3.418677590000000072e-02,7.669505159999999711e-01,7.327637399999999968e-01,1.499999709999999986e+00,-3.853101239999999761e-01,5.569064419999999460e-01,9.422165660000000331e-01,-6.949868040000000316e-08
